Jan 26, 1950	Rosalind	Katharine Hepburn	Michael Benthall	The Theatre Guild	Cort Theatre
Jan 26, 1950	Orlando	William Prince	Michael Benthall	The Theatre Guild	Cort Theatre
Jan 26, 1950	Jaques	Ernest Thesiger	Michael Benthall	The Theatre Guild	Cort Theatre
Jan 16, 1928	Shylock	George Arliss	Winthrop Ames	Winthrop Ames	Broadhurst Theatre
Jan 16, 1928	Bassanio	Murray Kinnell	Winthrop Ames	Winthrop Ames	Broadhurst Theatre
Jan 16, 1928	Portia	Peggy Wood	Winthrop Ames	Winthrop Ames	Broadhurst Theatre
Oct 20, 1941	Jaques	Philip Bourneuf	Eugene S. Bryden	Ben A. Boyar and Eugene S. Bryden	Mansfield Theatre
Oct 20, 1941	Rosalind	Helen Craig	Eugene S. Bryden	Ben A. Boyar and Eugene S. Bryden	Mansfield Theatre
Oct 20, 1941	Orlando	Alfred Drake	Eugene S. Bryden	Ben A. Boyar and Eugene S. Bryden	Mansfield Theatre
Nov 16, 1931	Bassanio	Pedro De Cordoba	director unknown	Chicago Civic Shakespeare Society	Royale Theatre
Nov 16, 1931	Shylock	Fritz Leiber	director unknown	Chicago Civic Shakespeare Society	Royale Theatre
Nov 16, 1931	Portia	Helen Menken	director unknown	Chicago Civic Shakespeare Society	Royale Theatre
Mar 01, 1973	Portia	Rosemary Harris	Ellis Rabb	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
Mar 01, 1973	Bassanio	Christopher Walken	Ellis Rabb	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
Mar 01, 1973	Shylock	Sydney Walker	Ellis Rabb	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
Nov 13, 2010	Shylock	Al Pacino	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre
Nov 13, 2010	Bassanio	David Harbour	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre
Nov 13, 2010	Portia	Lily Rabe	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre
Nov 12, 1986	Rosalind	Ivonne Coll	Estelle Parsons	Joseph Papp	Belasco Theatre
Nov 12, 1986	Jaques	Keith David	Estelle Parsons	Joseph Papp	Belasco Theatre
Nov 12, 1986	Orlando	Michael Rivera	Estelle Parsons	Joseph Papp	Belasco Theatre
Feb 22, 1947	Portia	Rosalind Iden	director unknown	Hall Shelton	New Century Theatre
Feb 22, 1947	Shylock	Donald Wolfit	director unknown	Hall Shelton	New Century Theatre
Feb 22, 1947	Bassanio	John Wynyard	director unknown	Hall Shelton	New Century Theatre
Dec 26, 1925	Portia	Ethel Barrymore	Walter Hampden	unknown production company	Hampden's Theatre
Dec 26, 1925	Bassanio	Maurice Colbourne	Walter Hampden	unknown production company	Hampden's Theatre
Dec 26, 1925	Shylock	Walter Hampden	Walter Hampden	unknown production company	Hampden's Theatre
Dec 02, 1930	Shylock	Maurice Moscovitch	director unknown	Charles Dillingham	Times Square Theatre
Dec 02, 1930	Portia	Selena Royle	director unknown	Charles Dillingham	Times Square Theatre
