bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	1978-10-10T00:00:00	Mark Antony	Alan Mackenzie Howard	Peter Brook	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2017-03-23T00:00:00	Mark Antony	Antony Byrne	Iqbal Khan	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1977-01-01T00:00:00	Antony	Alec Mccowen	Toby Robertson	unknown production company	Old Vic, London	unknown	unknown
person not found on wiki	1987-01-01T00:00:00	Antony	Wyllie Longmore	Brigid Larmour	unknown production company	Contact Theatre, Manchester	unknown	unknown
1965-01-01T00:00:00	2008-04-26T00:00:00	Mark Antony	Andrew Long	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall	unknown	none	flagged
1945-08-23T00:00:00	2003-05-28T00:00:00	Mark Antony	Peter Donaldson	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	none	flagged
1893-10-09T00:00:00	1935-04-15T00:00:00	Antony	Roy Emerton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1942-05-15T00:00:00	1999-01-01T00:00:00	Antony	Paul Shelley	Giles Block	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
1946-12-12T00:00:00	1995-11-26T00:00:00	Antony	Barrie Rutter	Barrie Rutter	Northern Broadsides	Riverside	male	none	yes
no birthday on article	2005-02-23T00:00:00	Antony	Tom Mannion	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre	male	none	yes
1967-08-31T00:00:00	2013-11-13T00:00:00	Mark Antony	Jonathan Cake	Tarell Alvin McCraney	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes
1884-12-19T00:00:00	1921-07-21T00:00:00	Mark Antony	Edmund Willard	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1946-12-25T00:00:00	2002-08-28T00:00:00	Mark Antony	Stuart Wilson	Michael Attenborough	Royal Shakespeare Company	Haymarket Theatre, London	male	none	yes
1927-08-21T00:00:00	1961-03-18T00:00:00	Mark Antony	Tony Steedman	Bernard Hepton	unknown production company	Birmingham Repertory Theatre	male	none	yes
1927-07-30T00:00:00	1973-10-23T00:00:00	Mark Antony	Richard Johnson	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London	male	none	yes
1954-01-01T00:00:00	2014-01-01T00:00:00	Antony	Clive Wood	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
1927-07-30T00:00:00	1992-11-05T00:00:00	Antony	Richard Johnson	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1910-04-25T00:00:00	1969-01-01T00:00:00	Antony	John Clements	Peter Dews	unknown production company	Chichester Festival Theatre	male	none	yes
1926-12-01T00:00:00	1956-01-01T00:00:00	Antony	Keith Michell	Robert Helpmann	unknown production company	Old Vic, London	male	none	yes
1927-07-30T00:00:00	1972-08-15T00:00:00	Mark Antony	Richard Johnson	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1937-08-05T00:00:00	1979-07-18T00:00:00	Mark Antony	Alan Howard	Peter Brook	Royal Shakespeare Company	Aldwych Theatre, London	male	none	yes
1927-12-26T00:00:00	1985-07-20T00:00:00	Antony	Denis Quilley	Robin Phillips	unknown production company	Chichester Festival Theatre	male	none	yes
1947-09-04T00:00:00	2010-11-13T00:00:00	Mark Antony	Jeffery Kissoon	Janet Suzman	unknown production company	Liverpool Playhouse	male	Black	yes
1943-04-26T00:00:00	1993-05-31T00:00:00	Mark Antony	Leon Pownall	Richard Monette	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1940-07-13T00:00:00	2006-04-19T00:00:00	Mark Antony	Patrick Stewart	Gregory Doran	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes
1933-04-29T00:00:00	1976-06-09T00:00:00	Mark Antony	Keith Baxter	Robin Phillips	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1920-01-20T00:00:00	1963-06-13T00:00:00	Mark Antony	Michael Higgins	Joseph Papp	unknown production company	Delacorte Theater	male	none	yes
1934-02-17T00:00:00	2000-01-19T00:00:00	Mark Antony	Alan Bates	Steven Pimlott	Royal Shakespeare Company	Barbican Theatre, London	male	none	yes
1946-03-21T00:00:00	1985-01-01T00:00:00	Mark Antony	Timothy Dalton	Toby Robertson	unknown production company	Theatre Royal, Haymarket, London	male	none	yes	American,Irish,Italian
1965-12-08T00:00:00	1997-02-18T00:00:00	Antony	David Harewood	Vanessa Redgrave	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	male	Black	yes	Barbadian
1908-03-20T00:00:00	1953-04-28T00:00:00	Antony	Michael Scudamore Redgrave	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English
1908-03-20T00:00:00	1953-01-01T00:00:00	Antony	Michael Redgrave	Glen Byam Shaw	unknown production company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English
1937-12-31T00:00:00	1987-01-01T00:00:00	Mark Antony	Anthony Hopkins	Peter Hall	National Theatre	Olivier Theatre, National Theatre	male	none	yes	English
1907-05-22T00:00:00	1951-05-11T00:00:00	Antony	Laurence Olivier	Michael Benthall	unknown production company	St James Theatre, London	male	none	yes	English,Huguenot
1946-02-21T00:00:00	1998-10-12T00:00:00	Mark Antony	Alan Rickman	Sean Mathias	National Theatre	Olivier Theatre, National Theatre	male	none	yes	English,Irish,Welsh
1929-12-13T00:00:00	1967-10-17T00:00:00	Mark Antony	Christopher Plummer	Michael Langham	Stratford Festival	Expo Theater (Canada)	male	none	yes	English,Scottish
1966-06-30T00:00:00	2008-04-03T00:00:00	Antony	Marton Csokas	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street	male	none	yes	Hungarian,English,Danish,Irish
1940-10-19T00:00:00	1982-10-13T00:00:00	Mark Antony	Michael Gambon	Adrian Noble	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	male	none	yes	Irish
1957-02-12T00:00:00	1998-11-18T00:00:00	Antony	Joseph Siravo	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre	male	none	yes	Italian
1964-01-05T00:00:00	2011-03-03T00:00:00	Mark Antony	Darrell D'Silva	Michael Boyd	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes	Italian
1904-04-14T00:00:00	1930-11-24T00:00:00	Antony	John Gielgud	Harcourt Williams	Old Vic Co.	Old Vic, London	male	none	yes	Lithuanian,Polish
1957-04-20T00:00:00	2014-08-14T00:00:00	Mark Antony	Geraint Wyn Davies	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)	male	none	yes	Welsh
