bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	2000-01-19T00:00:00	Cleopatra	Frances De La Tour	Steven Pimlott	Royal Shakespeare Company	Barbican Theatre, London	unknown	unknown
person not found on wiki	1931-04-17T00:00:00	Cleopatra	Dorothy Massingham	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1998-11-18T00:00:00	Cleopatra	Kandis Chappell	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre	unknown	unknown
person not found on wiki	2013-11-13T00:00:00	Cleopatra	Joaquina Kalukango	Tarell Alvin McCraney	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2002-08-28T00:00:00	Cleopatra	Sinã©Ad Cusack	Michael Attenborough	Royal Shakespeare Company	Haymarket Theatre, London	unknown	unknown
person not found on wiki	1927-07-11T00:00:00	Cleopatra	Dorothy Green	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1987-01-01T00:00:00	Cleopatra	Clare Dow	Brigid Larmour	unknown production company	Contact Theatre, Manchester	unknown	unknown
person not found on wiki	1931-06-29T00:00:00	Cleopatra	Dorothy Massingham	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1930-11-24T00:00:00	Cleopatra	Dorothy Green	Harcourt Williams	Old Vic Co.	Old Vic, London	unknown	unknown
person not found on wiki	2000-04-29T00:00:00	Cleopatra	Frances De La Tour	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Plymouth	unknown	unknown
person not found on wiki	1912-04-23T00:00:00	Cleopatra	Dorothy Green	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2003-05-28T00:00:00	Cleopatra	Diane D’Aquila	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
person not found on wiki	1927-07-11T00:00:00	Cleopatra	Dorothy Green	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2014-08-14T00:00:00	Cleopatra	Yanna Mcintosh	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
1924-07-22T00:00:00	1956-01-01T00:00:00	Cleopatra	Margaret Whiting	Robert Helpmann	unknown production company	Old Vic, London	female	none	flagged
no birthday on article	1995-11-26T00:00:00	Cleopatra	Ishia Bennison	Barrie Rutter	Northern Broadsides	Riverside	female	none	yes
1864-02-26T00:00:00	1898-04-14T00:00:00	Cleopatra	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1939-02-09T00:00:00	1972-08-15T00:00:00	Cleopatra	Janet Suzman	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1970-01-01T00:00:00	2011-03-03T00:00:00	Cleopatra	Katy Stephens	Michael Boyd	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	female	none	yes
1903-10-15T00:00:00	1945-04-23T00:00:00	Cleopatra	Claire Luce	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1971-07-31T00:00:00	2014-01-01T00:00:00	Cleopatra	Eve Best	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe	female	none	yes
1929-09-18T00:00:00	1961-03-18T00:00:00	Cleopatra	Elizabeth Spriggs	Bernard Hepton	unknown production company	Birmingham Repertory Theatre	female	none	yes
1939-02-09T00:00:00	1973-10-23T00:00:00	Cleopatra	Janet Suzman	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London	female	none	yes
1930-04-08T00:00:00	1977-01-01T00:00:00	Cleopatra	Dorothy Tutin	Toby Robertson	unknown production company	Old Vic, London	female	none	yes
1907-12-22T00:00:00	1953-04-28T00:00:00	Cleopatra	Peggy Ashcroft	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1936-05-09T00:00:00	1978-10-10T00:00:00	Cleopatra	Glenda Jackson	Peter Brook	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1956-08-21T00:00:00	2010-11-13T00:00:00	Cleopatra	Kim Cattrall	Janet Suzman	unknown production company	Liverpool Playhouse	female	none	yes
1922-02-26T00:00:00	1969-01-01T00:00:00	Cleopatra	Margaret Leighton	Peter Dews	unknown production company	Chichester Festival Theatre	female	none	yes
1950-09-24T00:00:00	2006-04-19T00:00:00	Cleopatra	Harriet Walter	Gregory Doran	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	female	none	yes
1952-12-11T00:00:00	1993-05-31T00:00:00	Cleopatra	Goldie Semple	Richard Monette	Stratford Festival	Festival Theatre (Canada)	female	none	yes
no birthday on article	1951-05-11T00:00:00	Cleopatra	Vivien Leigh	Michael Benthall	unknown production company	St James Theatre, London	female	none	yes
1933-09-14T00:00:00	1967-10-17T00:00:00	Cleopatra	Zoe Caldwell	Michael Langham	Stratford Festival	Expo Theater (Canada)	female	none	yes
1924-06-03T00:00:00	1963-06-13T00:00:00	Cleopatra	Colleen Dewhurst	Joseph Papp	unknown production company	Delacorte Theater	female	none	yes
1951-08-07T00:00:00	2008-04-26T00:00:00	Cleopatra	Suzanne Bertish	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall	female	none	yes
1938-07-20T00:00:00	1985-07-20T00:00:00	Cleopatra	Diana Rigg	Robin Phillips	unknown production company	Chichester Festival Theatre	female	none	yes
1904-05-06T00:00:00	1935-04-15T00:00:00	Cleopatra	Catherine Lacey	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
no birthday on article	2017-03-23T00:00:00	Cleopatra	Josette Simon	Iqbal Khan	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	Black	yes	Antigua and Barbuda
1948-02-18T00:00:00	2002-07-13T00:00:00	Cleopatra	Sinead Cusack	Michael Attenborough	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	English
1937-01-30T00:00:00	1985-01-01T00:00:00	Cleopatra	Vanessa Redgrave	Toby Robertson	unknown production company	Theatre Royal, Haymarket, London	female	none	yes	English
1937-01-30T00:00:00	1997-02-18T00:00:00	Cleopatra	Vanessa Redgrave	Vanessa Redgrave	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	female	none	yes	English
no birthday on article	2010-05-10T00:00:00	Cleopatra	Kathryn Hunter	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	female	none	yes	Greek,Greek,Greek
1960-01-18T00:00:00	1999-01-01T00:00:00	Cleopatra	Mark Rylance	Giles Block	Shakespeare's Globe	Shakespeare's Globe	male	none	yes	Irish
1955-11-10T00:00:00	1992-11-05T00:00:00	Cleopatra	Clare Higgins	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	Irish
1934-12-09T00:00:00	1987-01-01T00:00:00	Cleopatra	Judi Dench	Peter Hall	National Theatre	Olivier Theatre, National Theatre	female	none	yes	Irish
1964-02-16T00:00:00	2005-02-23T00:00:00	Cleopatra	Josette Bushell-Mingo	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre	female	Black,Black,Black	yes	Kenyan
1959-03-14T00:00:00	2008-04-03T00:00:00	Cleopatra	Laila Robins	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street	female	none	yes	Latvian
1945-07-26T00:00:00	1982-10-13T00:00:00	Cleopatra	Helen Mirren	Adrian Noble	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	female	none	yes	Russian
1945-07-26T00:00:00	1998-10-12T00:00:00	Cleopatra	Helen Mirren	Sean Mathias	National Theatre	Olivier Theatre, National Theatre	female	none	yes	Russian
1934-12-28T00:00:00	1976-06-09T00:00:00	Cleopatra	Maggie Smith	Robin Phillips	Stratford Festival	Festival Theatre (Canada)	female	none	yes	Scottish
