bday	opening_date	role	actor	director	company	venue	gender	race
person not found on wiki	1880-05-03T00:00:00	Desdemona	Miss Masson	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1953-10-29T00:00:00	Desdemona	Blanche Cholet	Luis Martinez	The Shakespeare Guild Festival Company	Jan Hus Playhouse	unknown
person not found on wiki	1922-04-18T00:00:00	Desdemona	Beatrice Beckley	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1906-05-10T00:00:00	1930-07-07T00:00:00	Desdemona	Joyce Bland	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
1876-06-23T00:00:00	1911-04-24T00:00:00	Desdemona	Lily Brayton	Oscar Asche	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
1904-12-06T00:00:00	1927-04-04T00:00:00	Desdemona	Elissa Landi	A.E. Filmer	Lyceum Club Stage Society	Apollo	female
1876-06-23T00:00:00	1900-04-27T00:00:00	Desdemona	Lily Brayton	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
person not found on wiki	1954-03-16T00:00:00	Desdemona	Mary Barbara Jefford	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1922-07-27T00:00:00	Desdemona	Ethel Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1927-04-25T00:00:00	1959-06-30T00:00:00	Desdemona	Frances Hyland	Jean Gascon	Stratford Festival	Festival Theatre (Canada)	female
1908-10-08T00:00:00	1886-04-28T00:00:00	Desdemona	Ethel Johnson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
1906-05-10T00:00:00	1939-04-11T00:00:00	Desdemona	Joyce Bland	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
1923-08-06T00:00:00	1945-04-03T00:00:00	Desdemona	Moira Lister	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
1864-02-26T00:00:00	1905-05-11T00:00:00	Desdemona	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female
