bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	1943-04-30T00:00:00	Fool	Geoffrey Wincott	Peter Creswell	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1997-08-01T00:00:00	Fool	Marcello Magni	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic	unknown	unknown
person not found on wiki	1902-04-19T00:00:00	Fool	George R Weir	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1988-08-31T00:00:00	Fool	Patrick Miller	Cicely Berry	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2011-09-29T00:00:00	Fool	Richard O’Callaghan	Ian Brown	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds	unknown	unknown
person not found on wiki	2001-01-01T00:00:00	Fool	John Mcenery	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	1962-12-12T00:00:00	Fool	Alec Mccowen	Peter Brook	Royal Shakespeare Company	Aldwych Theatre, London	unknown	unknown
person not found on wiki	2013-01-01T00:00:00	Fool	Chris Bone	Vladimir Shcherban	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	1924-07-16T00:00:00	Fool	Mark Turner	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2010-06-24T00:00:00	Fool	Jd Cullum	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company	unknown	unknown
person not found on wiki	1991-02-12T00:00:00	Fool	Linda Kerr Scott	Nicholas Hytner	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	unknown	unknown
person not found on wiki	2004-02-13T00:00:00	Fool	Ray Ford	Harold Scott	Yale Repertory Theatre	University Theatre	unknown	unknown
person not found on wiki	1904-04-25T00:00:00	Fool	George R Weir	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2011-01-25T00:00:00	Fool	Sophie Russell	David Farr	Royal Shakespeare Company	The Roundhouse, London	unknown	unknown
person not found on wiki	1993-05-20T00:00:00	Fool	Ian Hughes	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2007-05-31T00:00:00	Lear's Fool	Sylvester Mccoy	Trevor Nunn	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1890-04-24T00:00:00	Fool	Georgie Whyte	Osmond Tearle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2007-09-15T00:00:00	Fool	Anthony Fusco	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater	unknown	unknown
person not found on wiki	2014-09-09T00:00:00	Fool	Ross Lehman	Barbara Gaines	Chicago Shakespeare Theater	The Yard	unknown	unknown
person not found on wiki	1955-12-17T00:00:00	Fool	David O’Brien	George Devine	Royal Shakespeare Company	Tour	unknown	unknown
person not found on wiki	2007-11-24T00:00:00	Fool	Brian Moore	director unknown	Headgate Theatre Productions	Headgate Theatre, Colchester	unknown	unknown
person not found on wiki	1924-07-16T00:00:00	Fool	Mark Turner	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1906-05-08T00:00:00	Fool	George R Weir	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1970-03-14T00:00:00	Fool	Christopher Dunham	Caroline Smith	Salisbury Playhouse	Salisbury Playhouse	unknown	unknown
person not found on wiki	1988-06-04T00:00:00	Fool	John Ormerod	Robin Phillips	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
person not found on wiki	1883-04-23T00:00:00	Fool	A Chippendale	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1990-10-09T00:00:00	Lear's Fool	Christopher Mccann	Gerald Freedman	Roundabout Theatre Company	Union Square Theatre	unknown	unknown
person not found on wiki	2006-10-04T00:00:00	Fool	Ken Schatz	Alfred Preisser	Classical Theatre of Harlem	HSA Theatre	unknown	unknown
person not found on wiki	1968-11-29T00:00:00	Fool	Jon Carlson	Gene Feist	Roundabout Theatre Company	Roundabout Stage II	unknown	unknown
person not found on wiki	1978-04-09T00:00:00	Fool	Dennis Bacigalupi	John Houseman	The Acting Company	American Place Theatre	unknown	unknown
person not found on wiki	1991-04-23T00:00:00	Fool	Philip Goodwin	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library	unknown	unknown
person not found on wiki	1959-01-02T00:00:00	Fool	Richard Mathews	Philip Lawrence	Donald H. Goldman	Players Theatre	unknown	unknown
person not found on wiki	2002-08-24T00:00:00	Fool	Barry Macgregor	JONATHAN MILLER	Stratford Festival	Festival Theatre (Canada)	unknown	unknown
person not found on wiki	1996-05-27T00:00:00	Fool	Jordan Pettle	Richard Monette	Stratford Festival	Festival Theatre (Canada)	unknown	unknown
1975-12-09T00:00:00	2010-06-24T00:00:00	Fool	Stephen Caffrey	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company	unknown	none	flagged
1921-07-14T00:00:00	1931-04-13T00:00:00	Fool	Geoffrey Wilkinson	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1972-08-03T00:00:00	1937-03-30T00:00:00	Fool	Andrew Leigh	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1977-01-24T00:00:00	1983-03-15T00:00:00	Fool	Ian Talbot	Adrian Noble	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	unknown	none	flagged
1947-10-05T00:00:00	2016-09-01T00:00:00	Fool	Graham Turner	Gregory Doran	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	none	flagged
1921-07-14T00:00:00	1936-04-20T00:00:00	Fool	Geoffrey Wilkinson	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1943-08-06T00:00:00	1964-06-17T00:00:00	Fool	Hugh Webster	Michael Langham	Stratford Festival	Festival Theatre (Canada)	unknown	none	flagged
1842-04-20T00:00:00	2000-08-31T00:00:00	Fool	Floyd King	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre	unknown	none	flagged
1921-07-14T00:00:00	1931-07-03T00:00:00	Fool	Geoffrey Wilkinson	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1965-01-15T00:00:00	2007-05-28T00:00:00	Fool	Bernard Hopkins	BRIAN BEDFORD	Stratford Festival	Festival Theatre (Canada)	male	Black,Black	flagged
no birthday on article	2005-05-17T00:00:00	Fool	John Ramm	Steven Pimlott	Chichester Festival	Chichester Festival Theatre	male	none	yes
1951-01-01T00:00:00	2015-02-27T00:00:00	Fool	Fine Time Fontayne	Jonathan Miller	Northern Broadsides	Viaduct Theatre, Halifax	male	none	yes
1937-01-28T00:00:00	2004-06-30T00:00:00	Lear's Fool	John Normington	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1923-09-11T00:00:00	1950-07-18T00:00:00	Fool	Alan Badel	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1989-03-13T00:00:00	2013-10-31T00:00:00	Fool	Harry Melling	Angus Jackson	Chichester Festival	Chichester Festival Theatre	male	none	yes
1954-08-23T00:00:00	1999-09-08T00:00:00	Fool	Ian Bartholomew	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre	male	none	yes
1967-07-22T00:00:00	2016-10-25T00:00:00	Fool	Rhys Ifans	Deborah Warner	Old Vic	Old Vic	male	none	yes
1912-05-23T00:00:00	1953-07-14T00:00:00	Fool	Marius Goring	George Devine	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1968-05-10T00:00:00	2014-01-23T00:00:00	Fool	Adrian Scarborough	Sam Mendes	National Theatre	Olivier Theatre	male	none	yes
1935-07-09T00:00:00	1968-04-10T00:00:00	Fool	Michael Williams	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1940-08-07T00:00:00	1999-09-05T00:00:00	Fool	Duggie Brown	Barrie Rutter	Northern Broadsides	Northern Broadsides	male	none	yes
1935-07-09T00:00:00	1976-11-02T00:00:00	Fool	Michael Williams	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1936-01-18T00:00:00	2000-01-01T00:00:00	Fool	Tim Barlow	Jan Sargent	unknown production company	Bristol Old Vic	male	Black	yes
1960-10-12T00:00:00	1999-12-03T00:00:00	Fool	Hiroyuki Sanada	Yukio Ninagawa	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1946-08-15T00:00:00	2013-09-29T00:00:00	Fool	Tony Robinson	director unknown	The Old Vic and St James Theatre	The Old Vic and St James Theatre	male	none	yes
1920-03-16T00:00:00	1951-01-01T00:00:00	Fool	Leo Mckern	Hugh Hunt	unknown production company	Old Vic, London	male	none	yes
1979-01-26T00:00:00	2002-09-23T00:00:00	Fool	Edward Hogg	Declan Donnellan	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes
1940-06-06T00:00:00	1978-01-01T00:00:00	Fool	Matthew Guinness	Toby Robertson	Prospect Theatre Co.	Old Vic, London	male	none	yes
1911-03-21T00:00:00	1940-01-01T00:00:00	Fool	Stephen Haggard	Lewis Casson	unknown production company	Old Vic, London	male	none	yes
no birthday on article	1931-01-01T00:00:00	Fool	Leslie French	Harcourt Williams	Old Vic Co.	Old Vic, London	male	none	yes
no birthday on article	1974-01-01T00:00:00	Fool	Edward Petherbridge	director unknown	The Actors Company	Tour	male	none	yes
1974-12-25T00:00:00	1996-01-01T00:00:00	Fool	Patrick Brennan	Sarah Parkin	unknown production company	Ludlow Castle	male	none	yes
