bday	opening_date	role	actor	director	company	venue	gender	race
person not found on wiki	1930-07-16T00:00:00	Prospero	Wilfrid Walter	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1926-01-07T00:00:00	Prospero	B.A. Pittar	director unknown	unknown production company	The Savoy Theatre, London	unknown
person not found on wiki	1891-04-23T00:00:00	Prospero	S Phillips	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1934-04-16T00:00:00	Prospero	Neil Porter	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1908-05-09T00:00:00	Prospero	Edward Warburton	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1930-07-16T00:00:00	Prospero	Wilfrid Walter	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1903-10-31T00:00:00	1938-05-02T00:00:00	Prospero	Gyles Isham	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1877-01-01T00:00:00	1919-08-08T00:00:00	Prospero	Charles Doran	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
person not found on wiki	1911-07-31T00:00:00	Prospero	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1934-04-16T00:00:00	Prospero	Neil Porter	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
no birthday on article	1946-04-20T00:00:00	Prospero	Robert Harris	Eric Crozier	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1893-10-03T00:00:00	1926-07-08T00:00:00	Prospero	George Skillan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
