bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	2012-06-26T00:00:00	Romeo	Will Jackson Harper	Joanna Settle	Shakespeare on the Sound	Pinkney Park	unknown	unknown
person not found on wiki	1885-04-21T00:00:00	Romeo	Felix Pitt	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2013-01-01T00:00:00	Romeo	Will Featherstone	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	2009-07-18T00:00:00	Romeo Montague	Will Parrick	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester	unknown	unknown
person not found on wiki	2018-06-05T00:00:00	Romeo	William Thomas Hodgson	Dámaso Rodríguez	Oregon Shakespeare Festival	Allen Elizabethan Theater	unknown	unknown
person not found on wiki	2004-02-14T00:00:00	Romeo, son of Montague 	Tommy Mullins	director unknown	Perth Theatre Company	Perth Theatre, Scotland	unknown	unknown
person not found on wiki	1914-08-15T00:00:00	Romeo	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1893-04-25T00:00:00	Romeo	G Hippisley	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1941-05-02T00:00:00	Romeo	Godfrey Kenton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1882-04-24T00:00:00	Romeo	F W Wyndham	Edward Compton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2009-04-18T00:00:00	Romeo	Damien Gulde	Marisa King	Scarborough Players	Scarborough Village Theatre	unknown	unknown
person not found on wiki	2013-07-27T00:00:00	Romeo	Boris Mitkov	director unknown	Grassroots Shakespeare London	Old Red Lion Theatre, London	unknown	unknown
person not found on wiki	1966-01-01T00:00:00	Romeo	Howard Southern	Noreen Craven	Salisbury Playhouse	Salisbury Playhouse	unknown	unknown
person not found on wiki	1997-01-01T00:00:00	Romeo	Joe Shaw	Antony Tuckey	unknown production company	Wolsey Theatre, Ipswich	unknown	unknown
person not found on wiki	1902-04-17T00:00:00	Romeo	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1991-01-01T00:00:00	Romeo	Clarence Smith	Andrew Hay	unknown production company	Bristol Old Vic	unknown	unknown
person not found on wiki	2010-09-15T00:00:00	Romeo	Jeff Lillico	Gale Edwards	Chicago Shakespeare Theater	The Yard	unknown	unknown
person not found on wiki	1976-01-01T00:00:00	Romeo	Peter Mcenery	George Murcell	St George’s	St George’s Theatre, Tufnell Park	unknown	unknown
person not found on wiki	1905-04-27T00:00:00	Romeo	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2008-04-12T00:00:00	Romeo	Benedict Fogarty	Barrie Rutter	Northern Broadsides	Liverpool Playhouse	unknown	unknown
person not found on wiki	2002-01-01T00:00:00	Romeo	Oscar Pearce	John Sheehan	Birmingham Stage Co.	The Old Rep Theatre, Birmingham	unknown	unknown
person not found on wiki	1986-11-01T00:00:00	Romeo	Derek D. Smith	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library	unknown	unknown
person not found on wiki	1986-11-12T00:00:00	Romeo	Rene Moreno	Estelle Parsons	Joseph Papp	Belasco Theatre	unknown	unknown
person not found on wiki	1923-01-24T00:00:00	Romeo	Rollo Peters	director unknown	The Selwyns and Adolph Klauber	Henry Miller's Theatre	unknown	unknown
person not found on wiki	1922-12-27T00:00:00	Romeo	Mckay Morris	director unknown	Arthur Hopkins	Longacre Theatre	unknown	unknown
person not found on wiki	1991-01-25T00:00:00	Romeo	Mark Niebuhr	Bill Alexander	Theatre for a New Audience	New Victory Theater	unknown	unknown
person not found on wiki	1930-04-21T00:00:00	Romeo	Donald Cameron	Eva Le Gallienne	Civic Repertory Theatre, Inc.	Civic Repertory Theatre	unknown	unknown
person not found on wiki	2013-10-16T00:00:00	Romeo	Julian Cihi	Tea Alagic	Classic Stage Company	East 13th Street/CSC Theatre	unknown	unknown
person not found on wiki	1962-04-02T00:00:00	Romeo	Richard Novello	Hubert Rolling	White Feather Productions	Midway Theatre	unknown	unknown
person not found on wiki	1956-02-23T00:00:00	Romeo	Robert Rietz	Brian Shaw	Shakespearewrights	Jan Hus Playhouse	unknown	unknown
person not found on wiki	1990-09-11T00:00:00	Romeo	Octavio Cervantes	Maria Martinez Medrano	Joseph Papp	Joseph Papp Public Theater/Anspacher Theater	unknown	unknown
person not found on wiki	1754-01-28T00:00:00	Romeo	Mr. Rigby	director unknown	unknown production company	New Theatre	unknown	unknown
person not found on wiki	1850-01-01T00:00:00	Romeo	Mrs. James W. Wallack, Jr.	director unknown	unknown production company	Bowery Theatre	unknown	unknown
person not found on wiki	2008-05-26T00:00:00	Romeo	Gareth Potter	Des McAnuff	Stratford Festival	Festival Theatre (Canada)	unknown	unknown
person not found on wiki	2016-09-13T00:00:00	Romeo	Andrew Veenstra	Alan Paul	Shakespeare Theatre Company	Lansburgh Theatre	unknown	unknown
1934-10-13T00:00:00	2015-01-01T00:00:00	Romeo	Sam Valentine	Dominic Dromgoole & Tim Hoare	Shakespeare's Globe	Shakespeare's Globe	unknown	none	flagged
no birthday on article	1930-04-25T00:00:00	Romeo	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1934-04-21T00:00:00	Romeo	John Wyse	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1918-04-21T00:00:00	1938-04-26T00:00:00	Romeo	Francis James	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1934-04-21T00:00:00	Romeo	John Wyse	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1930-07-10T00:00:00	Romeo	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1974-01-01T00:00:00	Romeo	Martin Connor	Ian Mullins	Farnham Repertory Co.	Redgrave Theatre, Farnham	unknown	none	flagged
1910-12-24T00:00:00	1922-01-16T00:00:00	Romeo	Fritz Leiber	director unknown	unknown production company	48th Street Theatre	male	none	flagged
no birthday on article	1996-04-13T00:00:00	Romeo	Tom Bevan	Zoe Seaton	unknown production company	Norwich Playhouse	unknown	none	flagged
1977-10-06T00:00:00	2013-05-27T00:00:00	Romeo	Daniel Briere	Tim Carroll	Stratford Festival	Festival Theatre (Canada)	unknown	none	flagged	French
1913-10-28T00:00:00	1936-04-16T00:00:00	Romeo	Peter Glenville	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged	Irish
1977-01-01T00:00:00	2006-04-18T00:00:00	Romeo	Rupert Evans	Nancy Meckler	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1979-01-26T00:00:00	2017-01-01T00:00:00	Romeo	Edward Hogg	Daniel Kramer	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
1982-10-09T00:00:00	2008-01-01T00:00:00	Romeo	Alan Morrissey	Elizabeth Freestone	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
no birthday on article	1985-02-25T00:00:00	Romeo	Simon Templeman	John Caird	Royal Shakespeare Company	Gulbenkian Studio, Newcastle-upon-Tyne	male	none	yes
1957-06-19T00:00:00	1991-08-28T00:00:00	Romeo	Michael Maloney	David Leveaux	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1981-06-30T00:00:00	2004-01-01T00:00:00	Romeo	Tom Burke	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
1952-02-14T00:00:00	1981-02-23T00:00:00	Romeo	Anton Lesser	Ron Daniels	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	male	none	yes
1919-06-05T00:00:00	1947-04-05T00:00:00	Romeo	Laurence Payne	Peter Brook	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1927-07-30T00:00:00	1958-12-12T00:00:00	Romeo	Richard Johnson	Glen Byam Shaw	Royal Shakespeare Company	Tour	male	none	yes
no birthday on article	1998-02-17T00:00:00	Romeo	Ray Fearon	Michael Attenborough	Royal Shakespeare Company	Tour	male	none	yes
1905-05-29T00:00:00	1926-04-16T00:00:00	Romeo	Sebastian Shaw	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1879-08-21T00:00:00	1908-04-30T00:00:00	Romeo	Henry Ainley	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1969-02-05T00:00:00	1992-02-13T00:00:00	Romeo	Michael Sheen	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre	male	none	yes
1977-03-21T00:00:00	2010-03-18T00:00:00	Romeo	Sam Troughton	Rupert Goold	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male	none	yes
1920-06-19T00:00:00	1945-06-07T00:00:00	Romeo	David Peel	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1979-10-06T00:00:00	2002-08-24T00:00:00	Romeo	Lex Shrapnel	Indhu Rubasingham	Chichester Festival	Chichester Festival Theatre	male	none	yes
1982-09-07T00:00:00	2008-12-04T00:00:00	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male	none	yes
1937-10-12T00:00:00	1966-01-01T00:00:00	Romeo	Gawn Grainger	Val May	Bristol Old Vic Co.	Bristol Old Vic	male	none	yes
1974-11-08T00:00:00	2004-04-07T00:00:00	Romeo	Matthew Rhys	Peter Gill	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1936-07-11T00:00:00	1960-01-01T00:00:00	Romeo	John Stride	Franco Zeffirelli	Old Vic Company	Old Vic, London	male	none	yes
1983-08-20T00:00:00	2005-09-07T00:00:00	Romeo	Andrew Garfield	Jacob Murray	Royal Exchange Theatre	Royal Exchange Theatre	male	none	yes
1937-09-10T00:00:00	1961-08-15T00:00:00	Romeo	Brian Murray	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
no birthday on article	1971-12-02T00:00:00	Romeo	Richard Kay	Peter James	National Theatre at the Young Vic	Young Vic, London	male	none	yes
1978-10-03T00:00:00	2002-01-01T00:00:00	Romeo	Christian Coulson	Josie Rourke	Liverpool Playhouse	Liverpool Playhouse	male	none	yes
no birthday on article	1996-01-01T00:00:00	Romeo	Matthew Lewis	Simon Parry	unknown production company	New End Theatre, London	male	none	yes
no birthday on article	2002-01-01T00:00:00	Romeo	Daniel Hawksford	Terry Hands	Clwyd Theatr Cymru	Clwyd Theatr Cymru, Mold	male	none	yes
not a date	1995-01-01T00:00:00	Romeo	Simon Scardifield	Irina Brown	unknown production company	Contact Theatre, Manchester	male	none	yes
1905-05-29T00:00:00	1926-04-16T00:00:00	Romeo	Sebastian Shaw	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1952-04-11T00:00:00	1979-08-16T00:00:00	Romeo	Michael Thomas	Christopher Selbie	unknown production company	Old Vic, London	male	none	yes
no birthday on article	2003-10-25T00:00:00	Romeo	Jack Laskey	director unknown	English Theatre of Vienna	English Theatre of Vienna	male	none	yes
1953-10-27T00:00:00	1974-01-01T00:00:00	Romeo	Peter Firth	Bill Bryden	unknown production company	Old Vic, London	male	none	yes
1966-10-12T00:00:00	1997-06-06T00:00:00	Romeo	Jonathan Crombie	Diana Leblanc	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1859-12-06T00:00:00	1913-09-22T00:00:00	Romeo	E. H. Sothern	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House	male	none	yes
1971-03-24T00:00:00	2002-05-31T00:00:00	Romeo	Graham Abbey	MILES POTTER	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1901-06-03T00:00:00	1935-12-23T00:00:00	Romeo	Maurice Evans	director unknown	Katharine Cornell	Martin Beck Theatre	male	none	yes
no birthday on article	1992-06-03T00:00:00	Romeo	Antoni Cimolino	Richard Monette	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1854-02-07T00:00:00	1915-02-01T00:00:00	Romeo	Robert B. Mantell	director unknown	William A. Brady and Robert B. Mantell Repertoire	44th Street Theatre	male	none	yes
1925-05-02T00:00:00	1956-10-24T00:00:00	Romeo	John Neville	Robert Helpmann	Old Vic Trust, Ltd. and Arts Council of Great Britain	Winter Garden Theatre	male	none	yes
1850-03-28T00:00:00	1903-05-25T00:00:00	Romeo	Kyrle Bellew	director unknown	Liebler & Co.	Knickerbocker Theatre	male	none	yes
1888-01-27T00:00:00	1915-11-22T00:00:00	Romeo	George Relph	Jacques Coini	David Chanler Dramatic Co.	44th Street Theatre	male	none	yes
1984-10-28T00:00:00	2008-09-09T00:00:00	Romeo	Finn Wittrock	David Muse	Shakespeare Theatre Company	Sidney Harman Hall	male	none	yes
1977-01-13T00:00:00	2013-09-19T00:00:00	Romeo	Orlando Bloom	David Leveaux	Susan Bristow LLC, James L. Nederlander, Terry Allen Kramer, Merritt Forrest Baer, Paula Marie Black, Stephen C. Byrd, Alia Jones Harvey, Jon B. Platt and Stewart F. Lane/Bonnie Comley	Richard Rodgers Theatre	male	none	yes
1868-02-12T00:00:00	1899-05-08T00:00:00	Romeo	William Faversham	director unknown	Charles Frohman	Empire Theatre	male	none	yes
1871-06-18T00:00:00	1903-02-16T00:00:00	Romeo	Edmund Breese	director unknown	Frank Lea Short	Mrs. Osborn's Playhouse	male	none	yes
1921-02-24T00:00:00	1951-03-10T00:00:00	Romeo	Douglas Watson	Peter Glenville	Dwight Deere Wiman	Broadhurst Theatre	male	none	yes
no birthday on article	1994-01-25T00:00:00	Romeo	Jay Goede	Barry Kyle	Shakespeare Theatre Company	Lansburgh Theatre	male	none	yes
1946-03-21T00:00:00	1973-03-28T00:00:00	Romeo	Timothy Dalton	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	American,Irish,Italian
1978-11-14T00:00:00	2001-06-18T00:00:00	Romeo	Gene Farber	Rob Barron	Theatreworks USA	Lucille Lortel Theatre	male	none	yes	Belarusian
1979-03-09T00:00:00	2007-06-19T00:00:00	Romeo	Oscar Isaac	Michael Greif	The Public Theater	Delacorte Theater	male	Latino	yes	Cuban,French,Guatemalan,Cuban,French
1959-04-17T00:00:00	1986-04-08T00:00:00	Romeo	Sean Bean	Michael Bogdanov	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	English
1892-06-13T00:00:00	1919-08-11T00:00:00	Romeo	Basil Rathbone	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English,American
1892-06-13T00:00:00	1915-08-13T00:00:00	Romeo	Basil Rathbone	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English,American
1892-06-13T00:00:00	1934-12-20T00:00:00	Romeo	Basil Rathbone	director unknown	Katharine Cornell	Martin Beck Theatre	male	none	yes	English,American
1892-06-13T00:00:00	1919-08-11T00:00:00	Romeo	Basil Rathbone	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English,American
1907-05-22T00:00:00	1935-10-17T00:00:00	Romeo; T/O Chorus, Mercutio	Laurence Olivier	John Gielgud	unknown production company	New Theatre, London	male	none	yes	English,Huguenot
1907-05-22T00:00:00	1940-05-09T00:00:00	Romeo	Laurence Olivier	Laurence Olivier	unknown production company	51st Street Theatre, New York	male	none	yes	English,Huguenot
1957-04-29T00:00:00	1983-10-10T00:00:00	Romeo	Daniel Day-Lewis	John Caird	Royal Shakespeare Company	Tour	male	none	yes	English,Irish,Jewish,Irish,Latvian-Jewish,Polish-Jewish,Polish-Jewish,English
