bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1940-04-25T00:00:00	2010-11-13T00:00:00	Shylock	Al Pacino	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre	male	none	yes	Italian,Italian,Sicilian,Italian
1964-11-11T00:00:00	2008-04-10T00:00:00	Shylock	Angus Wright	Tim Carroll	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male	none	yes
1949-06-14T00:00:00	1987-04-29T00:00:00	Shylock	Antony Sher	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	Lithuanian-Jewish
1863-06-22T00:00:00	1907-04-29T00:00:00	Shylock	Arthur Bourchier	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1863-06-22T00:00:00	1914-04-20T00:00:00	Shylock	Arthur Bourchier	Patrick Kirwan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1969-04-23T00:00:00	1924-04-24T00:00:00	Shylock	Arthur Phillips	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	flagged
person not found on wiki	1940-04-25T00:00:00	Shylock	Baliol Holloway	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1921-08-03T00:00:00	Shylock	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1912-08-29T00:00:00	1880-04-23T00:00:00	Shylock	Barry Sullivan	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1857-09-24T00:00:00	1910-01-17T00:00:00	Shylock	Ben Greet	director unknown	Ben Greet Repertory	Garden Theatre	male	none	yes
1935-02-16T00:00:00	1989-05-31T00:00:00	Shylock	Brian Bedford	Michael Langham	Stratford Festival	Festival Theatre (Canada)	male	none	yes	Irish
person not found on wiki	1980-03-04T00:00:00	Shylock	Christopher Martin	Christopher Martin	CSC Repertory	East 13th Street/CSC Theatre	unknown	unknown
no birthday on article	1989-05-31T00:00:00	Servant to Shylock	Christopher Shyer	Michael Langham	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1946-08-01T00:00:00	1994-04-08T00:00:00	Shylock	David Calder	David Thacker	Royal Shakespeare Company	Barbican Theatre, London	male	none	yes
1946-05-02T00:00:00	1981-07-16T00:00:00	Shylock	David Suchet	John Barton	Royal Shakespeare Company	Aldwych Theatre, London	male	none	yes	Lithuanian-Jewish,Russian-Jewish
1866-11-28T00:00:00	1922-12-21T00:00:00	Shylock	David Warfield	David Belasco	David Belasco	Lyceum Theatre	male	none	yes
1928-02-26T00:00:00	1970-06-08T00:00:00	Shylock	Donald Davis	Jean Gascon	Stratford Festival	Festival Theatre (Canada)	male	none	yes	British
1902-04-20T00:00:00	1947-02-22T00:00:00	Shylock	Donald Wolfit	director unknown	Hall Shelton	New Century Theatre	male	none	yes	English
1928-03-13T00:00:00	1996-05-29T00:00:00	Shylock	Douglas Rain	Marti Maraden	Stratford Festival	Avon Theatre (Canada)	male	none	yes
1937-08-08T00:00:00	1989-12-19T00:00:00	Shylock	Dustin Hoffman	Peter Hall	Duncan C. Weldon and Jerome Minskoff	46th Street Theatre	male	none	yes	Romanian-Jewish,Ukrainian-Jewish
1859-12-06T00:00:00	1913-09-22T00:00:00	Shylock	E. H. Sothern	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House	male	none	yes
person not found on wiki	1893-04-26T00:00:00	Shylock	Edward Lyall Swete	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1928-09-01T00:00:00	1971-03-30T00:00:00	Shylock	Emrys James	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
1928-04-08T00:00:00	1965-04-15T00:00:00	Shylock	Eric Porter	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
