bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1981-07-17T00:00:00	2011-01-01T00:00:00	Orlando	Gunnar Cauthery	James Dacre	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown		
person not found on wiki	1947-02-20T00:00:00	Orlando	Kempster Barnes	director unknown	Hall Shelton	New Century Theatre	unknown	unknown		
person not found on wiki	2003-04-07T00:00:00	Orlando/Oliver	Lorenzo Pisoni	Erica Schmidt	The Public Theater	Joseph Papp Public Theater/Martinson Theater	unknown	unknown		
person not found on wiki	1912-09-30T00:00:00	Orlando	Frederick Lewis	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House	unknown	unknown		
person not found on wiki	2012-01-01T00:00:00	Orlando	Will Featherstone	James Dacre	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown		
person not found on wiki	1986-11-12T00:00:00	Orlando	Michael Rivera	Estelle Parsons	Joseph Papp	Belasco Theatre	unknown	unknown		
person not found on wiki	2013-01-01T00:00:00	Orlando	Nika Kuchava	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown		
person not found on wiki	1940-04-24T00:00:00	Orlando	Godfrey Kenton	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1940-02-21T00:00:00	1977-09-06T00:00:00	Orlando	Peter Mcenery	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1997-05-18T00:00:00	Orlando	Kevin Kelly	Liviu Ciulei	The Acting Company	Theater at St. Clement's Church	unknown	unknown		
1949-12-28T00:00:00	1985-04-23T00:00:00	Orlando	Hilton Mcrae	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown		
1912-11-23T00:00:00	1942-04-09T00:00:00	Orlando	Lee Fox	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1879-04-30T00:00:00	Orlando	Edward Compton	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1914-08-08T00:00:00	Orlando	Murray Carrington	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1937-03-31T00:00:00	Orlando	Godfrey Kenton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1925-01-21T00:00:00	1958-01-20T00:00:00	Orlando	Robert Blackburn	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre	unknown	unknown		
person not found on wiki	1921-04-27T00:00:00	Orlando	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1882-05-01T00:00:00	Orlando	F W Wyndham	Edward Compton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1975-07-01T00:00:00	2003-03-20T00:00:00	Orlando	Martin Hutson	Gregory Thompson	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1911-07-27T00:00:00	Orlando	P Gedge Twyman	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1880-04-30T00:00:00	Orlando	John Amory	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1900-04-23T00:00:00	Orlando	T B Thalberg	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1912-08-06T00:00:00	Orlando	Milton Quinney	director unknown	Royal Shakespeare Company	Memorial Lecture Room, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1885-04-29T00:00:00	Orlando	Felix Pitt	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1920-07-21T00:00:00	Orlando	Murray Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	2005-06-04T00:00:00	Orlando de Boys	Dion Johnstone Bcc	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)	unknown	unknown		
person not found on wiki	1895-04-24T00:00:00	Orlando	Frank Rodney	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
