bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	1947-02-20T00:00:00	Rosalind	Rosalind Iden	director unknown	Hall Shelton	New Century Theatre	unknown	unknown
1987-01-01T00:00:00	2011-01-01T00:00:00	Rosalind	Jo Herbert	James Dacre	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	2013-01-01T00:00:00	Rosalind	Ketevan Shatirishvili	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	1937-10-30T00:00:00	Rosalind	Katherine Emery	Samuel Rosen	The Surry Players	Ritz Theatre	unknown	unknown
person not found on wiki	1974-12-03T00:00:00	Rosalind	Gregory Floy	Clifford Williams	S. Hurok	Mark Hellinger Theatre	unknown	unknown
1914-08-13T00:00:00	1946-05-31T00:00:00	Rosalind	Ruth Lodge	Herbert M Prentice	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1869-10-18T00:00:00	Rosalind	Mary Frances Scott-Siddons	director unknown	unknown production company	Daly's Fifth Avenue Theatre	unknown	unknown
person not found on wiki	1927-07-13T00:00:00	Rosalind	Esme Biddle	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1879-04-30T00:00:00	Rosalind	Miss Wallis	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1903-07-08T00:00:00	1935-04-17T00:00:00	Rosalind	Gwynne Whitby	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1915-08-07T00:00:00	Rosalind	Florence Glossop-Harris	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1853-01-01T00:00:00	1882-05-01T00:00:00	Rosalind	Virginia Bateman	Edward Compton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1866-06-30T00:00:00	1921-04-27T00:00:00	Rosalind	Dorothy Green	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1905-07-29T00:00:00	1939-04-04T00:00:00	Rosalind	Vivienne Bennett	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1890-06-24T00:00:00	1925-04-14T00:00:00	Rosalind	Florence Saunders	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1866-06-30T00:00:00	1914-08-08T00:00:00	Rosalind	Dorothy Green	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1859-07-28T00:00:00	1885-08-29T00:00:00	Rosalind	Mary Antoinette Anderson	Henry E Abbey	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1885-04-29T00:00:00	Rosalind	Miss Alleyn	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1912-08-06T00:00:00	Rosalind	Pattie Adkins	director unknown	Royal Shakespeare Company	Memorial Lecture Room, Stratford-upon-Avon	unknown	unknown
1969-07-15T00:00:00	2009-11-17T00:00:00	Rosalind	Francesca Faridany	Maria Aitken	Shakespeare Theatre Company	Sidney Harman Hall	unknown	unknown
person not found on wiki	1880-04-30T00:00:00	Rosalind	Miss Masson	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1920-07-21T00:00:00	Rosalind	Phyllis Relph	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1964-01-01T00:00:00	1996-06-20T00:00:00	Rosalind (a)	Kristina Nicoll	Richard Rose	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
1982-01-28T00:00:00	2010-06-07T00:00:00	Rosalind	Andrea Runge	Des McAnuff	Stratford Festival	Festival Theatre (Canada)	unknown	unknown
person not found on wiki	1895-04-24T00:00:00	Rosalind	Beatrice Lamb	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1996-06-20T00:00:00	Rosalind (b)	Jane Spidell	Richard Rose	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
1976-01-01T00:00:00	2005-06-04T00:00:00	Rosalind	Sara Topham Bcc	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)	unknown	unknown
1956-01-01T00:00:00	1987-06-04T00:00:00	Rosalind	Nancy Palk	Robin Phillips	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	unknown
1930-07-26T00:00:00	1952-12-02T00:00:00	Rosalind	Mary Barbara Jefford	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1912-05-13T00:00:00	1941-10-20T00:00:00	Rosalind	Helen Craig	Eugene S. Bryden	Ben A. Boyar and Eugene S. Bryden	Mansfield Theatre	unknown	none	flagged
1960-10-04T00:00:00	1990-05-30T00:00:00	Rosalind	Lucy Peacock	Richard Monette	Stratford Festival	Festival Theatre (Canada)	unknown	none
1960-10-04T00:00:00	2000-05-30T00:00:00	Rosalind	Lucy Peacock	Jeannette Lambermont	Stratford Festival	Avon Theatre (Canada)	unknown	none
1976-11-29T00:00:00	2009-01-01T00:00:00	Rosalind	Naomi Frederick	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe	female	none	yes
1939-02-09T00:00:00	1968-05-15T00:00:00	Rosalind	Janet Suzman	David Jones	Royal Shakespeare Company	unknown theatre	female	none	yes
1889-07-15T00:00:00	1923-04-23T00:00:00	Rosalind	Marjorie Rambeau	director unknown	American National Theatre and Robert Milton	48th Street Theatre	female	none	yes
1928-03-13T00:00:00	1919-01-21T00:00:00	Rosalind	Elsie Mackay	director unknown	unknown production company	Plymouth Theatre	female	none	yes
1864-02-26T00:00:00	1899-04-17T00:00:00	Rosalind	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1979-01-01T00:00:00	2015-01-01T00:00:00	Rosalind	Michelle Terry	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe	female	none	yes
1965-11-28T00:00:00	1998-01-01T00:00:00	Rosalind	Anastasia Hille	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe	female	none	yes
1865-08-17T00:00:00	1912-09-30T00:00:00	Rosalind	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House	female	none	yes
1961-07-18T00:00:00	1992-07-02T00:00:00	Rosalind	Elizabeth Mcgovern	Adrian Hall	The Public Theater	Delacorte Theater	female	none	yes
1959-10-20T00:00:00	1996-04-25T00:00:00	Rosalind	Niamh Cusack	Steven Pimlott	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1984-01-01T00:00:00	2012-01-01T00:00:00	Rosalind	Deirdre Mullins	James Dacre	Shakespeare's Globe	Shakespeare's Globe	female	none	yes
1970-01-01T00:00:00	2009-04-28T00:00:00	Rosalind	Katy Stephens	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	female	none	yes
1904-01-01T00:00:00	1940-04-24T00:00:00	Rosalind	Thea Holme	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1957-07-23T00:00:00	1992-04-22T00:00:00	Rosalind	Kate Buffery	David Thacker	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1930-04-08T00:00:00	1967-06-15T00:00:00	Rosalind	Dorothy Tutin	David Jones	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1889-05-31T00:00:00	1919-04-22T00:00:00	Rosalind	Athene Seyler	Nigel Playfair	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1971-07-31T00:00:00	2007-03-06T00:00:00	Rosalind	Eve Best	Samuel West	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	female	none	yes
1864-02-26T00:00:00	1907-04-24T00:00:00	Rosalind	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1915-11-24T00:00:00	1944-04-13T00:00:00	Rosalind	Helen Cherry	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1939-03-21T00:00:00	1973-06-21T00:00:00	Rosalind	Kathleen Widdoes	Joseph Papp	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater	female	none	yes
1925-11-20T00:00:00	1958-01-20T00:00:00	Rosalind	Nancy Wickwire	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre	female	none	yes
1853-10-13T00:00:00	1900-04-23T00:00:00	Rosalind	Marion Terry	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1950-03-16T00:00:00	1977-09-06T00:00:00	Rosalind	Kate Nelligan	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes
1904-01-20T00:00:00	1930-07-09T00:00:00	Rosalind	Fabia Drake	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1873-12-15T00:00:00	1914-05-01T00:00:00	Rosalind	Fay Davis	Patrick Kirwan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1981-03-02T00:00:00	2003-04-07T00:00:00	Rosalind	Bryce Dallas Howard	Erica Schmidt	The Public Theater	Joseph Papp Public Theater/Martinson Theater	female	none	yes
