bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	1883-04-19T00:00:00	Lady Macbeth	Adelaide Helen Calvert	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1963-03-11T00:00:00	2014-06-22T00:00:00	Lady Macbeth	Alex Kingston	Kenneth Branagh	unknown production company	Park Avenue Armory Drill Hall, New York	female	none	yes	German,Jewish
person not found on wiki	1994-10-08T00:00:00	Lady Macbeth	Alexandra Mathie	Helena Kaut-Howson	unknown production company	Clwyd Theatr Cymru, Mold	unknown	unknown		
1953-01-01T00:00:00	1993-05-01T00:00:00	Lady Macbeth	Alison Peebles	Michael Boyd	Tron/Dundee Rep.	Tron Theatre	female	none	yes	
person not found on wiki	2008-01-01T00:00:00	Lady Macbeth	Allison Mckenzie	director unknown	Royal Lyceum Edinburgh/Nottingham Playhouse	Royal LyceumTheatre,Edinburgh/Nottingham Playhouse	unknown	unknown		
person not found on wiki	1936-04-09T00:00:00	Lady Macbeth	Alma Dickson	director unknown	Negro Theatre Unit of the Federal Theatre Project of the WPA and John Houseman	Lafayette Theatre	unknown	unknown		
1963-01-01T00:00:00	1988-05-04T00:00:00	Lady Macbeth	Amanda Root	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	
person not found on wiki	2001-10-14T00:00:00	Lady Macbeth	Amy Thone	Michael Kevin	Seattle Shakespeare	Seattle Shakespeare	unknown	unknown		
1965-11-28T00:00:00	2010-03-18T00:00:00	Lady Macbeth	Anastasia Hille	Declan Donnellan	Cheek By Jowl	Silk Street Theatre, Barbican Centre	female	none	yes	
1965-11-28T00:00:00	1993-01-01T00:00:00	Lady Macbeth	Anastasia Hille	Richard Eyre	National Theatre	Olivier Theatre, National Theatre	female	none	yes	
person not found on wiki	1982-01-28T00:00:00	Lady Macbeth	Andrea Weber	Nicol Williamson	Circle in the Square	Circle in the Square Theatre	unknown	unknown		
1958-08-16T00:00:00	1998-03-15T00:00:00	Lady Macbeth	Angela Bassett	George C. Wolfe	The Public Theater	Joseph Papp Public Theater/Martinson Theater	female	Black,Black	yes	
1981-04-09T00:00:00	1977-01-01T00:00:00	Lady Macbeth/ Witch	Angelique Rockas	David Smith	The Company	Tramshed	female	none	yes	Greek
no birthday on article	2012-07-05T00:00:00	Lady Macbeth	Ann Noble	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company	unknown	none	flagged	
person not found on wiki	2007-02-21T00:00:00	Lady Macbeth	Anna Zubrzycki	Grzegorz Bral	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown	unknown		
1970-10-08T00:00:00	2018-02-26T00:00:00	Lady Macbeth	Anne-Marie Duff	Rufus Norris	National Theatre	Olivier Theatre	female	none	yes	Irish,Irish
1970-10-08T00:00:00	2013-11-21T00:00:00	Lady Macbeth	Anne-Marie Duff	Jack O'Brien	Lincoln Center Theater	Vivian Beaumont Theatre	female	none	yes	Irish,Irish
no birthday on article	2011-03-20T00:00:00	Lady Macbeth	Annika Boras	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street	female	none	yes	
