bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	2017-02-16T00:00:00	Othello	Abraham Popoola	Richard Twyman	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres	unknown	unknown		
1968-08-14T00:00:00	2013-04-23T00:00:00	Othello	Adrian Lester	Nicholas Hytner	National Theatre	Olivier Theatre	male	Black	yes	Jamaican
1946-06-08T00:00:00	1979-08-08T00:00:00	Othello	Alan Scarfe	Frances Hyland	Stratford Festival	Festival Theatre (Canada)	male	none	yes	
person not found on wiki	2016-09-14T00:00:00	Othello	Aldo Billingslea	Eric Ting	California Shakespeare Theater	Bruns Amphitheater	unknown	unknown		
1549-11-24T00:00:00	1992-08-12T00:00:00	Othello	Anthony Lee	Mark Jenkins	Seattle Shakespeare	Glenn Hughes Playhouse Theatre	unknown	none	flagged	
1913-09-07T00:00:00	1954-03-16T00:00:00	Othello	Anthony Quayle	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	Manx
1948-10-02T00:00:00	2006-08-30T00:00:00	Othello	Avery Brooks	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre	male	Black,Black,Black,Black,Black,Black	yes	
1948-10-02T00:00:00	1990-11-27T00:00:00	Othello	Avery Brooks	Harold Scott	Shakespeare Theatre Company	Folger Shakespeare Library	male	Black,Black,Black,Black,Black,Black	yes	
person not found on wiki	1924-04-22T00:00:00	Othello	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
person not found on wiki	1943-04-20T00:00:00	Othello	Baliol Holloway	Milton Rosmer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1912-08-29T00:00:00	1880-05-03T00:00:00	Othello	Barry Sullivan	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	
1943-12-31T00:00:00	1985-09-24T00:00:00	Othello	Ben Kingsley	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	Asian	yes	Indian,South Asian,Gujarati,Kenyan
