1997-08-01T00:00:00	Fool	Marcello Magni	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic
1999-09-08T00:00:00	Fool	Ian Bartholomew	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
2004-02-13T00:00:00	Fool	Ray Ford	Harold Scott	Yale Repertory Theatre	University Theatre
2005-05-17T00:00:00	Fool	John Ramm	Steven Pimlott	Chichester Festival	Chichester Festival Theatre
2010-06-24T00:00:00	Fool	Stephen Caffrey	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
2010-06-24T00:00:00	Fool	JD Cullum	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
2013-10-31T00:00:00	Fool	Harry Melling	Angus Jackson	Chichester Festival	Chichester Festival Theatre
2014-01-23T00:00:00	Fool	Adrian Scarborough	Sam Mendes	National Theatre	Olivier Theatre
2014-09-09T00:00:00	Fool	Ross Lehman	Barbara Gaines	Chicago Shakespeare Theater	The Yard
2016-10-25T00:00:00	Fool	Rhys Ifans	Deborah Warner	Old Vic	Old Vic
2007-09-15T00:00:00	Fool	Anthony Fusco	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater
1999-09-05T00:00:00	Fool	Duggie Brown	Barrie Rutter	Northern Broadsides	Northern Broadsides
2015-02-27T00:00:00	Fool	Fine Time Fontayne	Jonathan Miller	Northern Broadsides	Viaduct Theatre, Halifax
2011-09-29T00:00:00	Fool	Richard O’Callaghan	Ian Brown	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds
2012-02-09T00:00:00	Fool	Christopher Bianchi	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2000-02-09T00:00:00	Fool	Paul Nicholson	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2013-01-01T00:00:00	Fool	Chris Bone	Vladimir Shcherban	Shakespeare's Globe	Shakespeare's Globe
2008-01-01T00:00:00	Lear's Fool	Danny Lee Wynter	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2001-01-01T00:00:00	Fool	John McEnery	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
2004-06-30T00:00:00	Lear's Fool	John Normington	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1976-11-02T00:00:00	Fool	Michael Williams	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1964-02-11T00:00:00	Fool	Alec McCowen	Peter Brook	Royal Shakespeare Company	Tour
2010-03-02T00:00:00	Fool	Kathryn Hunter	David Farr	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2002-09-23T00:00:00	Fool	Edward Hogg	Declan Donnellan	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2007-05-31T00:00:00	Lear's Fool	Sylvester McCoy	Trevor Nunn	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1931-07-03T00:00:00	Fool	Geoffrey Wilkinson	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1936-04-20T00:00:00	Fool	Geoffrey Wilkinson	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1974-04-10T00:00:00	Fool	David Suchet	Buzz Goodbody	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1937-03-30T00:00:00	Fool	Andrew Leigh	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
