1992-02-13T00:00:00	Romeo	Michael Sheen	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
2002-08-24T00:00:00	Romeo	Lex Shrapnel	Indhu Rubasingham	Chichester Festival	Chichester Festival Theatre
2005-09-07T00:00:00	Romeo	Andrew Garfield	Jacob Murray	Royal Exchange Theatre	Royal Exchange Theatre
2010-09-15T00:00:00	Romeo	Jeff Lillico	Gale Edwards	Chicago Shakespeare Theater	The Yard
2012-06-26T00:00:00	Romeo	Will Jackson Harper	Joanna Settle	Shakespeare on the Sound	Pinkney Park
2013-07-24T00:00:00	Romeo	Tendayi Jembere	Bijan Sheibani	National Theatre	Shed
2018-06-05T00:00:00	Romeo	William Thomas Hodgson	Dámaso Rodríguez	Oregon Shakespeare Festival	Allen Elizabethan Theater
2013-07-03T00:00:00	Romeo		Shana Cooper	California Shakespeare Theater	Bruns Amphitheater
2015-02-19T00:00:00	Romeo	Paapa Essiedu	Polina Kalinina	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2013-01-01T00:00:00	Romeo						Will Featherstone	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2017-01-01T00:00:00	Romeo						Edward Hogg	Daniel Kramer	Shakespeare's Globe	Shakespeare's Globe
1926-04-16T00:00:00	Romeo	Sebastian Shaw	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-08-15T00:00:00	Romeo	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1986-04-08T00:00:00	Romeo	Sean Bean	Michael Bogdanov	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1919-08-11T00:00:00	Romeo	Basil Rathbone	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1961-08-15T00:00:00	Romeo	Brian Murray	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1930-04-25T00:00:00	Romeo	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1947-04-05T00:00:00	Romeo	Laurence Payne	Peter Brook	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1908-04-30T00:00:00	Romeo	Henry Ainley	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2008-12-04T00:00:00	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1885-04-21T00:00:00	Romeo	Felix Pitt	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1983-10-10T00:00:00	Romeo	Daniel Day-Lewis	John Caird	Royal Shakespeare Company	Tour
1990-01-04T00:00:00	Romeo	Mark Rylance	Terry Hands	Royal Shakespeare Company	Pit, London
1967-09-13T00:00:00	Romeo	Ian Holm	Karolos Koun	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
