Juliet	Ellie Kendrick	Game of Thrones
Juliet	Amanda Root	Star Trek
Juliet	Geraldine Somerville	Harry Potter
Juliet	Christina Cole	James Bond
Juliet	Judi Dench	James Bond
Juliet	Elizabeth Olsen	Marvel
Desdemona	Natalia Tena	Game of Thrones, Harry Potter
Desdemona	Olivia Birkelund	Star Trek
Desdemona	Maggie Smith	Harry Potter
Ophelia	Kerry Condon	Marvel, Spider-Man
Ophelia	Gemma Jones	Harry Potter
Ophelia	Harriet Walter	Star Wars
Ophelia	Ruth Negga	Marvel
Ophelia	Tara Fitzgerald	Game of Thrones
Ophelia	Sophie Thompson	Harry Potter
Ophelia	Judi Dench	James Bond
Ophelia	Lynn Collins	X-Men
Ophelia	Rosemary Harris	Spider-Man
Rosalind	Sophie Thompson	Harry Potter
Rosalind	Bryce Dallas Howard	Spider-Man
Rosalind	Samantha Bond	James Bond
Rosalind	Sabrina Le Beauf	Star Trek
Rosalind	Maggie Smith	Harry Potter
Portia	Nan Martin	Star Trek
Portia	Geraldine James	Star Wars
Portia	Rosemary Harris	Spider-Man
Portia	Fiona Shaw	Harry Potter
Portia	Judi Dench	James Bond
Lady Macbeth	Michelle Fairley	Game of Thrones, Harry Potter
Lady Macbeth	Harriet Walter	Star Wars
Lady Macbeth	Amanda Root	Star Trek
Lady Macbeth	Sian Thomas	Harry Potter
Lady Macbeth	Samantha Spiro	Game of Thrones
Lady Macbeth	Judi Dench	James Bond
Lady Macbeth	Diana Rigg	Game of Thrones, James Bond
Lady Macbeth	Judith Anderson	Star Trek
Lady Macbeth	Julie Walters	Harry Potter
Lady Macbeth	Kate Fleetwood	Star Wars, Harry Potter
Lady Macbeth	Maggie Smith	Harry Potter
Lady Macbeth	Angela Bassett	Marvel
Lady Macbeth	Jennifer Ehle	Game of Thrones
Cleopatra	Harriet Walter	Star Wars
Cleopatra	Elizabeth Spriggs	Harry Potter
Cleopatra	Kim Cattrall	Star Trek
Cleopatra	Diana Rigg	Game of Thrones, James Bond
Cleopatra	Maggie Smith	Harry Potter
Cleopatra	Judi Dench	James Bond
Romeo	Simon Templeman	Star Trek
Romeo	Richard Madden	Game of Thrones
Romeo	Sebastian Shaw	Star Wars
Romeo	Timothy Dalton	James Bond
Romeo	Ian Holm	The Lord of the Rings, The Hobbit
Romeo	Sean Bean	Game of Thrones, The Lord of the Rings, James Bond
Romeo	David Tennant	Marvel, Harry Potter
Romeo	Anton Lesser	Game of Thrones
Romeo	Christian Coulson	Harry Potter
Romeo	Ray Fearon	Harry Potter
Romeo	Jack Laskey	Star Wars
Romeo	Andrew Garfield	Marvel, Spider-Man
Romeo	Colm Feore	Spider-Man
Romeo	Chiwetel Ejiofor	Marvel
Romeo	Christopher Walken	James Bond
Romeo	Ian McKellen	The Lord of the Rings, The Hobbit, X-Men
Romeo	John Neville	Star Trek
Romeo	Orlando Bloom	The Lord of the Rings, The Hobbit
Romeo	Oscar Isaac	Star Wars, X-Men
Romeo	Gene Farber	X-Men, Marvel
Romeo	Martin Sheen	Spider-Man
Hamlet	Toby Stephens	James Bond
Hamlet	Ben Whishaw	James Bond
Hamlet	David Warner	Star Trek
Hamlet	Basil Langton	Star Trek
Hamlet	Christopher Eccleston	Marvel
Hamlet	Paul Giamatti	Spider-Man
Hamlet	Kenneth Branagh	Marvel, Harry Potter
Hamlet	Alan Cumming	James Bond, X-Men
Hamlet	David Tennant	Marvel, Harry Potter
Hamlet	Alan Howard	The Lord of the Rings
Hamlet	Benedict Cumberbatch	The Hobbit, Star Trek, Marvel
Hamlet	Ian McKellen	The Lord of the Rings, The Hobbit, X-Men
Hamlet	Stephen Dillane	Game of Thrones
