Franchise Umbrella	Franchise Sub-Grouping	Film/Season	Date
Marvel	MCU	Iron Man	2008-05-02
Marvel	MCU	The Incredible Hulk	2008-06-13
Marvel	MCU	Iron Man 2	2010-05-07
Marvel	MCU	Thor	2011-05-06
Marvel	MCU	Captain America: The First Avenger	2011-07-22
Marvel	MCU	Marvel's The Avengers	2012-05-04
Marvel	MCU	Iron Man 3	2013-05-03
Marvel	MCU	Thor: The Dark World	2013-11-08
Marvel	MCU	Captain America: The Winter Soldier	2014-04-04
Marvel	MCU	Guardians of the Galaxy	2014-08-01
Marvel	MCU	Avengers: Age of Ultron	2015-05-01
Marvel	MCU	Ant-Man	July 17, 2015
Marvel	MCU	Captain America: Civil War	2016-05-06
Marvel	MCU	Doctor Strange	2016-11-04
Marvel	MCU	Guardians of the Galaxy Vol. 2	2017-05-05
Marvel	MCU	Spider-Man: Homecoming	2017-07-07
Marvel	MCU	Thor: Ragnarok	2017-11-03
Marvel	MCU	Black Panther	2018-02-16
Marvel	MCU	Avengers: Infinity War	2018-04-27
Marvel	MCU	Ant-Man and the Wasp	2018-07-06
Marvel	MCU	Captain Marvel	2019-03-08
Marvel	MCU	Untitled Avengers film	2019-05-03
Marvel	MCU	Untitled Spider-Man: Homecoming sequel	2019-07-05
Marvel	MCU	Guardians of the Galaxy Vol. 3	2020
Marvel	X-Men	X-Men	2000-07-14
Marvel	X-Men	X2	2003-05-02
Marvel	X-Men	X-Men: The Last Stand	2006-05-26
Marvel	X-Men	X-Men Origins: Wolverine	2009-05-01
Marvel	X-Men	X-Men: First Class	2011-06-03
Marvel	X-Men	The Wolverine	2013-07-26
Marvel	X-Men	X-Men: Days of Future Past	2014-05-23
Marvel	X-Men	Deadpool	2016-02-12
Marvel	X-Men	X-Men: Apocalypse	2016-05-27
Marvel	X-Men	Logan	2017-03-03
Marvel	X-Men	Deadpool 2	2018-05-18
Marvel	X-Men	Dark Phoenix	2019-02-14
Marvel	X-Men	The New Mutants	2019-08-02
Marvel	Sam Raimi Spider-Man	Spider-Man	May 3, 2002
Marvel	Sam Raimi Spider-Man	Spider-Man 2	June 30, 2004
Marvel	Sam Raimi Spider-Man	Spider-Man 3	May 4, 2007
Marvel	Marc Webb The Amazing Spider-Man	The Amazing Spider-Man	July 3, 2012
Marvel	Marc Webb The Amazing Spider-Man	The Amazing Spider-Man 2	May 2, 2014
