Franchise Umbrella	Franchise Sub-Grouping	Film/Season	Date
Star Wars	Star Wars	A New Hope	1977-05-25
Star Wars	Star Wars	Star Wars	1977-05-25
Star Wars	Star Wars	The Empire Strikes Back	1980-05-21
Star Wars	Star Wars	Return of the Jedi	1983-05-25
Star Wars	Star Wars	The Phantom Menace	1999-05-19
Star Wars	Star Wars	Attack of the Clones	2002-05-16
Star Wars	Star Wars	Revenge of the Sith	2005-05-19
Star Wars	Star Wars	The Force Awakens	2015-12-18
Star Wars	Star Wars	The Last Jedi	2017-12-15
Star Wars	Star Wars	Episode IX	2019-12-20
Star Wars	Star Wars	Rogue One: A Star Wars Story	2016-12-16
Star Wars	Star Wars	Solo: A Star Wars Story	2018-05-25
Star Wars	Star Wars	Untitled Boba Fett film	2020
