Alfred Molina	Spider-Man 2	2004	Dr. Otto Octavius / Doctor Octopus / Doc Ock
Chiwetel Ejiofor	Doctor Strange	2016	Karl Mordo
Colm Feore	Thor	2011	Laufey
Colm Feore	The Amazing Spider-Man 2	2014	Donald Menken
Alice Krige	Thor: The Dark World	2013	Eir
Alfred Molina	Spider-Man 2	2004	Dr. Otto Octavius / Doctor Octopus / Doc Ock
Chiwetel Ejiofor	Doctor Strange	2016	Karl Mordo
Colm Feore	Thor	2011	Laufey
Colm Feore	The Amazing Spider-Man 2	2014	Donald Menken
Alice Krige	Thor: The Dark World	2013	Eir
Anthony Hopkins	Thor	2011	Odin
Anthony Hopkins	Thor: The Dark World	2013	Odin / Loki masquerading as Odin
Anthony Hopkins	Thor: Ragnarok	2017	Odin / Loki masquerading as Odin
Bryce Dallas Howard	Spider-Man 3	2007	Gwen Stacy
Christopher Eccleston	Thor: The Dark World	2013	Malekith
Andrew Garfield	The Amazing Spider-Man	2012	Peter Parker / Spider-Man
Andrew Garfield	The Amazing Spider-Man 2	2014	
Ben Kingsley	Iron Man 3	2013	Trevor Slattery/Mandarin
Andy Serkis	Avengers: Age of Ultron	2015	Ulysses Klaue
Andy Serkis	Black Panther	2018	Ulysses Klaue
Elizabeth Olsen	Captain America: The Winter Soldier	2014	Wanda Maximoff / Scarlet Witch
Elizabeth Olsen	Avengers: Age of Ultron	2015	Wanda Maximoff / Scarlet Witch
Elizabeth Olsen	Captain America: Civil War	2016	Wanda Maximoff / Scarlet Witch
Elizabeth Olsen	Avengers: Infinity War	2018	Wanda Maximoff / Scarlet Witch
Elizabeth Olsen	Untitled Avengers film	2019	Post-production
Angela Bassett	Black Panther	2018	Ramonda
Danny Sapani	Black Panther	2018	Border Tribe Elder
Faran Tahir	Iron Man	2008	Raza
Cate Blanchett	Thor: Ragnarok	2017	Hela
Felicity Jones	The Amazing Spider-Man 2	2014	Felicia Hardy
Jenny Agutter	Captain America: The Winter Soldier	2014	
Ian Mckellen	X-Men	2000	Erik Lehnsherr / Magneto
Ian Mckellen	X2	2003	Erik Lehnsherr / Magneto
