actor_name	formatted_bday	actor_gender	ethnicity	age_is_est	birthday_data_source_link	bday_data_source	is_actor	photo_url	ethnic_cat
Graham Greene	1904-10-02T00:00:00	male	Black	FALSE		Wikipedia	flagged		none
Sidney Walker	1921-04-01T00:00:00	male	Black	FALSE		Wikipedia	flagged		none
Willard White	1946-10-10T00:00:00	male	Black	FALSE		Wikipedia	TRUE		none
Charles Barron	1950-10-07T00:00:00	unknown	Black	FALSE		Wikipedia	flagged		none
Reginald Pole	1500-03-12T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
William Thornton	1759-05-20T00:00:00	unknown	none	FALSE		Wikipedia	flagged		British Virgin Islands
Mary Sumner	1828-12-31T00:00:00	female	none	FALSE		Wikipedia	flagged		none
Edna Thomas	1885-11-01T00:00:00	female	Black	FALSE	https://www.imdb.com/name/nm0858777/	IMDb	TRUE		none
William Stack	1882-03-05T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Robert Upton	1884-02-03T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
John Seitz	1892-06-23T00:00:00	unknown	none	FALSE		Wikipedia	flagged	upload.wikimedia.org/wikipedia/en/thumb/1/1a/SeitzCamera.jpg/220px-SeitzCamera.jpg	none
Kathryn Meisle	1960-06-07T00:00:00	female	none	FALSE	https://www.imdb.com/name/nm0577060/	IMDb	TRUE		none
Ethel Johnson	1908-10-08T00:00:00	female	none	FALSE		Wikipedia	flagged		none
Keith Fleming	1909-11-16T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Fritz Leiber	1910-12-24T00:00:00	male	none	FALSE		Wikipedia	flagged		none
Guy Burgess	1911-04-16T00:00:00	unknown	none	FALSE		Wikipedia	flagged	upload.wikimedia.org/wikipedia/en/0/03/SSburgess.jpg	none
Peter Glenville	1913-10-28T00:00:00	unknown	none	FALSE		Wikipedia	flagged		Irish
Francis James	1918-04-21T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Roland Oliver	1923-03-30T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Margaret Whiting	1932-07-01T00:00:00	female	none	TRUE		Wikipedia	TRUE		none
Helen Craig	1912-05-13T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/7/7a/Helen_Craig_%281936_still%29.jpg	none
Sam Valentine	1934-10-13T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Thomas Kean	1935-04-21T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Tom Peters	1942-11-07T00:00:00	unknown	none	FALSE		Wikipedia	flagged	upload.wikimedia.org/wikipedia/commons/thumb/d/d3/TomPeters.jpg/220px-TomPeters.jpg	none
Eleanor Montgomery	1946-11-13T00:00:00	female	none	FALSE		Wikipedia	flagged		none
Philip Lawrence	1947-08-21T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
John Doolittle	1950-10-30T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
Brian Ferguson	1980-07-01T00:00:00	male	none	TRUE	https://www.imdb.com/name/nm1635815/	IMDb	TRUE		none
Jonjo O'Neill	1978-07-11T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Martin Gibbons	1953-03-01T00:00:00	unknown	none	FALSE		Wikipedia	flagged		none
