16 July 1968	Prospero	John Clements	David Jones	Chichester Festival	Chichester Festival Theatre
16 July 1968	Miranda	Maureen O’Brien	David Jones	Chichester Festival	Chichester Festival Theatre
16 July 1968	Ariel	Richard Kane	David Jones	Chichester Festival	Chichester Festival Theatre
October 27, 1983	Hamlet	Robert Lindsay	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
October 27, 1983	Ophelia	Geraldine Alexander	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
February 18, 1986	Othello	Charles S. Dutton	Dennis Scott	Yale Repertory Theatre	University Theatre
February 18, 1986	Desdemona	Devora Millman	Dennis Scott	Yale Repertory Theatre	University Theatre
February 18, 1986	Iago	John Doolittle	Dennis Scott	Yale Repertory Theatre	University Theatre
October 6, 1987	Macbeth	Ron Donachie	Chris Bond	Half Moon Theatre	Half Moon Theatre, London
October 6, 1987	Lady Macbeth	Noreen Kershaw	Chris Bond	Half Moon Theatre	Half Moon Theatre, London
September 13, 1990	Prospero	David Horovitch	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
February 13, 1992	Romeo	Michael Sheen	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
23 September 1992	Othello	Harry J. Lennix	Eric Simonson	Court Theatre	Court Theatre
23 September 1992	Iago	Steve Pickering	Eric Simonson	Court Theatre	Court Theatre
23 September 1992	Desdemona	Gintara Kizys	Eric Simonson	Court Theatre	Court Theatre
February 20, 1997	Lady Macbeth	L. Scott Caldwell	Tony Taccone	Berkeley Repertory Theatre	Berkeley Repertory Theatre
February 20, 1997	Macbeth	Carl Lumbly	Tony Taccone	Berkeley Repertory Theatre	Berkeley Repertory Theatre
August 1, 1997	King Lear	Kathryn Hunter	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic
August 1, 1997	Fool	Marcello Magni	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic
November 18, 1998	Antony	Joseph Siravo	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre
November 18, 1998	Cleopatra	Kandis Chappell	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre
September 8, 1999	King Lear	Tom Courtenay	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
September 8, 1999	Fool	Ian Bartholomew	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
24 August 2002	Romeo	Lex Shrapnel	Indhu Rubasingham	Chichester Festival	Chichester Festival Theatre
24 August 2002	Juliet	Emily Blunt	Indhu Rubasingham	Chichester Festival	Chichester Festival Theatre
September 11, 2002	Desdemona	Emma Darwall-Smith	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
September 11, 2002	Iago	Andy Serkis	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
September 11, 2002	Othello	Paterson Joseph	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
February 13, 2004	Fool	Ray Ford	Harold Scott	Yale Repertory Theatre	University Theatre
February 13, 2004	King Lear	Avery Brooks	Harold Scott	Yale Repertory Theatre	University Theatre
February 23, 2005	Cleopatra	Josette Bushell-Mingo	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
February 23, 2005	Antony	Tom Mannion	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
17 May 2005	King Lear	David Warner	Steven Pimlott	Chichester Festival	Chichester Festival Theatre
17 May 2005	Fool	John Ramm	Steven Pimlott	Chichester Festival	Chichester Festival Theatre
September 7, 2005	Romeo	Andrew Garfield	Jacob Murray	Royal Exchange Theatre	Royal Exchange Theatre
September 7, 2005	Juliet	Gugu Mbatha-Raw	Jacob Murray	Royal Exchange Theatre	Royal Exchange Theatre
May 23, 2007	Prospero	Pete Postlethwaite	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre
May 23, 2007	Miranda	Samantha Robinson	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre
May 23, 2007	Ariel	Steven Robertson	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre
29 November 2007	Othello	Chiwetel Ejiofor	Michael Grandage	Donmar Warehouse	Donmar Warehouse
29 November 2007	Iago	Ewan McGregor	Michael Grandage	Donmar Warehouse	Donmar Warehouse
29 November 2007	Desdemona	Kelly Reilly	Michael Grandage	Donmar Warehouse	Donmar Warehouse
February 25, 2009	Lady Macbeth	Hilary Maclean	Matthew Dunster	Royal Exchange Theatre	Royal Exchange Theatre
February 25, 2009	Macbeth	Nicholas Gleaves	Matthew Dunster	Royal Exchange Theatre	Royal Exchange Theatre
June 15, 2010	Iago	Jesse J. Perez	Joanna Settle	Shakespeare on the Sound	Pinkney Park
June 15, 2010	Desdemona	Erin Krakow	Joanna Settle	Shakespeare on the Sound	Pinkney Park
June 15, 2010	Othello	Victor Williams	Joanna Settle	Shakespeare on the Sound	Pinkney Park
June 24, 2010	King Lear	Harry Groener	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	Fool	Stephen Caffrey	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	King Lear	Dakin Matthews	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	Fool	JD Cullum	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
September 15, 2010	Romeo	Jeff Lillico	Gale Edwards	Chicago Shakespeare Theater	The Yard
September 15, 2010	Juliet	Joy Farmer-Clary	Gale Edwards	Chicago Shakespeare Theater	The Yard
June 26, 2012	Romeo	Will Jackson Harper	Joanna Settle	Shakespeare on the Sound	Pinkney Park
June 26, 2012	Juliet	Ali Ahn	Joanna Settle	Shakespeare on the Sound	Pinkney Park
July 5, 2012	Macbeth	Rob Nagle	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Lady Macbeth	Tessa Auberjonois	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Macbeth	Bo Foxworth	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Lady Macbeth	Ann Noble	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
March 15, 2013	Ophelia	Brooke Parks	James Bundy	Yale Repertory Theatre	University Theatre
