04/15/2015	Ophelia	Lisa Joyce	Austin Pendleton	Classic Stage Company	East 13th Street/CSC Theatre
04/15/2015	Hamlet	Peter Sarsgaard	Austin Pendleton	Classic Stage Company	East 13th Street/CSC Theatre
03/20/2011	Lady Macbeth	Annika Boras	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street
03/20/2011	Macbeth	John Douglas	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street
09/19/2016	Hamlet	Chukwudi Iwuji	Patricia McGregor	The Public Theater	Joseph Papp Public Theater/Susan Stein Shiva Theater
09/19/2016	Ophelia	Kristolyn Lloyd	Patricia McGregor	The Public Theater	Joseph Papp Public Theater/Susan Stein Shiva Theater
04/29/2012	Lady Macbeth	Melissa Friedman	Ron Russell	Epic Theatre Ensemble	47th Street Theatre
04/29/2012	Macbeth	Ty Jones	Ron Russell	Epic Theatre Ensemble	47th Street Theatre
08/05/2014	Fool	Steven Boyer	Daniel Sullivan	The Public Theater	Delacorte Theater
06/19/2007	Juliet	Lauren Ambrose	Michael Greif	The Public Theater	Delacorte Theater
08/05/2014	Lear	John Lithgow	Daniel Sullivan	The Public Theater	Delacorte Theater
06/19/2007	Romeo	Oscar Isaac	Michael Greif	The Public Theater	Delacorte Theater
06/16/2015	Ariel	Chris Perfetti	Michael Greif	The Public Theater	Delacorte Theater
03/29/2009	Hamlet	Christian Camargo	David Esbjornson	unknown production company	The Duke on 42nd Street
03/29/2009	Ophelia	Jennifer Ikeda	David Esbjornson	unknown production company	The Duke on 42nd Street
06/16/2015	Prospero	Sam Waterston	Michael Greif	The Public Theater	Delacorte Theater
02/22/2009	Iago	Ned Eisenberg	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street
02/22/2009	Desdemona	Juliet Rylance	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street
02/22/2009	Othello	John Douglas Thompson	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street
06/17/2008	Ophelia	Lauren Ambrose	Oskar Eustis	The Public Theater	Delacorte Theater
06/17/2008	Ghost of Hamlet's Father/ Player King/ Gravedigger	Jay O. Sanders	Oskar Eustis	The Public Theater	Delacorte Theater
06/17/2008	Hamlet	Michael Stuhlbarg	Oskar Eustis	The Public Theater	Delacorte Theater
