Hamlet	Maurice Evans	Jun 03, 1901	Oct 12, 1938	37
Macbeth	F. Murray Abraham	Oct 24, 1939	Nov 12, 1986	47
Lady Macbeth	Alma Dickson	Not found	Apr 09, 1936	 
Fool	Geoffrey Wilkinson	Not found	Feb 18, 1947	 
Romeo	Orlando Bloom	Jan 13, 1977	Sep 19, 2013	36
Hamlet	Donald Wolfit	Apr 29, 1902	Feb 26, 1947	44
Macbeth	Ethan Hawke	Nov 06, 1970	Nov 21, 2013	43
Lady Macbeth	Judith Anderson	Feb 10, 1897	Nov 11, 1941	44
Desdemona	Uta Hagen	Jun 12, 1919	Oct 19, 1943	24
Macbeth	Philip Merivale	Nov 02, 1886	Oct 07, 1935	48
Ophelia	Katherine Locke	Not found	Oct 12, 1938	 
King Lear of Britain	Donald Wolfit	Apr 29, 1902	Feb 18, 1947	44
Macbeth	Keith David	Jun 04, 1956	Nov 12, 1986	30
Juliet	Condola Rashad	Dec 11, 1986	Sep 19, 2013	26
King Lear of Britain	Orson Welles	May 06, 1915	Jan 12, 1956	40
Lady Macbeth	Edna Thomas	Nov 01, 1885	Apr 09, 1936	50
Juliet	Pamela Payton-Wright	Nov 01, 1941	Mar 17, 1977	35
Macbeth	Maurice Evans	Jun 03, 1901	Nov 11, 1941	40
Romeo	Rene Moreno	May 25, 1959	Nov 12, 1986	27
Lady Macbeth	Ching Valdes-Aran	Not found	Nov 12, 1986	 
Othello	Moses Gunn	Oct 02, 1929	Sep 14, 1970	40
Ophelia	Joyce Ebert	Jun 26, 1933	Mar 16, 1961	27
Hamlet	Richard Burton	Nov 10, 1925	Apr 09, 1964	38
Fool	Alvin Epstein	May 14, 1925	Jan 12, 1956	30
King Lear of Britain	Christopher Plummer	Dec 13, 1929	Mar 04, 2004	74
Iago	Brian Aherne	May 02, 1902	Jan 06, 1937	34
Romeo	Paul Rudd	May 15, 1940	Mar 17, 1977	36
Juliet	Regina Taylor	Aug 22, 1960	Nov 12, 1986	26
Hamlet	John Gielgud	Apr 14, 1904	Oct 08, 1936	32
Desdemona	Roberta Maxwell	Not found	Sep 14, 1970	 
Fool	Barry MacGregor	Not found	Mar 04, 2004	 
Ophelia	Linda Marsh	Feb 08, 1939	Apr 09, 1964	25
Hamlet	Donald Madden	Nov 05, 1933	Mar 16, 1961	27
Macbeth	Michael Redgrave	Mar 20, 1908	Mar 31, 1948	40
Othello	Walter Huston	Apr 05, 1883	Jan 06, 1937	53
Iago	Lee Richardson	Sep 11, 1926	Sep 14, 1970	44
Juliet	Katharine Cornell	Feb 16, 1893	Dec 23, 1935	42
Hamlet	Leslie Howard	Apr 03, 1893	Nov 10, 1936	43
Iago	José Ferrer	Jan 08, 1912	May 22, 1945	33
Ophelia	Lillian Gish	Oct 14, 1893	Oct 08, 1936	43
Fool	René Auberjonois	Jun 01, 1940	Nov 07, 1968	28
Ophelia	Maureen Anderman	Oct 26, 1946	Dec 17, 1975	29
Lady Macbeth	Flora Robson	Mar 28, 1902	Mar 31, 1948	46
Desdemona	Nan Sunderland	Not found	Jan 06, 1937	 
Ophelia	Pamela Stanley	Sep 06, 1909	Nov 10, 1936	27
Hamlet	Jean-Louis Barrault	Sep 08, 1910	Dec 01, 1952	42
Romeo	Maurice Evans	Jun 03, 1901	Dec 23, 1935	34
Desdemona	Uta Hagen	Jun 12, 1919	May 22, 1945	25
