person not found on wiki	22nd February 2014	Desdemona	Nicole Hartley	Director:Caroline Devlin	None
18 February 1933	7th April 1959	Desdemona	Mary Ure	Director:Tony Richardson	26
no birthday on article	13th November 2010	Desdemona	Claire Stewart	Director:Chris Scott	unknown age
person not found on wiki	unknown opening	Desdemona	Melanie Thaw	Director:Paul Unwin	unknown age
person not found on wiki	3rd May 1880	Desdemona	Miss Masson	Director:Barry Sullivan	None
20 October 1959	24th September 1985	Desdemona	Niamh Cusack	Director:Terry Hands	25
20 October 1959	7th January 1986	Desdemona	Niamh Cusack	Director:Terry Hands	26
20 February 1961	11th November 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn	28
no birthday on article	26th September 1970	Desdemona	Roberta Maxwell	Director:Michael Kahn	unknown age
20 February 1961	24th August 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn	28
9 January 2012	24th November 2007	Desdemona	Sinead Keenan	Director:Raz Shaw	-5
no birthday on article	15th April 2004	Desdemona	Lisa Dillon	Director:Gregory Doran	unknown age
person not found on wiki	30th May 2009	Desdemona	Ffion Jolly	Director:Charlotte Conquest	None
10 August 1914	29th May 1956	Desdemona	Margaret Johnston	Director:Glen Byam Shaw	41
20 February 1978	29th April 2006	Desdemona	Julia Jentsch	Director:Luk Perceval	28
no birthday on article	unknown opening	Desdemona	Kate Fahy	Director:David Thacker	unknown age
no birthday on article	22nd February 2003	Desdemona	Mandana Jones	Director:Christopher Fettes	unknown age
10 May 1906	7th July 1930	Desdemona	Joyce Bland	Director:W Bridges-Adams	24
1 November 1984	7th March 2009	Desdemona	Natalia Tena	Director:Kathryn Hunter	24
no birthday on article	17th July 2004	Desdemona	Lisa Dillon	Director:Gregory Doran	unknown age
8 October 1908	28th April 1886	Desdemona	Ethel Johnson	Director:F R Benson	-23
person not found on wiki	15th July 1961	Desdemona	Judy Farnk	Director:Nikos Psacharopoulos	None
28 December 1934	unknown opening	Desdemona	Maggie Smith	Director:John Dexter	unknown age
7 August 1951	14th August 1980	Desdemona	Suzanne Bertish	Director:Ronald Eyre	29
1 August 1904	8th March 1929	Desdemona	Daphne Heard	Director:H K Ayliff	24
10 May 1906	23rd April 1930	Desdemona	Joyce Bland	Director:W Bridges-Adams	23
25 September 1946	14th March 1980	Desdemona	Felicity Kendal	Director:Peter Hall	33
July 18, 1964	27th November 1956	Desdemona	Wendy Williams	Director:John Moody	-8
26 July 1930	16th March 1954	Desdemona	Barbara Jefford	Director:Anthony Quayle	23
person not found on wiki	18th April 1922	Desdemona	Ethel Carrington	Director:W Bridges-Adams	None
no birthday on article	21st April 1989	Desdemona	Emily Morgan	Director:Hugh Quarshie	unknown age
8 April 1930	10th October 1961	Desdemona	Dorothy Tutin	Director:Franco Zeffirelli	31
December 6, 1904	4th April 1927	Desdemona	Elissa Landi	Director:A.E. Filmer	22
no birthday on article	7th August 1912	Desdemona	Dorothy Green	Director:F R Benson	unknown age
22 January 1936	11th February 1978	Desdemona	Nyree Dawn Porter	Director:Peter Dews	42
16 January 1906	17th June 1949	Desdemona	Diana Wynyard	Director:Godfrey Tearle	43
26 February 1864	15th April 1902	Desdemona	Constance Benson	Director:F R Benson	38
23 June 1876	24th April 1911	Desdemona	Lily Brayton	Director:Oscar Asche	34
26 February 1864	28th April 1897	Desdemona	Constance Benson	Director:F R Benson	33
28 December 1934	unknown opening	Desdemona	Maggie Smith	Director:John Dexter	unknown age
26 February 1864	11th May 1905	Desdemona	Constance Benson	Director:F R Benson	41
person not found on wiki	20th November 1954	Desdemona	Rosemary Webster	Director:Stuart Burge	None
25 August 1943	18th July 1972	Desdemona	Lisa Harrow	Director:John Barton	28
10 May 1906	11th April 1939	Desdemona	Joyce Bland	Director:Robert Atkins	32
person not found on wiki	6th January 2000	Desdemona	Zoe Waites	Director:Michael Attenborough	None
person not found on wiki	6th May 2000	Desdemona	Zoe Waites	Director:Michael Attenborough	None
7 August 1951	6th August 1979	Desdemona	Suzanne Bertish	Director:Ronald Eyre	28
31 December 1828	31st July 1916	Desdemona	Mary Sumner	Director:Ben Greet	87
25 August 1943	3rd March 1972	Desdemona	Lisa Harrow	Director:John Barton	28
7 August 1951	26th February 1980	Desdemona	Suzanne Bertish	Director:Ronald Eyre	28
person not found on wiki	20th November 1999	Desdemona	Zoe Waites	Director:Michael Attenborough	None
16 January 1906	30th July 1948	Desdemona	Diana Wynyard	Director:Godfrey Tearle	42
person not found on wiki	21st July 1924	Desdemona	Ethel Carrington	Director:W Bridges-Adams	None
26 July 1930	29th January 1953	Desdemona	Barbara Jefford	Director:Anthony Quayle	22
no birthday on article	3rd April 2004	Desdemona	Lisa Dillon	Director:Gregory Doran	unknown age
person not found on wiki	21st April 1890	Desdemona	Grace Edwin	Director:Osmond Tearle	None
person not found on wiki	27th July 1922	Desdemona	Ethel Carrington	Director:W Bridges-Adams	None
25 August 1943	9th September 1971	Desdemona	Lisa Harrow	Director:John Barton	28
person not found on wiki	unknown opening	Desdemona	Jackie Morrison	Director:Edward Hall	unknown age
person not found on wiki	22nd April 1924	Desdemona	Ethel Carrington	Director:W Bridges-Adams	None
1965	1st August 1997	Desdemona	Claire Skinner	Director:Sam Mendes	32
8 June 1948	unknown opening	Desdemona	Lorna Heilbron	Director:Mervyn Willis	unknown age
18 September 1869	30th April 1907	Desdemona	Evelyn Millard	Director:F R Benson	37
22 February 1914	20th April 1943	Desdemona	Anna Konstam	Director:Milton Rosmer	29
person not found on wiki	unknown opening	Desdemona	Debra Beaumont	Director:Christopher Geelan	unknown age
1965	1st August 1997	Desdemona	Claire Skinner	Director:Sam Mendes	32
9 April 1941	20th September 1975	Desdemona	Hannah Gordon	Director:Peter Dews	34
26 July 1930	25th November 1952	Desdemona	Barbara Jefford	Director:Anthony Quayle	22
23 June 1876	27th April 1900	Desdemona	Lily Brayton	Director:F R Benson	23
person not found on wiki	21st April 1999	Desdemona	Zoe Waites	Director:Michael Attenborough	None
6 August 1923	3rd April 1945	Desdemona	Moira Lister	Director:Robert Atkins	21
person not found on wiki	16th February 1991	Fool	Linda Kerr Scott	Director:Nicholas Hytner	None
no birthday on article	26th July 1990	Fool	David Bradley	Director:Deborah Warner	unknown age
person not found on wiki	1st May 1991	Fool	Linda Kerr Scott	Director:Nicholas Hytner	None
person not found on wiki	26th November 1990	Fool	Linda Kerr Scott	Director:Nicholas Hytner	None
21 March 1911	unknown opening	Fool	Stephen Haggard	Director:Lewis Casson	unknown age
17 August 1963	29th November 2008	Fool	Forbes Masson	Director:Rupert Goold	45
person not found on wiki	14th March 1970	Fool	Christopher Dunham	Director:Caroline Smith	None
no birthday on article	28th October 1989	Fool	Patrick Miller	Director:Cicely Berry	unknown age
26 May 1925	12th December 1962	Fool	Alec McCowen	Director:Peter Brook	37
14 June 1949	31st May 1983	Fool	Antony Sher	Director:Adrian Noble	33
no birthday on article	20th May 1993	Fool	Ian Hughes	Director:Adrian Noble	unknown age
no birthday on article	7th May 2016	Fool	Miltos Yerolemou	Director:Michael Buffong	unknown age
no birthday on article	26th August 2010	Fool	Kathryn Hunter	Director:David Farr	unknown age
14 July 1921	20th April 1936	Fool	Geoffrey Wilkinson	Director:Theodore Komisarjevsky	14
no birthday on article	2nd November 1976	Fool	Michael Williams	Director:Trevor Nunn	unknown age
no birthday on article	unknown opening	Fool	Patrick Brennan	Director:Sarah Parkin	unknown age
14 July 1921	3rd July 1931	Fool	Geoffrey Wilkinson	Director:W Bridges-Adams	9
October 12, 1960	11th October 1999	Fool	Hiroyuki Sanada	Director:Yukio Ninagawa	39
27 June 1922	unknown opening	Fool	Peter Bayliss	Director:Jonathan Miller	unknown age
11 September 1923	18th July 1950	Fool	Alan Badel	Director:Anthony Quayle	26
15 April 1959	unknown opening	Fool	Emma Thompson	Director:Kenneth Branagh	unknown age
person not found on wiki	30th April 1943	Fool	Geoffrey Wincott	Director:Peter Creswell	None
23 May 1912	14th July 1953	Fool	Marius Goring	Director:George Devine	41
20 April 1964	unknown opening	Fool	Andy Serkis	Director:Max Stafford Clark	unknown age
no birthday on article	31st May 1994	Fool	Ian Hughes	Director:Adrian Noble	unknown age
no birthday on article	23rd April 1924	Fool	Mark Turner	Director:W Bridges-Adams	unknown age
