person not found on wiki	4th December 2008	Juliet	Anneika Rose	Director:Neil Bartlett
person not found on wiki	4th August 1915	Hamlet	F R Benson	Director:F R Benson
person not found on wiki	unknown opening	Ophelia	Constance Barrie	Director:Antony Tuckey
person not found on wiki	unknown opening	Ophelia	Tina Jones	Director:Michael Bogdanov
26 February 1864	11th May 1907	Ophelia	Constance Benson	Director:F R Benson
December 14, 1874	4th May 1908	Ophelia	Gertrude Elliott	Director:J Forbes-Robertson
11 March 1942	unknown opening	Hamlet	Peter Eyre	Director:Jonathan Miller
person not found on wiki	unknown opening	Ophelia	Veronica Smart	Director:Yuri Lyubimov
person not found on wiki	11th May 1907	Hamlet	F R Benson	Director:F R Benson
no birthday on article	unknown opening	Hamlet	Philip Bowen	Director:Michael Bogdanov
8 October 1964	unknown opening	Hamlet	Martin Marquez	Director:Antony Tuckey
no birthday on article	unknown opening	Hamlet	Daniel Webb	Director:Yuri Lyubimov
13 May 1957	5th September 1984	Ophelia	Frances Barber	Director:Ron Daniels
16 January 1853	4th May 1908	Hamlet	J Forbes-Robertson	Director:J Forbes-Robertson
person not found on wiki	1st November 2006	Ophelia	Daphne Hipchikz	Director:Dov Weinstein
4 January 1983	11th December 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
person not found on wiki	11th December 2004	Ophelia	Meg Fraser	Director:Michael Boyd
10 May 1957	23rd September 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
10 July 1966	unknown opening	Ophelia	Gina Bellman	Director:Peter Hall
5 May 1944	5th September 1984	Hamlet	Roger Rees	Director:Ron Daniels
15 February 1931	unknown opening	Ophelia	Claire Bloom	Director:Michael Benthall
November 19, 1903	unknown opening	Ophelia	Nancy Carroll	Director:Gemma Bodinetz
29 December 1972	22nd August 2009	Hamlet	Jude Law	Director:Michael Grandage
21 April 1969	11th December 2004	Hamlet	Toby Stephens	Director:Michael Boyd
person not found on wiki	unknown opening	Hamlet	Colin Tierney	Director:Gemma Bodinetz
no birthday on article	2nd June 1937	Ophelia	Vivien Leigh	Director:Tyrone Guthrie
19 June 1966	11th December 2001	Hamlet	Samuel West	Director:Steven Pimlott
person not found on wiki	1st May 1916	Ophelia	Florence Glossop-Harris	Director:F R Benson
May 10, 1838	unknown opening	Hamlet	John Wilkes Booth	Director:unknown
no birthday on article	22nd February 2014	Iago	Chris Porter	Director:Caroline Devlin
no birthday on article	4th December 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
no birthday on article	1st November 2006	Hamlet	Ninja	Director:Dov Weinstein
person not found on wiki	1st May 1916	Hamlet	F R Benson	Director:F R Benson
person not found on wiki	22nd February 2014	Desdemona	Nicole Hartley	Director:Caroline Devlin
26 February 1864	24th April 1899	Ophelia	Constance Benson	Director:F R Benson
27 March 1957	unknown opening	Hamlet	Stephen Dillane	Director:Peter Hall
no birthday on article	22nd February 2014	Othello	David Carr	Director:Caroline Devlin
16 April 1963	26th April 1989	Ophelia	Rebecca Saire	Director:Ron Daniels
person not found on wiki	24th April 1899	Hamlet	F R Benson	Director:F R Benson
20 January 1962	unknown opening	Ophelia	Sophie Thompson	Director:Derek Jacobi
person not found on wiki	12th April 2008	Romeo	Benedict Fogarty	Director:Barrie Rutter
no birthday on article	unknown opening	Hamlet	Robert Harris	Director:Harcourt Williams
person not found on wiki	12th April 2008	Juliet	Sarah Ridgeway	Director:Barrie Rutter
14 April 1904	14th November 1934	Hamlet	John Gielgud	Director:John Gielgud
13 May 1957	18th February 1985	Ophelia	Frances Barber	Director:Ron Daniels
person not found on wiki	26th April 1880	Ophelia	Miss Masson	Director:Barry Sullivan
10 May 1957	4th December 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
no birthday on article	26th April 1880	Hamlet	Barry Sullivan	Director:Barry Sullivan
7 July 1915	unknown opening	Ophelia	Yvonne Mitchell	Director:Hugh Hunt
3 January 1916	30th April 1940	Ophelia	Peggy Bryan	Director:B Iden Payne
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
June 14, 1919	7th April 1959	Iago	Sam Wanamaker	Director:Tony Richardson
9 January 1912	30th April 1940	Hamlet	Basil Langton	Director:B Iden Payne
5 May 1944	18th February 1985	Hamlet	Roger Rees	Director:Ron Daniels
18 February 1933	7th April 1959	Desdemona	Mary Ure	Director:Tony Richardson
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
8 April 1930	12th December 1958	Ophelia	Dorothy Tutin	Director:Glen Byam Shaw
person not found on wiki	26th April 1924	Ophelia	Ethel Carrington	Director:W Bridges-Adams
10 December 1960	unknown opening	Hamlet	Kenneth Branagh	Director:Derek Jacobi
18 January 1960	26th April 1989	Hamlet	Mark Rylance	Director:Ron Daniels
20 March 1908	unknown opening	Hamlet	Michael Redgrave	Director:Hugh Hunt
10 May 1906	12th May 1930	Ophelia	Joyce Bland	Director:W Bridges-Adams
10 May 1906	20th April 1929	Ophelia	Joyce Bland	Director:W Bridges-Adams
person not found on wiki	27th July 1928	Ophelia	Mary Holder	Director:W Bridges-Adams
April 23, 1969	26th April 1924	Hamlet	Arthur Phillips	Director:W Bridges-Adams
no birthday on article	12th May 1930	Hamlet	George Hayes	Director:W Bridges-Adams
no birthday on article	20th April 1929	Hamlet	George Hayes	Director:W Bridges-Adams
no birthday on article	27th July 1928	Hamlet	George Hayes	Director:W Bridges-Adams
person not found on wiki	26th April 1920	Ophelia	Phyllis Relph	Director:W Bridges-Adams
26 February 1864	23rd April 1904	Ophelia	Constance Benson	Director:F R Benson
person not found on wiki	21st July 1920	Ophelia	Phyllis Relph	Director:W Bridges-Adams
10 November 1925	unknown opening	Hamlet	Richard Burton	Director:Michael Benthall
person not found on wiki	26th April 1920	Hamlet	Murray Carrington	Director:W Bridges-Adams
person not found on wiki	23rd April 1904	Hamlet	F R Benson	Director:F R Benson
person not found on wiki	21st July 1920	Hamlet	Murray Carrington	Director:W Bridges-Adams
person not found on wiki	4th February 1976	Ophelia	Yvonne Nicholson	Director:Buzz Goodbody
October 14, 1893	12th October 1936	Ophelia	Lillian Gish	Director:Guthrie McClintic
person not found on wiki	6th November 2004	Ophelia	Meg Fraser	Director:Michael Boyd
person not found on wiki	22nd April 1915	Ophelia	Molly Terraine	Director:F R Benson
20 March 1908	12th December 1958	Hamlet	Michael Redgrave	Director:Glen Byam Shaw
person not found on wiki	22nd April 1915	Hamlet	F R Benson	Director:F R Benson
9 February 1939	22nd December 1965	Ophelia	Janet Suzman	Director:Peter Hall
15 December 1981	23rd October 2010	Ophelia	Michelle Dockery	Director:Paul Miller
13 January 1964	15th July 2000	Ophelia	Cathryn Bradshaw	Director:John Caird
1958	10th December 1988	Ophelia	Sylvestra Le Touzel	Director:Ron Daniels
no birthday on article	22nd December 1965	Hamlet	David Warner	Director:Peter Hall
person not found on wiki	24th July 1922	Ophelia	Ethel Carrington	Director:W Bridges-Adams
22 May 1907	2nd June 1937	Hamlet	Laurence Olivier	Director:Tyrone Guthrie
26 February 1864	25th April 1906	Ophelia	Constance Benson	Director:F R Benson
March 5, 1882	24th July 1922	Hamlet	William Stack	Director:W Bridges-Adams
person not found on wiki	25th April 1906	Hamlet	F R Benson	Director:F R Benson
10 July 1970	23rd October 2010	Hamlet	John Simm	Director:Paul Miller
21 April 1969	6th November 2004	Hamlet	Toby Stephens	Director:Michael Boyd
person not found on wiki	25th September 2010	Ophelia	Helen Clapp	Director:Tanith Lindon
31 October 1952	1st August 1979	Ophelia	Jane Wymark	Director:Toby Robertson
8 May 1960	16th March 1989	Ophelia	Stella Gonet	Director:Richard Eyre
18 February 1933	unknown opening	Ophelia	Mary Ure	Director:Peter Brook
31 March 1928	10th April 1956	Ophelia	Dilys Hamlett	Director:Michael Langham
12 January 1961	15th July 2000	Hamlet	Simon Russell Beale	Director:John Caird
April 9, 1898	7th April 1959	Othello	Paul Robeson	Director:Tony Richardson
31 December 1943	4th February 1976	Hamlet	Ben Kingsley	Director:Buzz Goodbody
9 December 1934	unknown opening	Ophelia	Judi Dench	Director:Michael Benthall
21 September 1944	unknown opening	Ophelia	Susan Fleetwood	Director:unknown
3 October 1978	unknown opening	Romeo	Christian Coulson	Director:Josie Rourke
11 September 1923	10th April 1956	Hamlet	Alan Badel	Director:Michael Langham
no birthday on article	unknown opening	Hamlet	John Neville	Director:Michael Benthall
no birthday on article	23rd November 1832	Ophelia	Miss Vincent	Director:unknown
person not found on wiki	unknown opening	Juliet	Shereen Ibrahim	Director:Josie Rourke
person not found on wiki	18th March 1974	Ophelia	Ingride Mollison	Director:Peter Dews
18 January 1960	10th December 1988	Hamlet	Mark Rylance	Director:Ron Daniels
person not found on wiki	23rd November 1832	Hamlet	Mr Rumball	Director:unknown
person not found on wiki	18th March 1974	Hamlet	Hywell Bennett	Director:Peter Dews
no birthday on article	25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
person not found on wiki	6th May 2006	Ophelia	Roshina Ratnam	Director:Janet Suzman
person not found on wiki	25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
28 March 1940	28th April 1966	Ophelia	Estelle Kohler	Director:Peter Hall
person not found on wiki	6th May 2006	Hamlet	Vaneshran Arumugam	Director:Janet Suzman
no birthday on article	28th April 1966	Hamlet	David Warner	Director:Peter Hall
