2011	Orlando	Gunnar Cauthery	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2011	Rosalind	Jo Herbert	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012	Bassanio	Yousef Sweid	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Portia	Hila Feldman	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Shylock	Jacob Cohen	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Orlando	Will Featherstone	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012	Rosalind  	Deirdre Mullins	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2013	Rosalind	Ketevan Shatirishvili	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Jaques	Nata Murvanidze	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Orlando	Nika Kuchava	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
1998	Orlando	Paul Hilton	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Rosalind	Anastasia Hille	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Jaques	John McEnery	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2014	Shylock	Ognen Drangovski	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Portia	Catherine Bailey	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Bassanio	Nick Howard-Brown	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2015	Rosalind	Michelle Terry	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2015	Orlando	Simon Harrison	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2015	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Bassanio	Daniel Lapaine	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Bassanio	Dan Fredenburgh	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2009	Rosalind 	Naomi Frederick	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
2009	Orlando 	Jack Laskey	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
Feb 20, 1947	Orlando	Kempster Barnes	director unknown	Hall Shelton	New Century Theatre
Feb 20, 1947	Rosalind	Rosalind Iden	director unknown	Hall Shelton	New Century Theatre
Feb 20, 1947	Jaques	John Wynyard	director unknown	Hall Shelton	New Century Theatre
