Dominic West	Star Wars: Episode I – The Phantom Menace	1999	Palace Guard
Dominic West	Star Wars: Episode I – The Phantom Menace	1999	Palace Guard
Andy Serkis	Star Wars: The Force Awakens	2015	Supreme Leader Snoke
Andy Serkis	Star Wars: The Force Awakens	2015	Supreme Leader Snoke
Andy Serkis	Star Wars: The Last Jedi	2017	Supreme Leader Snoke
Andy Serkis	Star Wars: The Last Jedi	2017	Supreme Leader Snoke
Danny Sapani	Star Wars: The Last Jedi	2017	Medical Frigate Captain
Danny Sapani	Star Wars: The Last Jedi	2017	Medical Frigate Captain
Felicity Jones	Rogue One: A Star Wars Story	2016	Jyn Erso
Felicity Jones	Rogue One: A Star Wars Story	2016	Jyn Erso
James Earl Jones	Star Wars	1977	Darth Vader
James Earl Jones	The Empire Strikes Back	1980	Darth Vader
James Earl Jones	Return of the Jedi	1983	Darth Vader
James Earl Jones	Rogue One: A Star Wars Story	2016	Darth Vader
James Earl Jones	Rogue One: A Star Wars Story	2016	Darth Vader
James Earl Jones	Star Wars Rebels	2014	Darth Vader (voice)
James Earl Jones	Star Wars Holiday Special	1978	Darth Vader (voice)
James Earl Jones	Lego Star Wars: The Complete Saga	2007	Darth Vader
James Earl Jones	Star Wars	1977	Darth Vader
James Earl Jones	The Empire Strikes Back	1980	Darth Vader
James Earl Jones	Return of the Jedi	1983	Darth Vader
James Earl Jones	Rogue One: A Star Wars Story	2016	Darth Vader
James Earl Jones	Rogue One: A Star Wars Story	2016	Darth Vader
James Earl Jones	Star Wars Rebels	2014	Darth Vader (voice)
James Earl Jones	Star Wars Holiday Special	1978	Darth Vader (voice)
James Earl Jones	Lego Star Wars: The Complete Saga	2007	Darth Vader
Ewan Mcgregor	Star Wars: Episode I – The Phantom Menace	1999	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: Episode I – The Phantom Menace	1999	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: Episode II – Attack of the Clones	2002	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: Episode II – Attack of the Clones	2002	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: Episode III – Revenge of the Sith	2005	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: Episode III – Revenge of the Sith	2005	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Ewan Mcgregor	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Julian Glover	The Empire Strikes Back	1980	General Maximilian Veers
Michael Pennington	Return of the Jedi	1983	Moff Jerjerrod
Max Von Sydow	Star Wars: The Force Awakens	2015	Lor San Tekka
Max Von Sydow	Star Wars: The Force Awakens	2015	Lor San Tekka
Oscar Isaac	Star Wars: The Force Awakens	2015	Poe Dameron
Oscar Isaac	Star Wars: The Force Awakens	2015	Poe Dameron
Oscar Isaac	Star Wars: The Last Jedi	2017	Poe Dameron
Oscar Isaac	Star Wars: The Last Jedi	2017	Poe Dameron
Alec Guinness	Star Wars	1977	Obi-Wan Kenobi
Alec Guinness	The Empire Strikes Back	1980	Obi-Wan Kenobi
Alec Guinness	Return of the Jedi	1983	Obi-Wan Kenobi
Alec Guinness	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Alec Guinness	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Alec Guinness	Star Wars	1977	Obi-Wan Kenobi
Alec Guinness	The Empire Strikes Back	1980	Obi-Wan Kenobi
Alec Guinness	Return of the Jedi	1983	Obi-Wan Kenobi
Alec Guinness	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Alec Guinness	Star Wars: The Force Awakens	2015	Obi-Wan Kenobi
Ian Mcdiarmid	Return of the Jedi	1983	The Emperor
Ian Mcdiarmid	Star Wars: Episode I – The Phantom Menace	1999	Senator Palpatine/The Sith Lord Darth Sidious
Ian Mcdiarmid	Star Wars: Episode I – The Phantom Menace	1999	Senator Palpatine/The Sith Lord Darth Sidious
Ian Mcdiarmid	Star Wars: Episode II – Attack of the Clones	2002	Chancellor Palpatine/The Sith Lord Darth Sidious
Ian Mcdiarmid	Star Wars: Episode II – Attack of the Clones	2002	Chancellor Palpatine/The Sith Lord Darth Sidious
Ian Mcdiarmid	The Empire Strikes Back	2004	The Emperor
Ian Mcdiarmid	Star Wars: Episode III – Revenge of the Sith	2005	Chancellor/Emperor Palpatine/The Sith Lord Darth Sidious
Ian Mcdiarmid	Star Wars: Episode III – Revenge of the Sith	2005	Chancellor/Emperor Palpatine/The Sith Lord Darth Sidious
Dominic West	Star Wars: Episode I – The Phantom Menace	1999	Palace Guard
Dominic West	Star Wars: Episode I – The Phantom Menace	1999	Palace Guard
Daniel Craig	Star Wars: The Force Awakens	2015	Stormtrooper
Daniel Craig	Star Wars: The Force Awakens	2015	Stormtrooper
Andy Serkis	Star Wars: The Force Awakens	2015	Supreme Leader Snoke
Andy Serkis	Star Wars: The Force Awakens	2015	Supreme Leader Snoke
Andy Serkis	Star Wars: The Last Jedi	2017	Supreme Leader Snoke
Andy Serkis	Star Wars: The Last Jedi	2017	Supreme Leader Snoke
Danny Sapani	Star Wars: The Last Jedi	2017	Medical Frigate Captain
Danny Sapani	Star Wars: The Last Jedi	2017	Medical Frigate Captain
Felicity Jones	Rogue One: A Star Wars Story	2016	Jyn Erso
Felicity Jones	Rogue One: A Star Wars Story	2016	Jyn Erso
Alec Guinness	Star Wars	1977	Obi-Wan Kenobi
Alec Guinness	The Empire Strikes Back	1980	Obi-Wan Kenobi
