Apr 26, 2008	Mark Antony	Andrew Long	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
Apr 26, 2008	Octavius Caesar	Aubrey K Deeker	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
Apr 26, 2008	Cleopatra	Suzanne Bertish	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
Jun 05, 2007	Hamlet	Jeffrey Carlson	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
Jun 05, 2007	Ophelia	Michelle Beck	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
Apr 27, 2008	Julius Caesar	Dan Kremer	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Apr 27, 2008	Octavius Caesar	Aubrey K Deeker	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Apr 27, 2008	Mark Antony	Andrew Long	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Apr 27, 2008	Marcus Brutus	Tom Hammond	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Apr 27, 2008	Decius Brutus	Glen Pannell	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Sep 09, 2008	Juliet	James Davis	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Sep 09, 2008	Romeo	Finn Wittrock	David Muse	Shakespeare Theatre Company	Sidney Harman Hall
Jun 16, 2009	Lear	Stacy Keach	Robert Falls	Shakespeare Theatre Company	Sidney Harman Hall
Jun 16, 2009	Knight in Lear’s retinue	Gary Neal Johnson	Robert Falls	Shakespeare Theatre Company	Sidney Harman Hall
Jun 16, 2009	Fool	Howard Witt	Robert Falls	Shakespeare Theatre Company	Sidney Harman Hall
Jan 16, 2018	Hamlet	Michael Urie	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
Jan 16, 2018	Ophelia	Oyin Oladejo	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
Feb 23, 2016	Iago	Jonno Roberts*	Ron Daniels	Shakespeare Theatre Company	Sidney Harman Hall
Feb 23, 2016	Othello	Faran Tahir*	Ron Daniels	Shakespeare Theatre Company	Sidney Harman Hall
Feb 23, 2016	Desdemona	Ryman Sneed*	Ron Daniels	Shakespeare Theatre Company	Sidney Harman Hall
Feb 23, 2016	Emilia	Merritt Janson*	Ron Daniels	Shakespeare Theatre Company	Sidney Harman Hall
Feb 23, 2016	Othello Understudy	J Paul Nichols*	Ron Daniels	Shakespeare Theatre Company	Sidney Harman Hall
Sep 13, 2016	Romeo	Andrew Veenstra	Alan Paul	Shakespeare Theatre Company	Lansburgh Theatre
Sep 13, 2016	Juliet	Ayana Workman	Alan Paul	Shakespeare Theatre Company	Lansburgh Theatre
