2005-05-30	Miranda	Adrienne Gould	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
2005-05-30	Prospero	William Hutt	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
2005-05-30	Ariel	JACOB JAMES BCC	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
2005-05-30	Prospero (Alternate)	STEPHEN RUSSELL	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
1999-06-03	Macbeth	Rod Beattie	Diana Leblanc	Stratford Festival	Tom Patterson Theatre (Canada)
1999-06-03	Lady Macbeth	Martha Henry	Diana Leblanc	Stratford Festival	Tom Patterson Theatre (Canada)
2008-05-27	Hamlet	Ben Carlson	Adrian Noble	Stratford Festival	Festival Theatre (Canada)
2008-05-27	Ophelia	Adrienne Gould	Adrian Noble	Stratford Festival	Festival Theatre (Canada)
2002-05-31	Romeo	Graham Abbey	MILES POTTER	Stratford Festival	Festival Theatre (Canada)
2002-05-31	Juliet	CLAIRE JULLIEN	MILES POTTER	Stratford Festival	Festival Theatre (Canada)
2003-05-28	Cleopatra	DIANE D’AQUILA	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)
2010-06-25	Miranda	Trish Lindstrom 	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2010-06-25	Prospero	Christopher Plummer	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2010-06-25	Ariel	Julyana Soelistyo	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2003-05-28	Mark Antony	PETER DONALDSON	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)
2003-05-28	A Schoolmaster, Antony's Ambassador	AARON FRANKS	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)
2013-08-14	Othello	Dion Johnstone	Christopher Abraham	Stratford Festival	Avon Theatre (Canada)
2013-08-14	Iago	Graham Abbey	Christopher Abraham	Stratford Festival	Avon Theatre (Canada)
2013-08-14	Desdemona	Bethany Jillard	Christopher Abraham	Stratford Festival	Avon Theatre (Canada)
2014-05-26	King Lear	Colm Feore	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2014-05-26	Fool	Stephen Ouimette	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2007-05-28	King Lear	BRIAN BEDFORD	BRIAN BEDFORD	Stratford Festival	Festival Theatre (Canada)
2007-05-28	Fool	Bernard Hopkins	BRIAN BEDFORD	Stratford Festival	Festival Theatre (Canada)
2007-05-28	Standby Fool	KEITH DINICOL	BRIAN BEDFORD	Stratford Festival	Festival Theatre (Canada)
2016-05-30	Macbeth	Ian Lake	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2016-05-30	Lady Macbeth	Krystin Pellerin	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2016-05-30	Lady Macbeth's Attendant	Jessica B. Hill	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2004-06-04	Macbeth	Graham Abbey	JOHN WOOD	Stratford Festival	Festival Theatre (Canada)
2004-06-04	Lady Macbeth	Lucy Peacock	JOHN WOOD	Stratford Festival	Festival Theatre (Canada)
1999-05-31	Prospero	William Hutt	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1999-05-31	Miranda	Claire Jullien	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1999-05-31	Ariel	Michael Therriault	Richard Monette	Stratford Festival	Festival Theatre (Canada)
2008-05-26	Romeo	Gareth Potter	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2008-05-26	Juliet	Nikki M. James	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2002-08-24	King Lear	CHRISTOPHER PLUMMER	JONATHAN MILLER	Stratford Festival	Festival Theatre (Canada)
2002-08-24	Fool	BARRY MacGREGOR	JONATHAN MILLER	Stratford Festival	Festival Theatre (Canada)
2007-06-02	Othello	PHILIP AKIN	DAVID LATHAM	Stratford Festival	Tom Patterson Theatre (Canada)
2007-06-02	Iago	JONATHAN GOAD BCC	DAVID LATHAM	Stratford Festival	Tom Patterson Theatre (Canada)
2007-06-02	Desdemona	CLAIRE JULLIEN	DAVID LATHAM	Stratford Festival	Tom Patterson Theatre (Canada)
2009-06-01	Macbeth	Colm Feore	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2009-06-01	Lady Macbeth	Yanna McIntosh	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2000-05-20	Ophelia	Marion Day	Joseph Ziegler	Stratford Festival	Festival Theatre (Canada)
2000-05-20	Hamlet	Paul Gross	Joseph Ziegler	Stratford Festival	Festival Theatre (Canada)
2013-05-27	Romeo	Daniel Briere	Tim Carroll	Stratford Festival	Festival Theatre (Canada)
2013-05-27	Juliet	Sara Topham	Tim Carroll	Stratford Festival	Festival Theatre (Canada)
2014-08-14	Cleopatra	Yanna McIntosh	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)
2014-08-14	Mark Antony	Geraint Wyn Davies	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)
1997-06-06	Romeo	Jonathan Crombie	Diana Leblanc	Stratford Festival	Festival Theatre (Canada)
1997-06-06	Juliet	Marion Day	Diana Leblanc	Stratford Festival	Festival Theatre (Canada)
