1983-10-27T00:00:00	Hamlet	Robert Lindsay	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
2013-03-15T00:00:00	Hamlet	Paul Giamatti	James Bundy	Yale Repertory Theatre	University Theatre
2014-09-11T00:00:00	Hamlet	Maxine Peake	Sarah Frankcom	Royal Exchange Theatre	Royal Exchange Theatre
2015-08-05T00:00:00	Hamlet	Benedict Cumberbatch	Lyndsey Turner	Barbican	Barbican
2016-06-16T00:00:00	Hamlet	Joey Santia	Claire Shannon Kelly	Shakespeare on the Sound	Pinkney Park
2017-09-01T00:00:00	Hamlet	Tom Hiddleston	Kenneth Branagh	Kenneth Branagh Theatre Company/RADA	Jerwood Vanburgh Theatre
2012-09-19T00:00:00	Hamlet	LeRoy McClain	Liesl Tommy	California Shakespeare Theater	Bruns Amphitheater
2004-04-27T00:00:00	Hamlet	Ben Whishaw	Trevor Nunn	Old Vic	Old Vic
2011-02-25T00:00:00	Hamlet	Nicholas Shaw	Conrad Nelson	Northern Broadsides	New Vic Theatre
2002-11-08T00:00:00	Hamlet	Christopher Eccleston	Ian Brown	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds
2002-02-14T00:00:00	Hamlet	Guy Adkins	Charles Newell	Court Theatre	Court Theatre, Chicago
1990-09-04T00:00:00	Hamlet	Timothy Walker	Declan Donnellan	Cheek By Jowl	Theatre Royal, Bury St Edmunds
2016-02-11T00:00:00	Hamlet	Alan Mahon	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2008-03-20T00:00:00	Hamlet	Jamie Ballard	Jonathan Miller	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2016-01-01T00:00:00	Hamlet	Naeem Hayat	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Hamlet	Ladi Emeruwa	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Horatio/ Rosencrantz/ Laertes/ Guildenstern/ Hamlet	Matthew Romain	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2012-01-01T00:00:00	Hamlet 	Michael Benz	Dominic Dromgoole and Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2011-01-01T00:00:00	Hamlet	Joshua McGuire	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
1970-06-04T00:00:00	Hamlet	Alan MacKenzie Howard	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1997-12-04T00:00:00	Hamlet	Alex Jennings	Matthew Warchus	Royal Shakespeare Company	Barbican Theatre, London
1992-12-18T00:00:00	Hamlet	Kenneth Branagh	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
1976-02-04T00:00:00	Hamlet	Ben Kingsley	Buzz Goodbody	Royal Shakespeare Company	The Roundhouse, London
1920-07-21T00:00:00	Hamlet	Murray Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2006-05-03T00:00:00	Hamlet	Vaneshran Arumugam	Janet Suzman	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1879-04-24T00:00:00	Hamlet	Barry Sullivan	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1908-05-04T00:00:00	Hamlet	Johnston Forbes-Robertson	Johnston Forbes-Robertson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2006-10-31T00:00:00	Hamlet	Ninja	Dov Weinstein	Royal Shakespeare Company	The Cube, Royal Shakespeare Theatre, Stratford-upon-Avon
1989-11-23T00:00:00	Hamlet	Mark Rylance	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
1980-07-02T00:00:00	Hamlet	Michael Pennington	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-07-02T00:00:00	Old Hamlet's Ghost	Raymond Westwell	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1944-04-24T00:00:00	Hamlet	John Byron	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1928-07-27T00:00:00	Hamlet	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1985-02-18T00:00:00	Hamlet	Roger Rees	Ron Daniels	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
2001-12-11T00:00:00	Hamlet	Samuel West	Steven Pimlott	Royal Shakespeare Company	Barbican Theatre, London
1958-06-03T00:00:00	Hamlet	Michael Scudamore Redgrave	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-04-30T00:00:00	Hamlet	HB Irving	Patrick Kirwan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1924-04-26T00:00:00	Hamlet	Arthur Phillips	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
