2002-08-24T00:00:00	Juliet	Emily Blunt	Indhu Rubasingham	Chichester Festival	Chichester Festival Theatre
2005-09-07T00:00:00	Juliet	Gugu Mbatha-Raw	Jacob Murray	Royal Exchange Theatre	Royal Exchange Theatre
2010-09-15T00:00:00	Juliet	Joy Farmer-Clary	Gale Edwards	Chicago Shakespeare Theater	The Yard
2012-06-26T00:00:00	Juliet	Ali Ahn	Joanna Settle	Shakespeare on the Sound	Pinkney Park
2013-07-24T00:00:00	Juliet	Natalie Dew	Bijan Sheibani	National Theatre	Shed
2018-06-05T00:00:00	Juliet	Emily Ota	Dámaso Rodríguez	Oregon Shakespeare Festival	Allen Elizabethan Theater
2013-07-03T00:00:00	Juliet	Rebekah Brockman	Shana Cooper	California Shakespeare Theater	Bruns Amphitheater
2015-02-19T00:00:00	Juliet	Daisy Whalley	Polina Kalinina	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2013-01-01T00:00:00	Juliet	Jade Anouka	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2017-01-01T00:00:00	Juliet	Kirsty Bushell	Daniel Kramer	Shakespeare's Globe	Shakespeare's Globe
2008-01-01T00:00:00	Juliet	Dominique Bull	Elizabeth Freestone	Shakespeare's Globe	Shakespeare's Globe
2009-01-01T00:00:00	Juliet	Ellie Kendrick	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2007-01-01T00:00:00	Juliet	Ellie Piercy	Edward Dick	Shakespeare's Globe	Shakespeare's Globe
2009-01-01T00:00:00	Juliet	Lorraine Burroughs	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2015-01-01T00:00:00	Juliet	Cassie Layton	Dominic Dromgoole & Tim Hoare	Shakespeare's Globe	Shakespeare's Globe
2004-01-01T00:00:00	Juliet	Kananu Kirimi	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
1926-04-16T00:00:00	Juliet	Rosaline Courtneidge	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-08-15T00:00:00	Juliet	Dorothy Green	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1986-04-08T00:00:00	Juliet	Niamh Cusack	Michael Bogdanov	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1919-08-11T00:00:00	Juliet	Joyce Carey	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1961-08-15T00:00:00	Juliet	Dorothy Tutin	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1930-04-25T00:00:00	Juliet	Joyce Bland	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1947-04-05T00:00:00	Juliet	Daphne Slater	Peter Brook	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1908-04-30T00:00:00	Juliet	Constance Collier	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2008-12-04T00:00:00	Juliet's Nurse	Julie Legrand	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2008-12-04T00:00:00	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1885-04-21T00:00:00	Juliet	Miss Alleyn	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1983-10-10T00:00:00	Juliet	Amanda Root	John Caird	Royal Shakespeare Company	Tour
1990-01-04T00:00:00	Juliet	Georgia Slowe	Terry Hands	Royal Shakespeare Company	Pit, London
1902-04-17T00:00:00	Juliet	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-07-10T00:00:00	Juliet	Nell Carter	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1967-09-13T00:00:00	Juliet	Estelle Kohler	Karolos Koun	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1981-02-23T00:00:00	Juliet	Judy Buxton	Ron Daniels	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1998-02-17T00:00:00	Juliet	Zoe Waites	Michael Attenborough	Royal Shakespeare Company	Tour
2010-03-18T00:00:00	Juliet	Mariah Gale	Rupert Goold	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1995-04-05T00:00:00	Juliet	Lucy Whybrow	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2006-04-18T00:00:00	Juliet	Morven Christie	Nancy Meckler	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1936-04-16T00:00:00	Juliet	Pamela Brown	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2001-01-17T00:00:00	Juliet	Alexandra Gilbreath	Michael Boyd	Royal Shakespeare Company	Barbican Theatre, London
1991-08-28T00:00:00	Juliet	Clare Holman	David Leveaux	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1977-07-05T00:00:00	Juliet	Francesca Annis	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London
1934-04-21T00:00:00	Juliet	 Rachel Kempson	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1938-04-26T00:00:00	Juliet	Valerie Tudor	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1911-07-26T00:00:00	Juliet	Constance Collier	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1958-12-12T00:00:00	Juliet	Dorothy Tutin	Glen Byam Shaw	Royal Shakespeare Company	Tour
1954-04-27T00:00:00	Juliet	Zena Walker	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1915-08-13T00:00:00	Juliet	Dorothie Pidcock	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1945-06-07T00:00:00	Juliet	Moira Lister	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1941-05-02T00:00:00	Juliet	Margaretta Scott	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1882-04-24T00:00:00	Juliet	Virginia Bateman	Edward Compton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1902-04-17T00:00:00	Juliet	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1973-03-28T00:00:00	Juliet	Estelle Kohler	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2004-04-07T00:00:00	Juliet	Sian Brooke	Peter Gill	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1960-01-01T00:00:00	Nurse to Juliet	Peggy Mount	Franco Zeffirelli	Old Vic Company	Old Vic, London
1960-01-01T00:00:00	Juliet	Judi Dench	Franco Zeffirelli	Old Vic Company	Old Vic, London
2013-07-27T00:00:00	Juliet	Loren O’Brien	director unknown	Grassroots Shakespeare London	Old Red Lion Theatre, London
2009-07-18T00:00:00	Juliet Capulet	Charlotte Still	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
1971-12-02T00:00:00	Juliet	Louise Purnell	Peter James	National Theatre at the Young Vic	Young Vic, London
2004-02-14T00:00:00	Juliet, daughter of Capulet 	Victoria Bolt	director unknown	Perth Theatre Company	Perth Theatre, Scotland
2009-04-18T00:00:00	Juliet	Lana Sugarman	Marisa King	Scarborough Players	Scarborough Village Theatre
1966-01-01T00:00:00	Juliet’s Nurse	Madge Ryan	Val May	Bristol Old Vic Co.	Bristol Old Vic
1966-01-01T00:00:00	Juliet	Jane Asher	Val May	Bristol Old Vic Co.	Bristol Old Vic
1968-01-01T00:00:00	Juliet	Olivia Hussey	Franco Zeffirelli	unknown production company	Film Version
1966-01-01T00:00:00	Juliet	Vivien Heilbron	Noreen Craven	Salisbury Playhouse	Salisbury Playhouse
1997-01-01T00:00:00	Juliet	Emily Joyce	Antony Tuckey	unknown production company	Wolsey Theatre, Ipswich
1991-01-01T00:00:00	Juliet	Geraldine Somerville	Andrew Hay	unknown production company	Bristol Old Vic
1996-01-01T00:00:00	Juliet	Michelle Hardwick	director unknown	Northern Broadsides	UK Tour
1940-05-09T00:00:00	Juliet	Vivien Leigh	Laurence Olivier	unknown production company	51st Street Theatre, New York
1996-04-13T00:00:00	Juliet	Kirsten Parker	Zoe Seaton	unknown production company	Norwich Playhouse
1935-10-17T00:00:00	Juliet	Peggy Ashcroft	John Gielgud	unknown production company	New Theatre, London
1996-01-01T00:00:00	Juliet	Joanne Mitchell	Simon Parry	unknown production company	New End Theatre, London
