1997-08-01T00:00:00	King Lear	Kathryn Hunter	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic
1999-09-08T00:00:00	King Lear	Tom Courtenay	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre
2004-02-13T00:00:00	King Lear	Avery Brooks	Harold Scott	Yale Repertory Theatre	University Theatre
2005-05-17T00:00:00	King Lear	David Warner	Steven Pimlott	Chichester Festival	Chichester Festival Theatre
2010-06-24T00:00:00	King Lear	Harry Groener	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
2010-06-24T00:00:00	King Lear	Dakin Matthews	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
2013-10-31T00:00:00	King Lear	Frank Langella	Angus Jackson	Chichester Festival	Chichester Festival Theatre
2014-01-23T00:00:00	King Lear	Simon Russell Beale	Sam Mendes	National Theatre	Olivier Theatre
2014-09-09T00:00:00	King Lear	Larry Yando	Barbara Gaines	Chicago Shakespeare Theater	The Yard
2016-10-25T00:00:00	King Lear	Glenda Jackson	Deborah Warner	Old Vic	Old Vic
2007-09-15T00:00:00	King Lear	Jeffrey DeMunn	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater
2015-09-16T00:00:00	King Lear	Anthony Heald	Amanda Dehnert	California Shakespeare Theater	Bruns Amphitheater
2014-01-01T00:00:00	King Lear	Joseph Marcell	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2013-01-01T00:00:00	King Lear	Aleh Sidorchik	Vladimir Shcherban	Shakespeare's Globe	Shakespeare's Globe
2013-01-01T00:00:00	Cordelia/Lear's Fool	Bethan Cullinane	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2008-01-01T00:00:00	Lear's Fool	Danny Lee Wynter	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2008-01-01T00:00:00	Lear's Knight	Kevork Malikyan	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2008-01-01T00:00:00	King Lear	David Calder	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
