2011-01-01T00:00:00	Orlando	Gunnar Cauthery	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012-01-01T00:00:00	Orlando	Will Featherstone	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2013-01-01T00:00:00	Orlando	Nika Kuchava	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
1998-01-01T00:00:00	Orlando	Paul Hilton	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2015-01-01T00:00:00	Orlando	Simon Harrison	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2009-01-01T00:00:00	Orlando 	Jack Laskey	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
1947-02-20T00:00:00	Orlando	Kempster Barnes	director unknown	Hall Shelton	New Century Theatre
1986-11-12T00:00:00	Orlando	Michael Rivera	Estelle Parsons	Joseph Papp	Belasco Theatre
1941-10-20T00:00:00	Orlando	Alfred Drake	Eugene S. Bryden	Ben A. Boyar and Eugene S. Bryden	Mansfield Theatre
1950-01-26T00:00:00	Orlando	William Prince	Michael Benthall	The Theatre Guild	Cort Theatre
1974-12-03T00:00:00	Orlando	Paul Hastings	Clifford Williams	S. Hurok	Mark Hellinger Theatre
1937-10-30T00:00:00	Orlando	Shepperd Strudwick	Samuel Rosen	The Surry Players	Ritz Theatre
1912-09-30T00:00:00	Orlando	Frederick Lewis	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
1923-04-23T00:00:00	Orlando	Ian Keith	director unknown	American National Theatre and Robert Milton	48th Street Theatre
1997-05-18T00:00:00	Orlando	Kevin Kelly	Liviu Ciulei	The Acting Company	Theater at St. Clement's Church
2003-04-07T00:00:00	Orlando/Oliver	Lorenzo Pisoni	Erica Schmidt	The Public Theater	Joseph Papp Public Theater/Martinson Theater
1992-07-02T00:00:00	Orlando	Jake Weber	Adrian Hall	The Public Theater	Delacorte Theater
2017-09-28T00:00:00	Orlando	Kyle Scatliffe	John Doyle	Classic Stage Company	East 13th Street/CSC Theatre
1973-06-21T00:00:00	Orlando	Raul Julia	Joseph Papp	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
1958-01-20T00:00:00	Orlando	Robert Blackburn	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
2003-03-20T00:00:00	Orlando	Martin Hutson	Gregory Thompson	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2009-04-28T00:00:00	Orlando	Jonjo O'Neill	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1989-09-13T00:00:00	Orlando	Jerome Flynn	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1961-07-04T00:00:00	Orlando	Ian Bannen	Michael Elliott	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2000-03-23T00:00:00	Orlando	Anthony Howell	Gregory Doran	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1946-05-31T00:00:00	Orlando	Myles Eason	Herbert M Prentice	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1968-05-15T00:00:00	Orlando	Michael Williams	David Jones	Royal Shakespeare Company	unknown theatre
1996-04-25T00:00:00	Orlando	Liam Cunningham	Steven Pimlott	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2007-03-06T00:00:00	Orlando	Sam Troughton	Samuel West	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1940-04-24T00:00:00	Orlando	Richard Hurndall	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1940-04-24T00:00:00	Orlando	Godfrey Kenton	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1925-04-14T00:00:00	Orlando	Maurice Colbourne	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1973-06-12T00:00:00	Orlando	David Suchet	Buzz Goodbody	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1944-04-13T00:00:00	Orlando	John Byron	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1992-04-22T00:00:00	Orlando	Peter De Jersey	David Thacker	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1914-05-01T00:00:00	Orlando	Gerald Lawrence	Patrick Kirwan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1977-09-06T00:00:00	Orlando	Peter McEnery	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1919-04-22T00:00:00	Orlando	Geoffrey Kerr	Nigel Playfair	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1927-07-13T00:00:00	Orlando	George Skillan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1879-04-30T00:00:00	Orlando	Edward Compton	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1962-01-10T00:00:00	Orlando	Patrick Allen	Michael Elliott	Royal Shakespeare Company	Aldwych Theatre, London
1900-04-23T00:00:00	Orlando	T B Thalberg	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1985-04-23T00:00:00	Orlando	Hilton McRae	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1952-04-29T00:00:00	Orlando	Laurence Harvey	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1930-07-09T00:00:00	Orlando	Ernest Hare	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2005-08-17T00:00:00	Orlando	Barnaby Kay	Dominic Cooke	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1937-03-31T00:00:00	Orlando	Godfrey Kenton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1882-05-01T00:00:00	Orlando	F W Wyndham	Edward Compton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1942-04-09T00:00:00	Orlando	Lee Fox	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-08-08T00:00:00	Orlando	Murray Carrington	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1915-08-07T00:00:00	Orlando	Basil Rathbone	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1981-03-31T00:00:00	Orlando de Boys	John Bowe	Terry Hands	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1935-04-17T00:00:00	Orlando	Ernest Hare	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2013-04-24T00:00:00	Orlando	Alex Waldmann	Maria Aberg	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1933-04-19T00:00:00	Orlando	John Wyse	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1911-07-27T00:00:00	Orlando	P Gedge Twyman	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1885-08-29T00:00:00	Orlando	Johnston Forbes-Robertson	Henry E Abbey	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1921-04-27T00:00:00	Orlando	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1880-04-30T00:00:00	Orlando	John Amory	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1939-04-04T00:00:00	Orlando	Geoffrey Keen	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1910-08-03T00:00:00	Orlando	Eric Maxon	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1885-04-29T00:00:00	Orlando	Felix Pitt	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1957-04-02T00:00:00	Orlando	Richard Johnson	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1952-12-02T00:00:00	Orlando	Keith Michell	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1908-05-01T00:00:00	Orlando	Henry Ainley	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1978-09-15T00:00:00	Orlando	James Laurenson	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London
1911-05-02T00:00:00	Orlando	Henry Ainley	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1920-07-21T00:00:00	Orlando	Murray Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1895-04-24T00:00:00	Orlando	Frank Rodney	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1912-08-06T00:00:00	Orlando	Milton Quinney	director unknown	Royal Shakespeare Company	Memorial Lecture Room, Stratford-upon-Avon
2009-11-17T00:00:00	Orlando	John Behlmann	Maria Aitken	Shakespeare Theatre Company	Sidney Harman Hall
1989-04-25T00:00:00	Orlando	Mark Philpot	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library
1997-02-11T00:00:00	Orlando	C.J. Wilson	Laurence Boswell	Shakespeare Theatre Company	Lansburgh Theatre
