1986-02-18T00:00:00	Othello	Charles S. Dutton	Dennis Scott	Yale Repertory Theatre	University Theatre
1992-09-23T00:00:00	Othello	Harry J. Lennix	Eric Simonson	Court Theatre	Court Theatre, Chicago
2002-09-11T00:00:00	Othello	Paterson Joseph	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
2007-11-29T00:00:00	Othello	Chiwetel Ejiofor	Michael Grandage	Donmar Warehouse	Donmar Warehouse
2010-06-15T00:00:00	Othello	Victor Williams	Joanna Settle	Shakespeare on the Sound	Pinkney Park
2013-04-23T00:00:00	Othello	Adrian Lester	Nicholas Hytner	National Theatre	Olivier Theatre
2016-02-18T00:00:00	Othello	James Vincent Meredith	Jonathan Munby	Chicago Shakespeare Theater	The Yard
2018-02-16T00:00:00	Othello	Chris Butler	Bill Rauch	Oregon Shakespeare Festival	Angus Bowmer Theatre
2016-09-14T00:00:00	Othello	Aldo Billingslea	Eric Ting	California Shakespeare Theater	Bruns Amphitheater
1987-09-16T00:00:00	Othello	John Kani	Janet Suzman	Market Theatre	Market Theatre
2011-09-19T00:00:00	Othello	Clarke Peters	Daniel Evans	Crucible	Crucible, Sheffield
1921-04-21T00:00:00	Othello	Godfrey Tearle	James Bernard Fagan	unknown	Royal Court
1982-09-22T00:00:00	Othello	Doyle Richmond	Declan Donnellan	Cheek By Jowl	Fermoy Centre, King’s Lynn
2004-03-13T00:00:00	Othello	Nonso Anozie	Declan Donnellan	Cheek By Jowl	Théâtre l'Idéal, Théâtre du Nord Lille
2017-02-16T00:00:00	Othello	Abraham Popoola	Richard Twyman	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2007-02-08T00:00:00	Othello	Leo Wringer	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2015-01-01T00:00:00	Othello	Lloyd Everitt	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2017-01-01T00:00:00	Othello	Kurt Egyiawan	Ellen McDougall	Shakespeare's Globe	Shakespeare's Globe
2007-01-01T00:00:00	Othello	Eamonn Walker	Wilson Milam	Shakespeare's Globe	Shakespeare's Globe
1954-03-16T00:00:00	Othello	Anthony Quayle	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2006-04-27T00:00:00	Othello	Thomas Thieme	Luk Perceval	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1961-10-10T00:00:00	Othello	John Gielgud	Franco Zeffirelli	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1972-07-18T00:00:00	Othello	Brewster Mason	John Barton	Royal Shakespeare Company	Aldwych Theatre, London
1980-08-14T00:00:00	Othello's soldier	Alan Gill	Ronald Eyre	Royal Shakespeare Company	Aldwych Theatre, London
1980-08-14T00:00:00	Othello's soldier	Patrick Gordon	Ronald Eyre	Royal Shakespeare Company	Aldwych Theatre, London
1980-08-14T00:00:00	Othello's soldier	Stephen Rashbrook	Ronald Eyre	Royal Shakespeare Company	Aldwych Theatre, London
1980-08-14T00:00:00	Othello	Donald Sinden	Ronald Eyre	Royal Shakespeare Company	Aldwych Theatre, London
1980-08-14T00:00:00	Othello's soldier	Mark Tandy	Ronald Eyre	Royal Shakespeare Company	Aldwych Theatre, London
