2012-01-01T00:00:00	Portia	Hila Feldman	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2014-01-01T00:00:00	Portia	Catherine Bailey	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2015-01-01T00:00:00	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
1928-01-16T00:00:00	Portia	Peggy Wood	Winthrop Ames	Winthrop Ames	Broadhurst Theatre
1931-11-16T00:00:00	Portia	Helen Menken	director unknown	Chicago Civic Shakespeare Society	Royale Theatre
2010-11-13T00:00:00	Portia	Lily Rabe	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre
1973-03-01T00:00:00	Portia	Rosemary Harris	Ellis Rabb	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
1930-12-02T00:00:00	Portia	Selena Royle	director unknown	Charles Dillingham	Times Square Theatre
1925-12-26T00:00:00	Portia	Ethel Barrymore	Walter Hampden	unknown production company	Hampden's Theatre
1989-12-19T00:00:00	Portia	Geraldine James	Peter Hall	Duncan C. Weldon and Jerome Minskoff	46th Street Theatre
1947-02-22T00:00:00	Portia	Rosalind Iden	director unknown	Hall Shelton	New Century Theatre
1922-12-21T00:00:00	Portia	Mary Servoss	David Belasco	David Belasco	Lyceum Theatre
1953-03-04T00:00:00	Servant to Portia	Chris Mahan	director unknown	New York City Drama Company	City Center
1953-03-04T00:00:00	Portia	Margaret Phillips	director unknown	New York City Drama Company	City Center
1953-03-04T00:00:00	Servant to Portia	Steven Thomas	director unknown	New York City Drama Company	City Center
1917-04-16T00:00:00	Portia	Genevieve Hamper	director unknown	Robert B. Mantell Repertoire	44th Street Theatre
1913-09-22T00:00:00	Portia	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
1916-05-08T00:00:00	Portia	Elsie Ferguson	director unknown	unknown production company	New Amsterdam Theatre
1913-01-20T00:00:00	Portia	Amelia Gardner	director unknown	unknown production company	Harris Theatre
1909-03-08T00:00:00	Portia	Marie Booth Russell	director unknown	William A. Brady	New Amsterdam Theatre
1910-01-17T00:00:00	Portia	Keith Wakeman	director unknown	Ben Greet Repertory	Garden Theatre
1901-10-21T00:00:00	Portia	Ellen Terry	director unknown	Henry Irving-Ellen Terry Company	Knickerbocker Theatre
1901-05-24T00:00:00	Portia	Maxine Elliott	director unknown	unknown production company	Knickerbocker Theatre
2007-02-04T00:00:00	Portia	Kate Forbes	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street
1986-12-14T00:00:00	Portia	Sigourney Weaver	Jim Simpson	Classic Stage Company	East 13th Street/CSC Theatre
1980-03-04T00:00:00	Portia	Karen Sunde	Christopher Martin	CSC Repertory	East 13th Street/CSC Theatre
1995-01-17T00:00:00	Portia	Laila Robins	Barry Edelstein	The Public Theater	Joseph Papp Public Theater/Anspacher Theater
1962-06-19T00:00:00	Portia	Nan Martin	Joseph Papp	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
1898-04-12T00:00:00	Portia	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1956-04-17T00:00:00	Portia	Margaret Johnston	Margaret Webster	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1911-07-26T00:00:00	Portia	Constance Collier	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1998-09-28T00:00:00	Portia	Helen Schlesinger	Gregory Doran	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1994-04-08T00:00:00	Portia	Penny Downie	David Thacker	Royal Shakespeare Company	Barbican Theatre, London
1940-04-25T00:00:00	Portia	Thea Holme	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1940-04-25T00:00:00	Page to Portia	Rosemary Morgan	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1947-07-11T00:00:00	Portia	Beatrix Lehmann	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1984-04-10T00:00:00	Portia's father	Richard Easton	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1984-04-10T00:00:00	Portia	Frances Tomelty	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1978-05-11T00:00:00	Portia	Marjorie Bland	John Barton	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1920-04-19T00:00:00	Portia	Phyllis Relph	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-07-07T00:00:00	Portia	Ethel Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1907-04-29T00:00:00	Portia	Violet Vanbrugh	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1910-05-06T00:00:00	Portia	Ellen Terry	Francis Robert Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1941-07-25T00:00:00	Portia	Margaretta Scott	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1887-04-18T00:00:00	Portia	Ethel Johnson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2008-04-10T00:00:00	Portia	Georgina Rich	Tim Carroll	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1915-04-21T00:00:00	Portia	Florence Glossop-Harris	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2002-01-29T00:00:00	Portia	Hermione Gulliford	Loveday Ingram	Royal Shakespeare Company	Tour
1921-08-03T00:00:00	Portia	Dorothy Green	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1928-05-07T00:00:00	Portia	Dorothy Massingham	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1913-10-06T00:00:00	Portia	Dorothy Green	director unknown	Royal Shakespeare Company	Tour
1914-04-20T00:00:00	Portia	Margaret Halstan	Patrick Kirwan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1933-04-20T00:00:00	Portia	Fabia Drake	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1948-04-19T00:00:00	Portia	Diana Wynyard	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1906-05-05T00:00:00	Portia	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1932-05-16T00:00:00	Portia	Lilian Braithwaite	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1971-03-30T00:00:00	Portia	Judi Dench	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1911-04-18T00:00:00	Portia	Nancy Price	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1987-04-29T00:00:00	Portia	Deborah Findlay	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
