1968-07-16T00:00:00	Prospero	John Clements	David Jones	Chichester Festival	Chichester Festival Theatre
1990-09-13T00:00:00	Prospero	David Horovitch	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
2007-05-23T00:00:00	Prospero	Pete Postlethwaite	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre
2014-08-08T00:00:00	Prospero	Lisa Harrow	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage
2015-09-08T00:00:00	Prospero	Larry Yando	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard
2016-09-23T00:00:00	Prospero	Harriet Walter	Phyllida Lloyd	Donmar Warehouse	Donmar King's Cross
2018-05-28T00:00:00	Prospero	Martha Henry	Antoni Cimolino	Stratford Festival	Festival Theatre
2012-05-30T00:00:00	Prospero	Michael Winters	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater
2007-03-01T00:00:00	Prospero	Barrie Rutter	Barrie Rutter	Northern Broadsides	New Vic Theatre
1999-01-28T00:00:00	Prospero	Ian McKellen	Jude Kelly	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds
1988-08-11T00:00:00	Prospero	Timothy Walker	Declan Donnellan	Cheek By Jowl	Villa Communale, Italy
2010-03-25T00:00:00	Prospero	Ian Barritt	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2013-01-01T00:00:00	Prospero						Roger Allam	Jeremy Herrin	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Prospero						Tim McMullan	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2002-05-07T00:00:00	Prospero	Malcolm Storry	Michael Boyd	Royal Shakespeare Company	The Roundhouse, London
1919-08-08T00:00:00	Prospero	Charles Doran	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2012-04-25T00:00:00	Prospero	Jonathan Slinger	David Farr	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1957-12-05T00:00:00	Prospero	John Gielgud	Peter Brook	Royal Shakespeare Company	Theatre Royal, Drury Lane, London
1988-07-27T00:00:00	Prospero	John Wood	Nicholas Hytner	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1926-07-08T00:00:00	Prospero	George Skillan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1946-04-20T00:00:00	Prospero	Robert Harris	Eric Crozier	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993-08-11T00:00:00	Prospero	Alec McCowen	Sam Mendes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1978-05-02T00:00:00	Prospero	Michael Murray Hordern	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2000-10-20T00:00:00	Prospero	Philip Voss	James Macdonald	Royal Shakespeare Company	Pit, London
1942-04-17T00:00:00	Prospero	George Hayes	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1998-02-25T00:00:00	Prospero	David Calder	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1951-06-26T00:00:00	Prospero	Michael Scudamore Redgrave	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1992-12-03T00:00:00	Prospero	Haruhiko Joh	Yukio Ninagawa	Royal Shakespeare Company	Barbican Theatre, London
1995-09-12T00:00:00	Prospero	Paul Jesson	David Thacker	Royal Shakespeare Company	Tour
2009-02-18T00:00:00	Prospero	Antony Sher	Janice Honeyman	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1952-03-25T00:00:00	Prospero	Ralph Richardson	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1911-07-31T00:00:00	Prospero	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1963-04-02T00:00:00	Prospero	Tom Fleming	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1930-04-28T00:00:00	Prospero	Wilfrid Walter	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1916-08-02T00:00:00	Prospero	Jerrold Robertshaw	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1935-04-26T00:00:00	Prospero	Neil Porter	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
