2013-02-14T00:00:00	Richard III	John Mackay	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2012-01-01T00:00:00	Richard III	Mark Rylance	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2003-01-01T00:00:00	Sir Richard Ratcliffe, Richard Duke of York ...	Liza Hayden	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
2003-01-01T00:00:00	Richard III	Kathryn Hunter	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
1911-04-21T00:00:00	Sir Richard Ratcliff	L Rupert	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1975-10-07T00:00:00	Richard III	Ian Richardson	Barry Kyle	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1975-10-07T00:00:00	Richard Duke of York	Neil Surman	Barry Kyle	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1961-05-24T00:00:00	Richard III	Christopher Plummer	William Gaskill	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1964-01-11T00:00:00	Richard III	Ian Holm	Peter Hall	Royal Shakespeare Company	Aldwych Theatre, London
1964-01-11T00:00:00	Sir Richard Ratcliff	John Hussey	Peter Hall	Royal Shakespeare Company	Aldwych Theatre, London
2001-03-11T00:00:00	Richard Ratcliffe	Gavin Marshall	Michael Boyd	Royal Shakespeare Company	Power Center for the Performing Arts, Ann Arbor, Michigan, USA
2001-03-11T00:00:00	Richard III	Aidan McArdle	Michael Boyd	Royal Shakespeare Company	Power Center for the Performing Arts, Ann Arbor, Michigan, USA
1980-11-04T00:00:00	Sir Richard Ratcliff	John Bowe	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-11-04T00:00:00	Richard III	Alan MacKenzie Howard	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-11-04T00:00:00	Richard of York(alt)	Tom Scampion	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-11-04T00:00:00	Richard of York(alt)	Jeremy Sullivan	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1906-05-05T00:00:00	Richard Radcliffe	Philip Sanders	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1923-04-28T00:00:00	Richard III	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1992-09-29T00:00:00	Richard III	Simon Russell Beale	Sam Mendes	Royal Shakespeare Company	Tour
1992-09-29T00:00:00	Richard III	Ciaran Hinds	Sam Mendes	Royal Shakespeare Company	Tour
1985-04-30T00:00:00	Richard of York(alt)	Ashley Clark	Bill Alexander	Royal Shakespeare Company	Barbican Theatre, London
1985-04-30T00:00:00	Page to Richard II	Charles Hillam	Bill Alexander	Royal Shakespeare Company	Barbican Theatre, London
