14.03.1989	Ariel	Duncan Bell	Nicholas Hytner	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
15.10.1970	Ariel	Ben Kingsley	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
09.06.2012	Ariel	Sandy Grierson	David Farr	Royal Shakespeare Company	Camden Roundhouse, London
25.07.1995	Ariel	Bonnie Engstrom	David Thacker	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
19.04.1897	Ariel	Margaret Ormerod	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
09.05.1947	Ariel	Joy Parker	Norman Wright	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
01.03.1994	Ariel	Simon Russell Beale	Sam Mendes	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
31.07.1911	Ariel as Sea Nymph	Mary Grey	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
31.07.1911	Ariel	Emil Leslie	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
07.05.2002	Ariel	Kananu Kirimi	Michael Boyd	Royal Shakespeare Company	The Roundhouse, London
20.04.1946	Ariel	David O'Brien	Eric Crozier	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
06.05.1904	Ariel	Ethel Dane	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
05.01.1999	Ariel	Scott Handy	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
25.03.1952	Ariel	Margaret Leighton	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
02.08.1916	Ariel	Doris Keys	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
08.08.1919	Ariel	Leah Hanman	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
16.04.1934	Ariel	 Rachel Kempson	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
23.04.1891	Ariel	Miss Johnstone	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
28.04.1930	Ariel	Miriam Adams	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
17.11.2016	Ariel	Mark Quartley	director unknown	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
02.05.1978	Ariel	Ian Charleson	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
13.09.1983	Ariel	Mark Rylance	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
25.04.1941	Ariel	Pamela Alan	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
22.10.1974	Ariel	Robert Lloyd	Keith Hack	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
05.12.1957	Ariel	Brian Bedford	Peter Brook	Royal Shakespeare Company	Theatre Royal, Drury Lane, London
08.07.1926	Ariel	Joan Duan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
03.12.1992	Ariel	Yoji Matsuda	Yukio Ninagawa	Royal Shakespeare Company	Barbican Theatre, London
18.02.2009	Ariel	Atandwa Kani	Janice Honeyman	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
24.11.2000	Ariel	Gilz Terera	James Macdonald	Royal Shakespeare Company	Tour
15.03.2011	Ariel	Jonathan Storey	Peter Glanville	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
09.05.1908	Ariel	Leah Hanman	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
