2005-01-01T00:00:00	Antonio, Ariel, Mirando, Trinculo	Edward Hogg	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
1989-10-25T00:00:00	Ariel a spirit	B.D. Wong	Jude Kelly	Roundabout Theatre Company	Union Square Theatre
1911-07-31T00:00:00	Ariel as Sea Nymph	Mary Grey	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-01-01T00:00:00	Ariel; Ceres	Steven Mackintosh	Peter Hall	National Theatre	Cottesloe Theatre, National Theatre
2006-01-01T00:00:00	Cleopatra, Queen of Egypt	Frances Barber	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2014-01-01T00:00:00	Cordelia/Fool	Bethan Cullinane	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2013-01-01T00:00:00	Cordelia/Lear's Fool	Bethan Cullinane	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
1982-02-28T00:00:00	Fool/King of France	Noble Shropshire	Christopher Martin	Classic Stage Company	East 13th Street/CSC Theatre
2007-03-07T00:00:00	Fool/Old Man	Philip Goodwin	James Lapine	The Public Theater	Joseph Papp Public Theater/Anspacher Theater
2012-01-01T00:00:00	Hamlet 	Michael Benz	Dominic Dromgoole and Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
1976-06-07T00:00:00	Hamlet (a)	Richard Monette	William Hutt	Stratford Festival	Avon Theatre (Canada)
1976-06-07T00:00:00	Hamlet (b)	Nicholas Pennell	William Hutt	Stratford Festival	Avon Theatre (Canada)
1970-02-12T00:00:00	Hamlet, son to the late and nephew to the present King	Alec McCowen	Peter Dews	unknown production company	Birmingham Repertory Theatre
1969-04-19T00:00:00	Hamlet, son to the late and nephew to the present King	Richard Chamberlain	Peter Dews	unknown production company	Birmingham Repertory Theatre
1975-06-18T00:00:00	Hamlet/ Ghost	Sam Waterston	Michael Rudman	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
2016-01-01T00:00:00	Horatio/ Rosencrantz/ Laertes/ Guildenstern/ Hamlet	Matthew Romain	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2009-07-18T00:00:00	Juliet Capulet	Charlotte Still	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
2004-02-14T00:00:00	Juliet, daughter of Capulet 	Victoria Bolt	director unknown	Perth Theatre Company	Perth Theatre, Scotland
1990-07-27T00:00:00	Juliette	Celine Bonnier	Robert LePage	Stratford Festival	Festival Outdoor Tent (Canada)
1996-05-27T00:00:00	King Lear (a)	William Hutt	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1996-05-27T00:00:00	King Lear (b)	Lewis Gordon 	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1990-10-09T00:00:00	King Lear (weekday matinees)	Peter Aylward	Gerald Freedman	Roundabout Theatre Company	Union Square Theatre
1989-01-01T00:00:00	King of France/Fool	Raymond Greenaway	John Retallack	Oxford Stage Company	UK Tour
2015-05-20T00:00:00	Lady Macbeth / First Witch	Jennifer Ikeda	Edward Torres	The Public Theater	Joseph Papp Public Theater/Susan Stein Shiva Theater
2015-05-20T00:00:00	Lady Macbeth / First Witch	Jennifer Ikeda	Edward Torres	The Public Theater	Joseph Papp Public Theater/Susan Stein Shiva Theater
2016-05-30T00:00:00	Lady Macbeth's Attendant	Jessica B. Hill	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2016-05-30T00:00:00	Lady Macbeth's Attendant	Jessica B. Hill	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)
2004-11-18T00:00:00	Lady Macbeth/ 2nd Witch/ 2nd Murderer/ Lennox	Susie Riddell	director unknown	Oddsocks Productions	UK Tour
2004-11-18T00:00:00	Lady Macbeth/ 2nd Witch/ 2nd Murderer/ Lennox	Susie Riddell	director unknown	Oddsocks Productions	UK Tour
1977-01-01T00:00:00	Lady Macbeth/ Witch	Angelique Rockas	David Smith	The Company	Tramshed
1977-01-01T00:00:00	Lady Macbeth/ Witch	Angelique Rockas	David Smith	The Company	Tramshed
1998-08-09T00:00:00	Lady Macbeth/Weird Sister/Messenger	Maddy Kerr	Donald Sumpter	Heartbreak Productions	UK Tour
1998-08-09T00:00:00	Lady Macbeth/Weird Sister/Messenger	Maddy Kerr	Donald Sumpter	Heartbreak Productions	UK Tour
1988-12-17T00:00:00	Lady Macbeth/Witch	Frances Barber	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre, Manchester
1988-12-17T00:00:00	Lady Macbeth/Witch	Frances Barber	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre, Manchester
2017-11-18T00:00:00	Lady Macbeth/Witch 3	Sadie Pepperell	Paul Tomlinson	Devil You Know	Bussey Building Peckham Rye
2017-11-18T00:00:00	Lady Macbeth/Witch 3	Sadie Pepperell	Paul Tomlinson	Devil You Know	Bussey Building Peckham Rye
2007-11-24T00:00:00	Lear, King of Britain	David Knight	director unknown	Headgate Theatre Productions	Headgate Theatre, Colchester
2001-01-01T00:00:00	Lear’s Fool	Anthony O Donnell	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington
1997-01-01T00:00:00	Lear’s Fool	Michael Bryant	Richard Eyre	National Theatre	Cottesloe Theatre, National Theatre
1986-12-03T00:00:00	Lear’s Fool	Roshan Seth	David Hare	National Theatre	Olivier Theatre, National Theatre
2001-01-01T00:00:00	Lear’s Fool	Anthony O Donnell	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington
1997-01-01T00:00:00	Lear’s Fool	Michael Bryant	Richard Eyre	National Theatre	Cottesloe Theatre, National Theatre
1986-12-03T00:00:00	Lear’s Fool	Roshan Seth	David Hare	National Theatre	Olivier Theatre, National Theatre
1986-06-18T00:00:00	Macbeth (b)	Kim Coates	Tom Kerr	Stratford Festival	Tom Patterson Theatre (Canada)
2007-07-28T00:00:00	Macbeth, Thane of Glamis, later of Cawdor, then King	David Elliott	Claire Warden	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
1998-08-09T00:00:00	Macbeth/Weird Sister	Peter Mimmack	Donald Sumpter	Heartbreak Productions	UK Tour
2006-01-01T00:00:00	Marc Antony	Nicholas Jones	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
1991-01-01T00:00:00	Ophelia 	Claire Hackett	Paul Unwin	unknown production company	Bristol Old Vic
1979-11-17T00:00:00	Ophelia 	Judy Lloyd	Robert Walker	unknown production company	Half Moon Theatre, London
1970-02-12T00:00:00	Ophelia, daughter to Polonius	Anna Massey	Peter Dews	unknown production company	Birmingham Repertory Theatre
1969-04-19T00:00:00	Ophelia, daughter to Polonius	Gemma Jones	Peter Dews	unknown production company	Birmingham Repertory Theatre
2016-01-01T00:00:00	Ophelia/ Gertrude/ Horatio/ Rosencrantz	Phoebe Fildes	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Ophelia/ Gertrude/ Horatio/ Rosencrantz	Amanda Wilkin	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Ophelia/ Horatio/ Rosencrantz	Jennifer Leong	Dominic Dromgoole & Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2006-08-30T00:00:00	Othello (in selected performances)	David Emerson Toney	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
2005-05-30T00:00:00	Prospero (Alternate)	STEPHEN RUSSELL	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
2005-01-01T00:00:00	Prospero, Sebastian, Stephano	Mark Rylance	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
