20th April 1891	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
20th April 1891	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1880	Ophelia	Miss Masson	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1880	Hamlet	Barry Sullivan	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
30th June 1994	Ophelia	Jacqueline McKenzie	Neil Armfield	Belvoir Street Theatre Company	Belvoir Street Theatre, Sydney, Australia
30th June 1994	Hamlet	Richard Roxburgh	Neil Armfield	Belvoir Street Theatre Company	Belvoir Street Theatre, Sydney, Australia
21st July 1920	Ophelia	Phyllis Relph	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
21st July 1920	Hamlet	Murray Carrington	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1978	Ophelia	Tina Jones	Michael Bogdanov	unknown production company	The Young Vic, The Cut, London
1978	Hamlet	Philip Bowen	Michael Bogdanov	unknown production company	The Young Vic, The Cut, London
23rd November 1996	Ophelia	Flora Montgomery	Julian Glover	unknown production company	Norwich Playhouse
23rd November 1996	Hamlet	Jamie Glover	Julian Glover	unknown production company	Norwich Playhouse
18th July 1924	Ophelia	Ethel Carrington	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
18th July 1924	Hamlet	Arthur Phillips	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993	Ophelia	Gina Bellman	Peter Hall	unknown production company	Theatre Royal, Bath
1993	Hamlet	Stephen Dillane	Peter Hall	unknown production company	Theatre Royal, Bath
6th May 1905	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
6th May 1905	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1879	Ophelia	Ellen L Wallis	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1879	Hamlet	Barry Sullivan	Barry Sullivan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1920	Ophelia	Phyllis Relph	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1920	Hamlet	Murray Carrington	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
18th April 2009	Romeo	Damien Gulde	Marisa King	Scarborough Players	Scarborough Village Theatre
18th April 2009	Juliet	Lana Sugarman	Marisa King	Scarborough Players	Scarborough Village Theatre
24th April 1888	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1888	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1994	Ophelia	Gina Bellman	Peter Hall	Peter Hall Company	Gielgud Theatre, London
1994	Hamlet	Stephen Dillane	Peter Hall	Peter Hall Company	Gielgud Theatre, London
1958	Ophelia	Barbara Jefford	Michael Benthall	unknown production company	American Tour
1958	Hamlet	John Neville	Michael Benthall	unknown production company	American Tour
1978	Ophelia	Tina Jones	Michael Bogdanov	unknown production company	The Young Vic, The Cut, London
1978	Hamlet	Philip Bowen	Michael Bogdanov	unknown production company	The Young Vic, The Cut, London
1995	Ophelia	Louise Ironside	Kenny Ireland	unknown production company	Lyceum Theatre, Edinburgh
1995	Hamlet	Tom McGovern	Kenny Ireland	unknown production company	Lyceum Theatre, Edinburgh
1985	Ophelia	Natasha Richardson	David Thacker	unknown production company	The Young Vic, The Cut, London
1985	Hamlet	Matthew Marsh	David Thacker	unknown production company	The Young Vic, The Cut, London
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
28th April 1966	Ophelia	Estelle Kohler	Peter Hall	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
28th April 1966	Hamlet	David Warner	Peter Hall	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
25th October 2008	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
25th October 2008	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
1958	Ophelia	Judi Dench	Michael Benthall	unknown production company	Old Vic Tour
1958	Hamlet	John Neville	Michael Benthall	unknown production company	Old Vic Tour
6th July 1977	Ophelia	Lynn Dearth	John David	unknown production company	St George’s Theatre, Tufnell Park
6th July 1977	Hamlet	Alan Dobie	John David	unknown production company	St George’s Theatre, Tufnell Park
27th April 1910	Ophelia	N De Silva	Martin Harvey	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1886	Ophelia	Ethel Johnson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26th April 1886	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th December 2008	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
4th December 2008	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
12th December 1958	Ophelia	Dorothy Tutin	Glen Byam Shaw	Royal Shakespeare Company	Tour
12th December 1958	Hamlet	Michael Redgrave	Glen Byam Shaw	Royal Shakespeare Company	Tour
1977	Ophelia	Suzanne Bertish	Toby Robertson	unknown production company	Old Vic, London
1977	Hamlet	Derek Jacobi	Toby Robertson	unknown production company	Old Vic, London
22nd April 1910	Ophelia	Marie Lohr	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
22nd April 1910	Hamlet	Herbert Beerbohm Tree	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
25th October 2008	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
25th October 2008	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
1985	Ophelia	Ruth Kenley	Deborah Warner	Kick Theatre Company	UK Tour
1985	Hamlet	Nicholas Jeune	Deborah Warner	Kick Theatre Company	UK Tour
22nd December 1965	Ophelia	Janet Suzman	Peter Hall	Royal Shakespeare Company	Aldwych Theatre, London
22nd December 1965	Hamlet	David Warner	Peter Hall	Royal Shakespeare Company	Aldwych Theatre, London
23rd April 1904	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
23rd April 1904	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
3rd June 1958	Ophelia	Dorothy Tutin	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
3rd June 1958	Hamlet	Michael Redgrave	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1976	Ophelia	Susan Fleetwood	Peter Hall	National Theatre	Olivier Theatre
1976	Hamlet	Albert Finney	Peter Hall	National Theatre	Olivier Theatre
23rd November 1832	Hamlet	Mr Rumball	director unknown	unknown production company	Surrey Theatre
23rd November 1832	Ophelia	Miss Vincent	director unknown	unknown production company	Surrey Theatre
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
25th October 2008	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
25th October 2008	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
20th April 1903	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
20th April 1903	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
22nd April 1909	Ophelia	Hutin Britton	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
22nd April 1909	Hamlet	Matheson Lang	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1957	Ophelia	Judi Dench	Michael Benthall	unknown production company	Old Vic, London
1957	Hamlet	John Neville	Michael Benthall	unknown production company	Old Vic, London
19th August 1965	Ophelia	Glenda Jackson	Peter Hall	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
19th August 1965	Hamlet	David Warner	Peter Hall	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
18th December 1992	Ophelia	Joanne Pearce	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
18th December 1992	Hamlet	Kenneth Branagh	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
22nd August 2009	Hamlet	Jude Law	Michael Grandage	Donmar Warehouse Co.	Wyndham’s Theatre, London
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
11th August 1916	Ophelia	Sybil Thorndike	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11th August 1916	Hamlet	William Stack	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th May 1908	Ophelia	Gertrude Elliott	J Forbes-Robertson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th May 1908	Hamlet	J Forbes-Robertson	J Forbes-Robertson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
16th April 1902	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
16th April 1902	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
14th November 1934	Ophelia	Jessica Tandy	John Gielgud	unknown production company	New Theatre, London
14th November 1934	Hamlet	John Gielgud	John Gielgud	unknown production company	New Theatre, London
1991	Hamlet	Iain Glen	Paul Unwin	unknown production company	Bristol Old Vic
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
1st May 1916	Ophelia	Florence Glossop-Harris	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1st May 1916	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1899	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1899	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989	Ophelia	Veronica Smart	Yuri Lyubimov	unknown production company	Old Vic, London
1989	Hamlet	Daniel Webb	Yuri Lyubimov	unknown production company	Old Vic, London
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
7th October 2010	Hamlet	Rory Kinnear	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
15th November 2008	Ophelia	Mariah Gale	Gregory Doran	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
15th November 2008	Hamlet	David Tennant	Gregory Doran	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
23rd November 1989	Ophelia	Rebecca Saire	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
23rd November 1989	Hamlet	Mark Rylance	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
7th October 2010	Hamlet	Rory Kinnear	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
10th April 1956	Ophelia	Dilys Hamlett	Michael Langham	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
10th April 1956	Hamlet	Alan Badel	Michael Langham	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
20th July 1933	Ophelia	Rachel Kempson	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
20th July 1933	Hamlet	Anew McMaster	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th August 1915	Ophelia	Florence Glossop-Harris	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th August 1915	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1st November 2006	Ophelia	Daphne Hipchikz	Dov Weinstein	Royal Shakespeare Company	The Cube, Royal Shakespeare Theatre, Stratford-upon-Avon
1st November 2006	Hamlet	Ninja	Dov Weinstein	Royal Shakespeare Company	The Cube, Royal Shakespeare Theatre, Stratford-upon-Avon
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
11th May 1907	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11th May 1907	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989	Ophelia	Rebecca Saire	Ron Daniels	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
1989	Hamlet	Mark Rylance	Ron Daniels	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
7th October 2010	Hamlet	Rory Kinnear	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
22nd April 1915	Ophelia	Molly Terraine	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
22nd April 1915	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1931	Hamlet	Robert Harris	Harcourt Williams	unknown production company	Old Vic, London
6th May 2006	Ophelia	Roshina Ratnam	Janet Suzman	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
6th May 2006	Hamlet	Vaneshran Arumugam	Janet Suzman	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
7th October 2010	Hamlet	Rory Kinnear	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
1989	Ophelia	Stella Gonet	Richard Eyre	National Theatre	Olivier Theatre, National Theatre
1989	Hamlet	Daniel Day-Lewis	Richard Eyre	National Theatre	Olivier Theatre, National Theatre
4th August 1914	Ophelia	Ethel McDowall	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th August 1914	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
14th July 1930	Ophelia	Joyce Bland	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
14th July 1930	Hamlet	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11th December 2004	Ophelia	Meg Fraser	Michael Boyd	Royal Shakespeare Company	Noel Coward Theatre, London
11th December 2004	Hamlet	Toby Stephens	Michael Boyd	Royal Shakespeare Company	Noel Coward Theatre, London
18th October 1944	Ophelia	Peggy Ashcroft	George Rylands	unknown production company	Theatre Royal, Haymarket, London
18th October 1944	Hamlet	John Gielgud	George Rylands	unknown production company	Theatre Royal, Haymarket, London
18th September 1993	Ophelia	Hilary Lyon	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
18th September 1993	Hamlet	Alan Cumming	Stephen Unwin	English Touring Theatre	Lyceum Theatre, Crewe
25th April 1906	Ophelia	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
25th April 1906	Hamlet	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
12th October 1987	Ophelia	Tessa Peake-Jones	Roger Michell	Royal Shakespeare Company	Tour
12th October 1987	Hamlet	Philip Franks	Roger Michell	Royal Shakespeare Company	Tour
1863	Hamlet	John Wilkes Booth	director unknown	Grover’s Theater	National Stadium, Washington DC
4th February 1976	Ophelia	Yvonne Nicholson	Buzz Goodbody	Royal Shakespeare Company	The Roundhouse, London
4th February 1976	Hamlet	Ben Kingsley	Buzz Goodbody	Royal Shakespeare Company	The Roundhouse, London
6th November 2004	Ophelia	Meg Fraser	Michael Boyd	Royal Shakespeare Company	Theatre Royal, Newcastle upon Tyne
6th November 2004	Hamlet	Toby Stephens	Michael Boyd	Royal Shakespeare Company	Theatre Royal, Newcastle upon Tyne
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
7th October 2010	Hamlet	Rory Kinnear	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
1955	Ophelia	Mary Ure	Peter Brook	unknown production company	Russian Tour
1955	Hamlet	Paul Scofield	Peter Brook	unknown production company	Russian Tour
18th March 1993	Ophelia	Joanne Pearce	Adrian Noble	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
18th March 1993	Hamlet	Kenneth Branagh	Adrian Noble	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
30th June 1994	Ophelia	Jacqueline McKenzie	Neil Armfield	Belvoir Street Theatre Company	Belvoir Street Theatre, Sydney, Australia
30th June 1994	Hamlet	Richard Roxburgh	Neil Armfield	Belvoir Street Theatre Company	Belvoir Street Theatre, Sydney, Australia
1989	Ophelia	Veronica Smart	Yuri Lyubimov	unknown production company	Old Vic, London
1989	Hamlet	Daniel Webb	Yuri Lyubimov	unknown production company	Old Vic, London
12th May 1930	Ophelia	Joyce Bland	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
12th May 1930	Hamlet	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
4th December 1975	Ophelia	Susan Fleetwood	Peter Hall	National Theatre	Old Vic, London
4th December 1975	Hamlet	Albert Finney	Peter Hall	National Theatre	Old Vic, London
16th October 2004	Ophelia	Meg Fraser	Michael Boyd	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
16th October 2004	Hamlet	Toby Stephens	Michael Boyd	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
1955	Ophelia	Mary Ure	Peter Brook	unknown production company	Phoenix Theatre, London
1955	Hamlet	Paul Scofield	Peter Brook	unknown production company	Phoenix Theatre, London
24th April 1944	Ophelia	Anna Burden	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1944	Hamlet	John Byron	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1st July 1929	Ophelia	Joyce Bland	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1st July 1929	Hamlet	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
10th December 1988	Ophelia	Sylvestra Le Touzel	Ron Daniels	Royal Shakespeare Company	Tour
10th December 1988	Hamlet	Mark Rylance	Ron Daniels	Royal Shakespeare Company	Tour
7th October 2010	Ophelia	Ruth Negga	Nicholas Hytner	unknown production company	Olivier Theatre, National Theatre
