15th July 2000	Ophelia	Cathryn Bradshaw	John Caird	National Theatre	Lyttelton Theatre, National Theatre
15th July 2000	Hamlet	Simon Russell Beale	John Caird	National Theatre	Lyttelton Theatre, National Theatre
14th October 2006	Romeo	Rupert Evans	Nancy Meckler	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
14th October 2006	Juliet	Morven Christie	Nancy Meckler	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
1960	Nurse to Juliet	Peggy Mount	Franco Zeffirelli	Old Vic Company	Old Vic, London
1960	Romeo	John Stride	Franco Zeffirelli	Old Vic Company	Old Vic, London
1960	Juliet	Judi Dench	Franco Zeffirelli	Old Vic Company	Old Vic, London
11th April 1961	Ophelia	Geraldine McEwan	Peter Wood	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
11th April 1961	Hamlet	Ian Bannen	Peter Wood	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
27th July 2013	Romeo	Boris Mitkov	director unknown	Grassroots Shakespeare London	Old Red Lion Theatre, London
27th July 2013	Juliet	Loren O’Brien	director unknown	Grassroots Shakespeare London	Old Red Lion Theatre, London
2nd May 2001	Ophelia	Kerry Condon	Steven Pimlott	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
2nd May 2001	Hamlet	Samuel West	Steven Pimlott	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
5th September 1984	Ophelia	Frances Barber	Ron Daniels	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
5th September 1984	Hamlet	Roger Rees	Ron Daniels	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
5th September 1984	Ghost of Old Hamlet	Richard Easton	Ron Daniels	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
8th April 1937	Ophelia	Valerie Tudor	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
8th April 1937	Hamlet	Donald Wolfit	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2001	Ophelia	Allison McKenzie	 Mark Thomson	Brunton Theatre Company	Brunton Theatre, Musselburgh
2001	Hamlet	Liam Brennan	 Mark Thomson	Brunton Theatre Company	Brunton Theatre, Musselburgh
1961	Ophelia	Linda Gardner	Frank Hauser	unknown production company	Oxford Playhouse
1961	Hamlet	Jeremy Brett	Frank Hauser	unknown production company	Oxford Playhouse
28th March 1973	Romeo	Timothy Dalton	Terry Hands	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
28th March 1973	Juliet	Estelle Kohler	Terry Hands	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
18th October 1944	Ghost of Hamlet’s father	Leon Quartermaine	George Rylands	unknown production company	Theatre Royal, Haymarket, London
18th October 1944	Ophelia	Peggy Ashcroft	George Rylands	unknown production company	Theatre Royal, Haymarket, London
18th October 1944	Hamlet	John Gielgud	George Rylands	unknown production company	Theatre Royal, Haymarket, London
8th October 2004	Romeo	Matthew Rhys	Peter Gill	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
8th October 2004	Juliet	Sian Brooke	Peter Gill	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
1936	Ghost of Hamlet’s father	Torin Thatcher	Tyrone Guthrie	unknown production company	Old Vic, London
1936	Ophelia	Cherry Cottrell	Tyrone Guthrie	unknown production company	Old Vic, London
1936	Hamlet	Laurence Olivier	Tyrone Guthrie	unknown production company	Old Vic, London
18th July 2009	Abraham, Romeo’s friend	Adam Edwardson	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
18th July 2009	Juliet Capulet	Charlotte Still	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
18th July 2009	Romeo Montague	Will Parrick	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
18th July 2009	Balthazar, Romeo’s friend	Ben Field	Kerry King	The Priory Players	Trinity Street Gardens, Marshall Legal LLP, Colchester
13th September 1967	Romeo	Ian Holm	Karolos Koun	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
13th September 1967	Juliet	Estelle Kohler	Karolos Koun	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
2nd December 1971	Romeo	Richard Kay	Peter James	National Theatre at the Young Vic	Young Vic, London
2nd December 1971	Juliet	Louise Purnell	Peter James	National Theatre at the Young Vic	Young Vic, London
1982	Ophelia	Sarah Swingler	Christopher Fettes	New Shakespeare Co.	Theatre Royal, Bath
1982	Hamlet	Hilton McRae	Christopher Fettes	New Shakespeare Co.	Theatre Royal, Bath
14th February 2004	Juliet, daughter of Capulet 	Victoria Bolt	director unknown	Perth Theatre Company	Perth Theatre, Scotland
14th February 2004	Romeo, son of Montague 	Tommy Mullins	director unknown	Perth Theatre Company	Perth Theatre, Scotland
24th April 1944	Ophelia	Anna Burden	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
24th April 1944	Hamlet	John Byron	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1982	Ophelia	Sarah Swingler	Christopher Fettes	New Shakespeare Co.	Theatre Royal, Bath
1982	Hamlet	Hilton McRae	Christopher Fettes	New Shakespeare Co.	Theatre Royal, Bath
12th December 1958	Romeo	Richard Johnson	Glen Byam Shaw	Royal Shakespeare Company	Tour
12th December 1958	Juliet	Dorothy Tutin	Glen Byam Shaw	Royal Shakespeare Company	Tour
18th April 2009	Romeo	Damien Gulde	Marisa King	Scarborough Players	Scarborough Village Theatre
18th April 2009	Juliet	Lana Sugarman	Marisa King	Scarborough Players	Scarborough Village Theatre
1966	Juliet’s Nurse	Madge Ryan	Val May	Bristol Old Vic Co.	Bristol Old Vic
1966	Romeo	Gawn Grainger	Val May	Bristol Old Vic Co.	Bristol Old Vic
1966	Juliet	Jane Asher	Val May	Bristol Old Vic Co.	Bristol Old Vic
22nd September 1982	Ophelia	Kathryn Pogson	Jonathan Miller	unknown production company	Piccadilly Theatre, London
22nd September 1982	Hamlet	Anton Lesser	Jonathan Miller	unknown production company	Piccadilly Theatre, London
21st February 1987	Romeo	Sean Bean	Michael Bogdanov	Royal Shakespeare Company	Tyne Theatre, Newcastle-upon-Tyne
21st February 1987	Juliet	Niamh Cusack	Michael Bogdanov	Royal Shakespeare Company	Tyne Theatre, Newcastle-upon-Tyne
1968	Romeo	Leonard Whiting	Franco Zeffirelli	unknown production company	Film Version
1968	Juliet	Olivia Hussey	Franco Zeffirelli	unknown production company	Film Version
1966	Juliet’s Nurse	Madge Ryan	Val May	Bristol Old Vic Co.	Bristol Old Vic
1966	Romeo	Gawn Grainger	Val May	Bristol Old Vic Co.	Bristol Old Vic
1966	Juliet	Jane Asher	Val May	Bristol Old Vic Co.	Bristol Old Vic
7th March 1959	Ghost of Hamlet’s Father	Paul Williamson	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
7th March 1959	Ophelia	Thelma Barlow	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
7th March 1959	Hamlet	Ian Richardson	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
1971	Ophelia	Susan Fleetwood	director unknown	Prospect Theatre Company	UK Tour
1971	Hamlet	Ian McKellen	director unknown	Prospect Theatre Company	UK Tour
23rd September 2000	Ophelia	Nancy Carroll	Samuel West	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
23rd September 2000	Hamlet	Adrian Schiller	Samuel West	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
12th October 1936	Ghost of Hamlet’s Father; Claudius	Malcolm Keen	Guthrie McClintic	unknown production company	Alexndra Theatre, Toronto
12th October 1936	Ophelia	Lillian Gish	Guthrie McClintic	unknown production company	Alexndra Theatre, Toronto
12th October 1936	Hamlet	John Gielgud	Guthrie McClintic	unknown production company	Alexndra Theatre, Toronto
1971	Ophelia	Susan Fleetwood	director unknown	Prospect Theatre Company	UK Tour
1971	Hamlet	Ian McKellen	director unknown	Prospect Theatre Company	UK Tour
17th September 1981	Ophelia	Carol Royle	John Barton	Royal Shakespeare Company	Aldwych Theatre, London
17th September 1981	Old Hamlet’s Ghost	David Waller	John Barton	Royal Shakespeare Company	Aldwych Theatre, London
17th September 1981	Hamlet	Michael Pennington	John Barton	Royal Shakespeare Company	Aldwych Theatre, London
8th April 1986	Romeo	Sean Bean	Michael Bogdanov	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
8th April 1986	Juliet	Niamh Cusack	Michael Bogdanov	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon
15th July 2000	Ophelia	Cathryn Bradshaw	John Caird	National Theatre	Lyttelton Theatre, National Theatre
15th July 2000	Hamlet	Simon Russell Beale	John Caird	National Theatre	Lyttelton Theatre, National Theatre
22nd August 2009	Hamlet	Jude Law	Michael Grandage	Donmar Warehouse Co.	Wyndham’s Theatre, London
27th April 1910	Ophelia	N De Silva	Martin Harvey	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
6th July 1936	Ophelia	Valerie Tudor	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
6th July 1936	Hamlet	Donald Wolfit	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
25th October 2008	Juliet’s Nurse	Julie Legrand	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
25th October 2008	Romeo	David Dawson	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
25th October 2008	Juliet	Anneika Rose	Neil Bartlett	Royal Shakespeare Company	Theatre Royal, Brighton
1999	Ophelia	Nancy Carroll	Gemma Bodinetz	unknown production company	Bristol Old Vic
1999	Hamlet	Colin Tierney	Gemma Bodinetz	unknown production company	Bristol Old Vic
