Macbeth	/broadway-production/macbeth-494910	Nov 21, 2013 - Jan 12, 2014
Richard III	/broadway-production/richard-iii-494850	Nov 10, 2013 - Feb 16, 2014
Romeo and Juliet	/broadway-production/romeo-and-juliet-494555	Sep 19, 2013 - Dec 08, 2013
Macbeth	/broadway-production/macbeth-494068	Apr 21, 2013 - Jul 14, 2013
Hamlet	/broadway-production/hamlet-484340	Oct 06, 2009 - Dec 06, 2009
Macbeth	/broadway-production/macbeth-478134	Apr 08, 2008 - May 24, 2008
Julius Caesar	/broadway-production/julius-caesar-391569	Apr 03, 2005 - Jun 12, 2005
King Lear	/broadway-production/king-lear-13531	Mar 04, 2004 - Apr 18, 2004
Macbeth	/broadway-production/macbeth-12570	Jun 15, 2000 - Jun 25, 2000
The Tempest	/broadway-production/the-tempest-4312	Nov 01, 1995 - Dec 31, 1995
Hamlet	/broadway-production/hamlet-4299	May 02, 1995 - Jul 22, 1995
Hamlet	/broadway-production/hamlet-4670	Apr 02, 1992 - May 10, 1992
Macbeth	/broadway-production/macbeth-4503	Apr 21, 1988 - Jun 26, 1988
Macbeth	/broadway-production/macbeth-13267	Nov 12, 1986 - May 31, 1987
Romeo and Juliet	/broadway-production/romeo-and-juliet-13268	Nov 12, 1986 - May 31, 1987
Othello	/broadway-production/othello-4160	Feb 03, 1982 - May 23, 1982
Macbeth	/broadway-production/macbeth-4159	Jan 28, 1982 - Feb 14, 1982
Macbeth	/broadway-production/macbeth-4092	Jan 22, 1981 - Mar 08, 1981
King Richard III	/broadway-production/king-richard-iii-3798	Jun 14, 1979 - Jul 15, 1979
Romeo and Juliet	/broadway-production/romeo-and-juliet-3901	Mar 17, 1977 - May 22, 1977
Hamlet	/broadway-production/hamlet-3776	Dec 17, 1975 - Jan 25, 1976
Othello	/broadway-production/othello-3085	Sep 14, 1970 - Sep 26, 1970
Hamlet	/broadway-production/hamlet-2866	May 01, 1969 - Jun 14, 1969
Hamlet	/broadway-production/hamlet-2853	Mar 03, 1969 - Apr 26, 1969
King Lear	/broadway-production/king-lear-3432	Nov 07, 1968 - Feb 12, 1969
Hamlet	/broadway-production/hamlet-3062	Apr 09, 1964 - Aug 08, 1964
Hamlet	/broadway-production/hamlet-483796	Mar 16, 1961 - Jun 11, 1961
Hamlet	/broadway-production/hamlet-2728	Dec 16, 1958 - Jan 10, 1959
Macbeth	/broadway-production/macbeth-2575	Oct 29, 1956 - Jan 12, 1957
Romeo and Juliet	/broadway-production/romeo-and-juliet-2572	Oct 24, 1956 - Jan 12, 1957
King Lear	/broadway-production/king-lear-481817	Jan 12, 1956 - Jan 29, 1956
Richard III	/broadway-production/richard-iii-477875	Dec 09, 1953 - Dec 20, 1953
Hamlet	/broadway-production/hamlet-2365	Dec 01, 1952 - Dec 06, 1952
Antony and Cleopatra	/broadway-production/antony-and-cleopatra-2163	Dec 20, 1951 - Apr 13, 1952
Romeo and Juliet	/broadway-production/romeo-and-juliet-1930	Mar 10, 1951 - Apr 21, 1951
King Lear	/broadway-production/king-lear-1900	Dec 25, 1950 - Feb 03, 1951
Julius Caesar	/broadway-production/julius-caesar-2148	Jun 20, 1950 - Jul 15, 1950
King Richard III	/broadway-production/king-richard-iii-2109	Feb 08, 1949 - Feb 26, 1949
Macbeth	/broadway-production/macbeth-1990	Mar 31, 1948 - Apr 24, 1948
Antony and Cleopatra	/broadway-production/antony-and-cleopatra-1803	Nov 26, 1947 - Mar 13, 1948
Hamlet	/broadway-production/hamlet-1525	Feb 26, 1947 - Mar 07, 1947
King Lear	/broadway-production/king-lear-1518	Feb 18, 1947 - Mar 08, 1947
Hamlet	/broadway-production/hamlet-473529	Jun 03, 1946 - Jun 15, 1946
Hamlet	/broadway-production/hamlet-1751	Dec 13, 1945 - Apr 08, 1946
The Tempest	/broadway-production/the-tempest-472509	Nov 12, 1945 - Dec 01, 1945
Othello	/broadway-production/othello-472238	May 22, 1945 - Jun 10, 1945
The Tempest	/broadway-production/the-tempest-1668	Jan 25, 1945 - Apr 21, 1945
Othello	/broadway-production/othello-1345	Oct 19, 1943 - Jul 01, 1944
King Richard III	/broadway-production/king-richard-iii-1281	Mar 24, 1943 - Apr 03, 1943
Macbeth	/broadway-production/macbeth-1130	Nov 11, 1941 - Feb 28, 1942
Romeo and Juliet	/broadway-production/romeo-and-juliet-13257	May 09, 1940 - Jun 08, 1940
Hamlet	/broadway-production/hamlet-13214	Dec 04, 1939 - Jan 06, 1940
Hamlet	/broadway-production/hamlet-12388	Oct 12, 1938 - Jan 1939
Julius Caesar	/broadway-production/julius-caesar-12311	Nov 11, 1937 - May 28, 1938
Antony and Cleopatra	/broadway-production/antony-and-cleopatra-12309	Nov 10, 1937 - Nov 1937
Othello	/broadway-production/othello-12180	Jan 06, 1937 - Jan 1937
Hamlet	/broadway-production/hamlet-12163	Nov 10, 1936 - Dec 1936
Hamlet	/broadway-production/hamlet-11205	Oct 08, 1936 - Closing date unknown
Macbeth	/broadway-production/macbeth-11577	Jul 06, 1936 - Jul 1936
Macbeth	/broadway-production/macbeth-12078	Apr 09, 1936 - May 1936
Romeo and Juliet	/broadway-production/romeo-and-juliet-12047	Dec 23, 1935 - Jan 1936
Macbeth	/broadway-production/macbeth-11997	Oct 07, 1935 - Oct 1935
Othello	/broadway-production/othello-11993	Sep 27, 1935 - Oct 1935
Hamlet	/broadway-production/hamlet-11938	Dec 25, 1934 - Jan 1935
Romeo and Juliet	/broadway-production/romeo-and-juliet-10436	Dec 20, 1934 - Feb 1935
Hamlet	/broadway-production/hamlet-11442	Nov 16, 1931 - Closing date unknown
Julius Caesar	/broadway-production/julius-caesar-11441	Nov 16, 1931 - Closing date unknown
Hamlet	/broadway-production/hamlet-10403	Nov 05, 1931 - Nov 1931
Hamlet	/broadway-production/hamlet-11289	Dec 25, 1930 - Jan 22, 1931
Julius Caesar	/broadway-production/julius-caesar-11291	Dec 25, 1930 - Jan 22, 1931
King Lear	/broadway-production/king-lear-11288	Dec 25, 1930 - Dec 1930
King Richard III	/broadway-production/king-richard-iii-11294	Dec 25, 1930 - Jan 22, 1931
Macbeth	/broadway-production/macbeth-11292	Dec 25, 1930 - Jan 22, 1931
Romeo and Juliet	/broadway-production/romeo-and-juliet-11155	Oct 06, 1930 - Nov 1930
Romeo and Juliet	/broadway-production/romeo-and-juliet-11108	Apr 21, 1930 - May 1930
Hamlet	/broadway-production/hamlet-11082	Mar 24, 1930 - Closing date unknown
Julius Caesar	/broadway-production/julius-caesar-11090	Mar 24, 1930 - Closing date unknown
King Lear	/broadway-production/king-lear-11088	Mar 24, 1930 - Closing date unknown
King Richard III	/broadway-production/king-richard-iii-11087	Mar 24, 1930 - Closing date unknown
Macbeth	/broadway-production/macbeth-11083	Mar 24, 1930 - Closing date unknown
Macbeth	/broadway-production/macbeth-10777	Nov 19, 1928 - Jan 1929
Julius Caesar	/broadway-production/julius-caesar-10331	Jun 06, 1927 - Jun 1927
Hamlet	/broadway-production/hamlet-9941	Nov 09, 1925 - Jan 1926
Hamlet	/broadway-production/hamlet-8360	Oct 10, 1925 - Dec 1925
Othello	/broadway-production/othello-8935	Jan 10, 1925 - Feb 1925
Macbeth	/broadway-production/macbeth-9488	Mar 15, 1924 - Apr 1924
Antony and Cleopatra	/broadway-production/antony-and-cleopatra-9479	Feb 19, 1924 - Mar 1924
