2014-01-01T00:00:00	Brutus	Tom McKay	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
1999-01-01T00:00:00	Marcus Brutus	Danny Sapani	Mark Rylance	Shakespeare's Globe	Shakespeare's Globe
1911-04-25T00:00:00	Marcus Brutus	Otho Stuart	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1922-07-29T00:00:00	Marcus Brutus	Maurice Colbourne	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993-08-05T00:00:00	Brutus	Jeffrey Kissoon	David Thacker	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1932-04-26T00:00:00	Marcus Brutus	Gyles Isham	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2011-01-10T00:00:00	Marcus Brutus	Sam Troughton	Lucy Bailey	Royal Shakespeare Company	The Roundhouse, London
1930-07-12T00:00:00	Marcus Brutus	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1963-04-09T00:00:00	Marcus Brutus	Tom Fleming	John Blatchley	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1983-03-29T00:00:00	Marcus Brutus	Peter McEnery	Ron Daniels	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1972-05-02T00:00:00	Marcus Brutus	John Wood	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1995-07-05T00:00:00	Marcus Brutus	John Nettles	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1906-04-25T00:00:00	Marcus Brutus	B A Pittar	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1911-04-25T00:00:00	Marcus Brutus	Alfred Brydone	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2012-08-15T00:00:00	Marcus Brutus	Paterson Joseph	Gregory Doran	Royal Shakespeare Company	Noel Coward Theatre, London
2001-07-26T00:00:00	Marcus Brutus	Greg Hicks	Edward Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1936-04-14T00:00:00	Marcus Brutus	James Dale	John Wyse	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-07-16T00:00:00	Marcus Brutus	George Skillan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1968-04-03T00:00:00	Marcus Brutus	Barrie Ingham	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-03-04T00:00:00	Marcus Brutus	Ben Kingsley	Barry Kyle	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1992-03-10T00:00:00	Brutus	Jonathan Hyde	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1950-05-02T00:00:00	Marcus Brutus	Harry Andrews	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1987-04-08T00:00:00	Brutus	Roger Allam	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1889-04-22T00:00:00	Marcus Brutus	Osmond Tearle	Osmond Tearle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1909-04-19T00:00:00	Marcus Brutus	Edward Warburton	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2004-10-20T00:00:00	Marcus Brutus	Zubin Varla	David Farr	Royal Shakespeare Company	Tour
1928-07-03T00:00:00	Marcus Brutus	Eric Maxon	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1925-07-21T00:00:00	Marcus Brutus	James Dale	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1912-04-29T00:00:00	Marcus Brutus	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1898-04-11T00:00:00	Marcus Brutus	Asche Oscar	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1941-04-15T00:00:00	Marcus Brutus	George Hayes	Andrew Leigh	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1915-04-19T00:00:00	Marcus Brutus	Otho Stuart	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-08-11T00:00:00	Marcus Brutus	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1934-04-19T00:00:00	Marcus Brutus	John Wyse	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2017-03-23T00:00:00	Brutus	Alex Waldmann	Angus Jackson	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2006-05-16T00:00:00	Brutus	John Light	Sean Holmes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1904-04-27T00:00:00	Marcus Brutus	Arthur Whitby	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1892-04-20T00:00:00	Marcus Brutus	Edward Lyall Swete	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1957-05-28T00:00:00	Brutus	Alec Clunes	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989-01-01T00:00:00	Brutus	Tim Pigott Smith	Michael Joyce	unknown production company	Theatre Royal, Bath
1930-07-12T00:00:00	Marcus Brutus	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1925-07-21T00:00:00	Marcus Brutus	James Dale	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1864-11-25T00:00:00	Brutus	Edwin Booth	director unknown	Shakespeare statue fund	Winter Garden Theatre, New York
1930-01-01T00:00:00	Marcus Brutus	Harcourt Williams	Harcourt Williams	Old Vic	Old Vic, London
1922-07-29T00:00:00	Marcus Brutus	Maurice Colbourne	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1986-11-18T00:00:00	Marcus Brutus	Corin Redgrave	David Thacker	The Young Vic	The Young Vic, The Cut, London
1928-07-03T00:00:00	Marcus Brutus	Eric Maxon	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-07-16T00:00:00	Marcus Brutus	George Skillan	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1959-03-14T00:00:00	Marcus Brutus	Robert Marsden	Bryan Bailey	Belgrade Theatre Co.	Belgrade Theatre, Coventry
1958-01-01T00:00:00	Brutus	John Phillips	Douglas Seale	unknown production company	Old Vic, London
1956-05-12T00:00:00	Marcus Brutus	Kenneth Mackintosh	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
2012-01-01T00:00:00	Brutus	Harriet Walter	Phyllida Lloyd	unknown production company	Donmar Warehouse, London
1955-01-01T00:00:00	Brutus	Paul Rogers	Michael Benthall	unknown production company	Old Vic, London
1972-08-17T00:00:00	Marcus Brutus	Nigel Hawthorne	Peter James	National Theatre at the Young Vic	Young Vic, London
2009-03-21T00:00:00	Brutus	Leo Wringer	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory, Bristol
2007-11-24T00:00:00	Brutus	Christine Absalom	Dee Evans	Mercury Theatre Co.	Mercury Theatre, Colchester
1980-01-01T00:00:00	Brutus	John Shrapnel	Peter Gill	unknown production company	Riverside Studios, London
1964-01-01T00:00:00	Brutus	Ian Bannen	Lindsay Anderson	unknown production company	Royal Court Theatre
