<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Hamlet	<td class="dates">Oct 12, 1938</td>
<a href="/broadway-cast-staff/katherine-locke-49981">Katherine Locke</a>	Ophelia	<td class="dates">Oct 12, 1938</td>
<a href="/broadway-cast-staff/christopher-plummer-56307">Christopher Plummer</a>	King Lear of Britain	<td class="dates">Mar 04, 2004</td>
<a href="/broadway-cast-staff/barry-macgregor-375464">Barry MacGregor</a>	Fool	<td class="dates">Mar 04, 2004</td>
<a href="/broadway-cast-staff/ren-auberjonois-66778">René Auberjonois</a>	Fool	<td class="dates">Nov 07, 1968</td>
<a href="/broadway-cast-staff/lee-j-cobb-67109">Lee J. Cobb</a>	King Lear of Britain	<td class="dates">Nov 07, 1968</td>
<a href="/broadway-cast-staff/anne-marie-duff-495054">Anne-Marie Duff</a>	Lady Macbeth	<td class="dates">Nov 21, 2013</td>
<a href="/broadway-cast-staff/ethan-hawke-71660">Ethan Hawke</a>	Macbeth	<td class="dates">Nov 21, 2013</td>
<a href="/broadway-cast-staff/pamela-payton-wright-55498">Pamela Payton-Wright</a>	Juliet	<td class="dates">Mar 17, 1977</td>
<a href="/broadway-cast-staff/paul-rudd-71676">Paul Rudd</a>	Romeo	<td class="dates">Mar 17, 1977</td>
<a href="/broadway-cast-staff/michael-redgrave-7745">Michael Redgrave</a>	Macbeth	<td class="dates">Mar 31, 1948</td>
<a href="/broadway-cast-staff/flora-robson-58100">Flora Robson</a>	Lady Macbeth	<td class="dates">Mar 31, 1948</td>
<a href="/broadway-cast-staff/claire-bloom-32327">Claire Bloom</a>	Juliet	<td class="dates">Oct 24, 1956</td>
<a href="/broadway-cast-staff/john-neville-15767">John Neville</a>	Romeo	<td class="dates">Oct 24, 1956</td>
<a href="/broadway-cast-staff/f-murray-abraham-29279">F. Murray Abraham</a>	Macbeth	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/keith-david-37388">Keith David</a>	Macbeth	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/ching-valdes-aran-75966">Ching Valdes-Aran</a>	Lady Macbeth	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/jos-ferrer-6934">José Ferrer</a>	Iago	<td class="dates">May 22, 1945</td>
<a href="/broadway-cast-staff/uta-hagen-43654">Uta Hagen</a>	Desdemona	<td class="dates">May 22, 1945</td>
<a href="/broadway-cast-staff/paul-robeson-58036">Paul Robeson</a>	Othello	<td class="dates">May 22, 1945</td>
<a href="/broadway-cast-staff/jack-carter-34757">Jack Carter</a>	Macbeth	<td class="dates">Apr 09, 1936</td>
<a href="/broadway-cast-staff/alma-dickson-38039">Alma Dickson</a>	Lady Macbeth	<td class="dates">Apr 09, 1936</td>
<a href="/broadway-cast-staff/edna-thomas-62150">Edna Thomas</a>	Lady Macbeth	<td class="dates">Apr 09, 1936</td>
<a href="/broadway-cast-staff/brian-aherne-29441">Brian Aherne</a>	Iago	<td class="dates">Jan 06, 1937</td>
<a href="/broadway-cast-staff/walter-huston-24054">Walter Huston</a>	Othello	<td class="dates">Jan 06, 1937</td>
<a href="/broadway-cast-staff/nan-sunderland-61499">Nan Sunderland</a>	Desdemona	<td class="dates">Jan 06, 1937</td>
<a href="/broadway-cast-staff/kelsey-grammer-74304">Kelsey Grammer</a>	Macbeth	<td class="dates">Jun 15, 2000</td>
<a href="/broadway-cast-staff/diane-venora-75879">Diane Venora</a>	Lady Macbeth	<td class="dates">Jun 15, 2000</td>
<a href="/broadway-cast-staff/orlando-bloom-494556">Orlando Bloom</a>	Romeo	<td class="dates">Sep 19, 2013</td>
<a href="/broadway-cast-staff/condola-rashad-483866">Condola Rashad</a>	Juliet	<td class="dates">Sep 19, 2013</td>
<a href="/broadway-cast-staff/richard-burton-33844">Richard Burton</a>	Hamlet	<td class="dates">Apr 09, 1964</td>
<a href="/broadway-cast-staff/linda-marsh-97297">Linda Marsh</a>	Ophelia	<td class="dates">Apr 09, 1964</td>
<a href="/broadway-cast-staff/maureen-anderman-29833">Maureen Anderman</a>	Ophelia	<td class="dates">Dec 17, 1975</td>
<a href="/broadway-cast-staff/sam-waterston-69015">Sam Waterston</a>	Hamlet	<td class="dates">Dec 17, 1975</td>
<a href="/broadway-cast-staff/rosalind-iden-46171">Rosalind Iden</a>	Ophelia	<td class="dates">Feb 26, 1947</td>
<a href="/broadway-cast-staff/donald-wolfit-9532">Donald Wolfit</a>	Hamlet	<td class="dates">Feb 26, 1947</td>
<a href="/broadway-cast-staff/orson-welles-7963">Orson Welles</a>	King Lear of Britain	<td class="dates">Jan 12, 1956</td>
<a href="/broadway-cast-staff/alvin-epstein-39659">Alvin Epstein</a>	Fool	<td class="dates">Jan 12, 1956</td>
<a href="/broadway-cast-staff/katharine-cornell-9732">Katharine Cornell</a>	Juliet	<td class="dates">Dec 23, 1935</td>
<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Romeo	<td class="dates">Dec 23, 1935</td>
<a href="/broadway-cast-staff/paul-robeson-58036">Paul Robeson</a>	Othello	<td class="dates">Oct 19, 1943</td>
<a href="/broadway-cast-staff/jos-ferrer-6934">José Ferrer</a>	Iago	<td class="dates">Oct 19, 1943</td>
<a href="/broadway-cast-staff/uta-hagen-43654">Uta Hagen</a>	Desdemona	<td class="dates">Oct 19, 1943</td>
<a href="/broadway-cast-staff/rene-moreno-490675">Rene Moreno</a>	Romeo	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/regina-taylor-109792">Regina Taylor</a>	Juliet	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/leslie-howard-7293">Leslie Howard</a>	Hamlet	<td class="dates">Nov 10, 1936</td>
<a href="/broadway-cast-staff/pamela-stanley-60844">Pamela Stanley</a>	Ophelia	<td class="dates">Nov 10, 1936</td>
<a href="/broadway-cast-staff/ralph-fiennes-70980">Ralph Fiennes</a>	Hamlet	<td class="dates">May 02, 1995</td>
<a href="/broadway-cast-staff/tara-fitzgerald-70981">Tara FitzGerald</a>	Ophelia	<td class="dates">May 02, 1995</td>
<a href="/broadway-cast-staff/geoffrey-wilkinson-97870">Geoffrey Wilkinson</a>	Fool	<td class="dates">Feb 18, 1947</td>
<a href="/broadway-cast-staff/donald-wolfit-9532">Donald Wolfit</a>	King Lear of Britain	<td class="dates">Feb 18, 1947</td>
<a href="/broadway-cast-staff/joyce-ebert-39186">Joyce Ebert</a>	Ophelia	<td class="dates">Mar 16, 1961</td>
<a href="/broadway-cast-staff/donald-madden-51021">Donald Madden</a>	Hamlet	<td class="dates">Mar 16, 1961</td>
<a href="/broadway-cast-staff/jean-louis-barrault-6693">Jean-Louis Barrault</a>	Hamlet	<td class="dates">Dec 01, 1952</td>
<a href="/broadway-cast-staff/simone-valre-63029">Simone Valère</a>	Ophelia	<td class="dates">Dec 01, 1952</td>
<a href="/broadway-cast-staff/gladys-cooper-36243">Gladys Cooper</a>	Lady Macbeth	<td class="dates">Oct 07, 1935</td>
<a href="/broadway-cast-staff/philip-merivale-23489">Philip Merivale</a>	Macbeth	<td class="dates">Oct 07, 1935</td>
<a href="/broadway-cast-staff/moses-gunn-43304">Moses Gunn</a>	Othello	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/roberta-maxwell-51946">Roberta Maxwell</a>	Desdemona	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/lee-richardson-57732">Lee Richardson</a>	Iago	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/james-earl-jones-47173">James Earl Jones</a>	Othello	<td class="dates">Feb 03, 1982</td>
<a href="/broadway-cast-staff/christopher-plummer-56307">Christopher Plummer</a>	Iago	<td class="dates">Feb 03, 1982</td>
<a href="/broadway-cast-staff/dianne-wiest-64900">Dianne Wiest</a>	Desdemona	<td class="dates">Feb 03, 1982</td>
