actor	bday
A. Corney Grain	person not found on wiki
Abraham Popoola	1991-01-01T00:00:00
Abraham Sofaer	1896-10-01T00:00:00
Adam Bareham	person not found on wiki
Adelaide Helen Calvert	1836-01-01T00:00:00
Adele Dixon	1908-06-03T00:00:00
Adetomiwa Edun	no birthday on article
Adrian Lester	1968-08-14T00:00:00
Adrian Scarborough	1968-05-10T00:00:00
Adrian Schiller	1964-02-21T00:00:00
Adrienne Gould	person not found on wiki
Aidan Mcardle	1970-01-01T00:00:00
Al Pacino	1940-04-25T00:00:00
Alan Badel	1923-09-11T00:00:00
Alan Bates	1934-02-17T00:00:00
Alan Cumming	1965-01-27T00:00:00
Alan Dobie	1932-06-02T00:00:00
Alan Howard	1937-08-05T00:00:00
Alan Mackenzie Howard	1937-08-05T00:00:00
Alan Mahon	1993-01-01T00:00:00
Alan Morrissey	1982-10-09T00:00:00
Alan Rickman	1946-02-21T00:00:00
Alan Scarfe	1946-06-08T00:00:00
Albert Finney	1936-05-09T00:00:00
Albert Schultz	1963-07-30T00:00:00
Aldo Billingslea	1966-01-01T00:00:00
Aldora Shem	person not found on wiki
Alec Baldwin	1958-04-03T00:00:00
Alec Clunes	1912-05-17T00:00:00
Alec Guinness	1914-04-02T00:00:00
Alec Mccowen	1925-05-26T00:00:00
Aleh Sidorchik	person not found on wiki
Alejandra Escalante	person not found on wiki
Alex Jennings	1957-05-10T00:00:00
Alex Kingston	1963-03-11T00:00:00
Alex Waldmann	1979-01-01T00:00:00
Alexandra Gilbreath	1969-03-28T00:00:00
Alexandra Mathie	person not found on wiki
Alfred Drake	1914-10-07T00:00:00
Alfred Molina	1953-05-24T00:00:00
Alfred Ryder	1916-01-05T00:00:00
Ali Ahn	person not found on wiki
Alice Krige	1954-06-28T00:00:00
Allison Mckenzie	1979-10-11T00:00:00
Alma Dickson	person not found on wiki
Alun Raglan	1971-11-29T00:00:00
Amanda Harris	1963-01-01T00:00:00
Amanda Root	1963-01-01T00:00:00
Amanda Wilkin	person not found on wiki
Amelia Gardner	person not found on wiki
Amy Levitt	person not found on wiki
Ana Reeder	person not found on wiki
Anastasia Hille	1965-11-28T00:00:00
Andre De Shields	1946-01-12T00:00:00
Andrea Marcovicci	1948-11-18T00:00:00
Andrea Runge	1982-01-28T00:00:00
Andrea Weber	person not found on wiki
Andrew Borba	1965-01-01T00:00:00
Andrew Garfield	1983-08-20T00:00:00
Andrew Gillies	person not found on wiki
Andrew Long	1965-01-01T00:00:00
Andrew Veenstra	person not found on wiki
Andrew Vincent	no birthday on article
André Braugher	1962-07-01T00:00:00
Andy Readman	person not found on wiki
Andy Serkis	1964-04-20T00:00:00
Anew Mcmaster	1891-12-24T00:00:00
Angela Bassett	1958-08-16T00:00:00
Angela Sherrill	person not found on wiki
Angelique Rockas	1981-04-09T00:00:00
Angus Wright	1964-11-11T00:00:00
Ann Noble	1971-01-01T00:00:00
Anna Burden	no birthday on article
Anna Konstam	1914-02-22T00:00:00
Anna Livia Ryan	person not found on wiki
Anna Massey	1937-08-11T00:00:00
Anna Zubrzycki	person not found on wiki
Annabel Scholey	1984-01-08T00:00:00
Anne Anglin	person not found on wiki
Anne-Marie Duff	1970-10-08T00:00:00
