no birthday on article	unknown opening	Ophelia	Constance Barrie
no birthday on article	unknown opening	Ophelia	Tina Jones
no birthday on article	4th December 2008	Juliet	Anneika Rose
no birthday on article	4th August 1915	Hamlet	F R Benson
26 February 1864	11th May 1907	Ophelia	Constance Benson
11 March 1942	unknown opening	Hamlet	Peter Eyre
December 14, 1874	4th May 1908	Ophelia	Gertrude Elliott
28 October 2016	unknown opening	Hamlet	Philip Bowen
no birthday on article	unknown opening	Ophelia	Veronica Smart
no birthday on article	11th May 1907	Hamlet	F R Benson
8 October 1964	unknown opening	Hamlet	Martin Marquez
16 October 2017	unknown opening	Hamlet	Daniel Webb
16 January 1853	4th May 1908	Hamlet	J Forbes-Robertson
13 May 1957	5th September 1984	Ophelia	Frances Barber
no birthday on article	1st November 2006	Ophelia	Daphne Hipchikz
4 January 1983	11th December 2001	Ophelia	Kerry Condon
no birthday on article	11th December 2004	Ophelia	Meg Fraser
10 May 1957	23rd September 1997	Hamlet	Alex Jennings
10 July 1966	unknown opening	Ophelia	Gina Bellman
15 February 1931	unknown opening	Ophelia	Claire Bloom
5 May 1944	5th September 1984	Hamlet	Roger Rees
29 December 1972	22nd August 2009	Hamlet	Jude Law
November 19, 1903	unknown opening	Ophelia	Nancy Carroll
21 April 1969	11th December 2004	Hamlet	Toby Stephens
5 November 1913	2nd June 1937	Ophelia	Vivien Leigh
no birthday on article	1st May 1916	Ophelia	Florence Glossop-Harris
no birthday on article	unknown opening	Hamlet	Colin Tierney
19 June 1966	11th December 2001	Hamlet	Samuel West
May 10, 1838	unknown opening	Hamlet	John Wilkes Booth
no birthday on article	1st May 1916	Hamlet	F R Benson
24 June 2017	22nd February 2014	Iago	Chris Porter
1485 and 1581	1st November 2006	Hamlet	Ninja
22 October 2017	4th December 1997	Ophelia	Derbhle Crotty
no birthday on article	22nd February 2014	Desdemona	Nicole Hartley
26 February 1864	24th April 1899	Ophelia	Constance Benson
16 April 1963	26th April 1989	Ophelia	Rebecca Saire
10 October 2017	22nd February 2014	Othello	David Carr
27 March 1957	unknown opening	Hamlet	Stephen Dillane
20 January 1962	unknown opening	Ophelia	Sophie Thompson
no birthday on article	24th April 1899	Hamlet	F R Benson
no birthday on article	12th April 2008	Romeo	Benedict Fogarty
5 January 2018	unknown opening	Hamlet	Robert Harris
no birthday on article	12th April 2008	Juliet	Sarah Ridgeway
14 April 1904	14th November 1934	Hamlet	John Gielgud
13 May 1957	18th February 1985	Ophelia	Frances Barber
no birthday on article	26th April 1880	Ophelia	Miss Masson
10 May 1957	4th December 1997	Hamlet	Alex Jennings
29 November 2012	26th April 1880	Hamlet	Barry Sullivan
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie
7 July 1915	unknown opening	Ophelia	Yvonne Mitchell
3 January 1916	30th April 1940	Ophelia	Peggy Bryan
June 14, 1919	7th April 1959	Iago	Sam Wanamaker
9 January 1912	30th April 1940	Hamlet	Basil Langton
5 May 1944	18th February 1985	Hamlet	Roger Rees
18 February 1933	7th April 1959	Desdemona	Mary Ure
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh
18 January 1960	26th April 1989	Hamlet	Mark Rylance
no birthday on article	26th April 1924	Ophelia	Ethel Carrington
10 December 1960	unknown opening	Hamlet	Kenneth Branagh
8 April 1930	12th December 1958	Ophelia	Dorothy Tutin
10 May 1906	20th April 1929	Ophelia	Joyce Bland
10 May 1906	12th May 1930	Ophelia	Joyce Bland
20 March 1908	unknown opening	Hamlet	Michael Redgrave
April 23, 1969	26th April 1924	Hamlet	Arthur Phillips
1 October 2017	20th April 1929	Hamlet	George Hayes
1 October 2017	12th May 1930	Hamlet	George Hayes
no birthday on article	27th July 1928	Ophelia	Mary Holder
26 February 1864	23rd April 1904	Ophelia	Constance Benson
no birthday on article	26th April 1920	Ophelia	Phyllis Relph
1 October 2017	27th July 1928	Hamlet	George Hayes
no birthday on article	23rd April 1904	Hamlet	F R Benson
no birthday on article	26th April 1920	Hamlet	Murray Carrington
no birthday on article	21st July 1920	Ophelia	Phyllis Relph
10 November 1925	unknown opening	Hamlet	Richard Burton
no birthday on article	6th November 2004	Ophelia	Meg Fraser
no birthday on article	21st July 1920	Hamlet	Murray Carrington
no birthday on article	4th February 1976	Ophelia	Yvonne Nicholson
October 14, 1893	12th October 1936	Ophelia	Lillian Gish
no birthday on article	22nd April 1915	Ophelia	Molly Terraine
9 February 1939	22nd December 1965	Ophelia	Janet Suzman
20 March 1908	12th December 1958	Hamlet	Michael Redgrave
no birthday on article	22nd April 1915	Hamlet	F R Benson
19 March 2017	22nd December 1965	Hamlet	David Warner
15 December 1981	23rd October 2010	Ophelia	Michelle Dockery
no birthday on article	24th July 1922	Ophelia	Ethel Carrington
13 January 1964	15th July 2000	Ophelia	Cathryn Bradshaw
31 December 2011	10th December 1988	Ophelia	Sylvestra Le Touzel
22 May 1907	2nd June 1937	Hamlet	Laurence Olivier
26 February 1864	25th April 1906	Ophelia	Constance Benson
March 5, 1882	24th July 1922	Hamlet	William Stack
21 April 1969	6th November 2004	Hamlet	Toby Stephens
no birthday on article	25th April 1906	Hamlet	F R Benson
10 July 1970	23rd October 2010	Hamlet	John Simm
8 May 1960	16th March 1989	Ophelia	Stella Gonet
31 October 1952	1st August 1979	Ophelia	Jane Wymark
no birthday on article	25th September 2010	Ophelia	Helen Clapp
18 February 1933	unknown opening	Ophelia	Mary Ure
31 March 1928	10th April 1956	Ophelia	Dilys Hamlett
12 January 1961	15th July 2000	Hamlet	Simon Russell Beale
April 9, 1898	7th April 1959	Othello	Paul Robeson
31 December 1943	4th February 1976	Hamlet	Ben Kingsley
9 December 1934	unknown opening	Ophelia	Judi Dench
21 September 1944	unknown opening	Ophelia	Susan Fleetwood
11 September 1923	10th April 1956	Hamlet	Alan Badel
3 October 1978	unknown opening	Romeo	Christian Coulson
5 September 2017	unknown opening	Hamlet	John Neville
no birthday on article	18th March 1974	Ophelia	Ingride Mollison
8 January 2018	23rd November 1832	Ophelia	Miss Vincent
no birthday on article	unknown opening	Juliet	Shereen Ibrahim
no birthday on article	18th March 1974	Hamlet	Hywell Bennett
no birthday on article	23rd November 1832	Hamlet	Mr Rumball
2 July 2017	25th October 2008	Romeo	David Dawson
28 March 1940	28th April 1966	Ophelia	Estelle Kohler
no birthday on article	25th October 2008	Juliet	Anneika Rose
18 January 1960	10th December 1988	Hamlet	Mark Rylance
19 March 2017	28th April 1966	Hamlet	David Warner
August 7, 1951	unknown opening	Ophelia	Suzanne Bertish
7 January 1982	7th October 2010	Ophelia	Ruth Negga
no birthday on article	6th May 2006	Ophelia	Roshina Ratnam
14 April 1904	12th October 1936	Hamlet	John Gielgud
no birthday on article	6th May 2006	Hamlet	Vaneshran Arumugam
22 October 1938	1st August 1979	Hamlet	Derek Jacobi
21 January 1922	unknown opening	Hamlet	Paul Scofield
10 July 1966	unknown opening	Ophelia	Gina Bellman
9 May 1957	12th October 1987	Ophelia	Tessa Peake-Jones
2 February 1956	12th October 1987	Hamlet	Philip Franks
2 November 1936	unknown opening	Ophelia	Adele Dixon
7 January 1982	7th October 2010	Ophelia	Ruth Negga
24 April 1876	22nd April 1909	Ophelia	Hutin Britton
17 January 2018	16th March 1989	Hamlet	Daniel Day-Lewis
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
26 February 1864	20th April 1903	Ophelia	Constance Benson
May 15, 1879	22nd April 1909	Hamlet	Matheson Lang
no birthday on article	20th April 1903	Hamlet	F R Benson
10 May 1906	14th July 1930	Ophelia	Joyce Bland
27 March 1957	unknown opening	Hamlet	Stephen Dillane
18 January 1960	11th November 1989	Romeo	Mark Rylance
28 July 1890	22nd April 1910	Ophelia	Marie Lohr
11 May 1963	unknown opening	Ophelia	Natasha Richardson
1 October 2017	14th July 1930	Hamlet	George Hayes
no birthday on article	11th July 1923	Ophelia	Beatrice Smith
25 May 1939	unknown opening	Hamlet	Ian McKellen
26 November 2015	unknown opening	Hamlet	Matthew Marsh
22 July 2008	11th November 1989	Juliet	Georgia Slowe
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
22 October 1938	unknown opening	Hamlet	Derek Jacobi
no birthday on article	18th December 1992	Ophelia	Joanne Pearce
no birthday on article	unknown opening	Ophelia	Louise Ironside
19 September 1927	22nd October 1963	Ophelia	Rosemary Harris
17 December 1852	22nd April 1910	Hamlet	Herbert Beerbohm Tree
1888 to 1939	unknown opening	Hamlet	Tom McGovern
no birthday on article	22nd October 1963	Hamlet	Peter O Toole
no birthday on article	24th April 1879	Ophelia	Ellen L Wallis
7 January 1982	7th October 2010	Ophelia	Ruth Negga
9 May 1932	11th April 1961	Ophelia	Geraldine McEwan
29 November 2012	24th April 1879	Hamlet	Barry Sullivan
March 26, 2013	24th April 1944	Ophelia	Anna Burden
15 February 1931	23rd April 1948	Ophelia	Claire Bloom
no birthday on article	6th July 1936	Ophelia	Valerie Tudor
13 May 1957	16th April 1985	Ophelia	Frances Barber
29 June 1928	11th April 1961	Hamlet	Ian Bannen
20 April 1902	6th July 1936	Hamlet	Donald Wolfit
26 February 1864	24th April 1888	Ophelia	Constance Benson
no birthday on article	24th April 1888	Hamlet	F R Benson
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
8 November 1723	24th April 1944	Hamlet	John Byron
5 May 1944	16th April 1985	Hamlet	Roger Rees
14 April 1904	unknown opening	Hamlet	John Gielgud
10 December 1960	18th December 1992	Hamlet	Kenneth Branagh
3 July 1973	30th November 1996	Ophelia	Emma Cunniffe
9 April 1992	19th August 1965	Ophelia	Glenda Jackson
22 October 2017	23rd August 1997	Ophelia	Derbhle Crotty
no birthday on article	30th November 1996	Hamlet	Ian Pepperell
4 January 1983	10th November 2001	Ophelia	Kerry Condon
19 March 2017	19th August 1965	Hamlet	David Warner
26 July 1930	unknown opening	Ophelia	Barbara Jefford
7 January 1982	7th October 2010	Ophelia	Ruth Negga
5 September 2017	unknown opening	Hamlet	John Neville
26 November 2008	15th November 2008	Ophelia	Mariah Gale
21 January 1922	23rd April 1948	Hamlet	Paul Scofield
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie
no birthday on article	5th November 1985	Ophelia	Deborah Poplett
8 April 1930	3rd June 1958	Ophelia	Dorothy Tutin
no birthday on article	4th August 1914	Ophelia	Ethel McDowall
no birthday on article	4th August 1914	Hamlet	F R Benson
14 April 1904	11th July 1923	Hamlet	John Gielgud
10 May 1957	23rd August 1997	Hamlet	Alex Jennings
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
18 September 1956	5th November 1985	Hamlet	Tim McInnerny
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh
24 October 1882	11th August 1916	Ophelia	Sybil Thorndike
19 June 1966	10th November 2001	Hamlet	Samuel West
no birthday on article	unknown opening	Ophelia	Cherry Cottrell
16 April 1963	23rd November 1989	Ophelia	Rebecca Saire
3 November 1933	unknown opening	Hamlet	Jeremy Brett
24 September 1950	unknown opening	Ophelia	Harriet Walter
20 March 1908	3rd June 1958	Hamlet	Michael Redgrave
18 September 1894	28th June 1939	Ophelia	Fay Compton
March 5, 1882	11th August 1916	Hamlet	William Stack
no birthday on article	unknown opening	Ophelia	Ruth Kenley
15 June 1945	4th April 1974	Ophelia	Nicola Pagett
no birthday on article	unknown opening	Hamlet	Nicholas Jeune
27 January 1965	18th September 1993	Hamlet	Alan Cumming
11 March 1942	4th April 1974	Hamlet	Peter Eyre
2 July 2017	25th October 2008	Romeo	David Dawson
18 February 1933	unknown opening	Ophelia	Mary Ure
10 May 1906	1st July 1929	Ophelia	Joyce Bland
no birthday on article	25th October 2008	Juliet	Anneika Rose
1 October 2017	1st July 1929	Hamlet	George Hayes
no birthday on article	unknown opening	Ophelia	Joanne Wootton
no birthday on article	27th April 1910	Ophelia	N De Silva
1 June 1947	unknown opening	Hamlet	Jonathan Pryce
10 May 1968	unknown opening	Hamlet	Adrian Scarborough
no birthday on article	16th October 2004	Ophelia	Meg Fraser
7 June 1943	17th September 1981	Hamlet	Michael Pennington
18 January 1960	23rd November 1989	Hamlet	Mark Rylance
18 April 1971	15th November 2008	Hamlet	David Tennant
26 February 1864	20th April 1891	Ophelia	Constance Benson
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
18 January 1960	5th April 1989	Romeo	Mark Rylance
no birthday on article	14th November 1942	Ophelia	Joy Parker
26 February 1864	16th April 1902	Ophelia	Constance Benson
no birthday on article	20th April 1891	Hamlet	F R Benson
22 July 2008	5th April 1989	Juliet	Georgia Slowe
no birthday on article	16th April 1902	Hamlet	F R Benson
no birthday on article	28th July 1911	Ophelia	Ethel McDowall
7 December 2014	4th June 1970	Ophelia	Helen Mirren
9 January 1912	14th November 1942	Hamlet	Basil Langton
2 July 2017	25th October 2008	Romeo	David Dawson
no birthday on article	28th July 1911	Hamlet	F R Benson
no birthday on article	25th October 2008	Juliet	Anneika Rose
28 May 1910	20th July 1933	Ophelia	Rachel Kempson
21 September 1944	4th December 1975	Ophelia	Susan Fleetwood
21 January 1922	unknown opening	Hamlet	Paul Scofield
no birthday on article	28th May 1983	Ophelia	Sarah Swingler
no birthday on article	20th July 1933	Hamlet	Anew McMaster
21 April 1969	16th October 2004	Hamlet	Toby Stephens
5 August 1937	4th June 1970	Hamlet	Alan Howard
no birthday on article	4th August 1915	Ophelia	Florence Glossop-Harris
28 December 1949	28th May 1983	Hamlet	Hilton McRae
no birthday on article	28th May 1983	Ophelia	Sarah Swingler
no birthday on article	16th April 1926	Juliet	Rosaline Courtneidge
no birthday on article	13th November 2010	Iago	Mathew Shepherd
14 April 1904	28th June 1939	Hamlet	John Gielgud
27 January 1965	18th September 1993	Hamlet	Alan Cumming
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
28 October 2016	13th November 2010	Desdemona	Claire Stewart
28 December 1949	28th May 1983	Hamlet	Hilton McRae
22 October 2017	5th July 1998	Ophelia	Derbhle Crotty
no birthday on article	unknown opening	Romeo	Oscar Pearce
0000 0001 2046	13th November 2010	Othello	Richard Davy
24 June 1961	unknown opening	Hamlet	Iain Glen
August 6, 1951	unknown opening	Iago	Jack Klaff
18 September 1967	unknown opening	Ophelia	Tara Fitzgerald
11 January 1977	unknown opening	Juliet	Tara Sharma
22 May 1907	unknown opening	Hamlet	Laurence Olivier
no birthday on article	unknown opening	Desdemona	Melanie Thaw
23 January 1918	unknown opening	Ophelia	Hazel Terry
no birthday on article	unknown opening	Ophelia	Linda Gardner
no birthday on article	unknown opening	Romeo	Howard Southern
18 January 1960	4th January 1990	Romeo	Mark Rylance
10 May 1957	5th July 1998	Hamlet	Alex Jennings
22 July 2008	4th January 1990	Juliet	Georgia Slowe
13 May 1944	unknown opening	Juliet	Vivien Heilbron
27 January 1965	18th September 1993	Hamlet	Alan Cumming
7 June 1943	6th April 1981	Hamlet	Michael Pennington
9 May 1936	4th December 1975	Hamlet	Albert Finney
4 September 1947	unknown opening	Othello	Jeffery Kissoon
5 May 1906	21st April 1927	Ophelia	Lydia Sherwood
13 January 2015	25th October 2003	Romeo	Jack Laskey
no birthday on article	7th April 1942	Ophelia	Sara Jackson
no birthday on article	4th August 1910	Ophelia	Ethel MacDowall
no birthday on article	25th October 2003	Juliet	Kate McGuinness
1 October 2017	7th April 1942	Hamlet	George Hayes
no birthday on article	4th August 1910	Hamlet	F R Benson
2 July 2017	4th December 2008	Romeo	David Dawson
22 December 1907	18th October 1944	Ophelia	Peggy Ashcroft
26 February 1864	6th May 1905	Ophelia	Constance Benson
no birthday on article	3rd May 1880	Iago	W H Hallatt
7 April 2016	22nd September 1982	Ophelia	Kathryn Pogson
22 December 1962	unknown opening	Hamlet	Ralph Fiennes
25 March 1897	21st April 1927	Hamlet	John Laurie
no birthday on article	6th May 1905	Hamlet	F R Benson
2 May 1946	24th September 1985	Iago	David Suchet
no birthday on article	3rd May 1880	Desdemona	Miss Masson
no birthday on article	unknown opening	Ophelia	Tina Jones
29 November 2012	3rd May 1880	Othello	Barry Sullivan
28 October 2016	unknown opening	Hamlet	Philip Bowen
no birthday on article	5th May 1913	Ophelia	Ethel McDowall
14 February 1952	22nd September 1982	Hamlet	Anton Lesser
no birthday on article	5th May 1913	Hamlet	F R Benson
20 October 1959	24th September 1985	Desdemona	Niamh Cusack
7 January 1982	7th October 2010	Ophelia	Ruth Negga
10 April 1980	unknown opening	Romeo	Daniel Hawksford
26 October 2015	21st April 2009	Iago	Conrad Nelson
7 January 1982	7th October 2010	Ophelia	Ruth Negga
8 May 1982	unknown opening	Juliet	Christina Cole
10 July 1977	4th September 2000	Romeo	Chiwetel Ejiofor
8 October 1908	26th April 1886	Ophelia	Ethel Johnson
no birthday on article	4th September 2000	Juliet	Charlotte Randle
14 April 1904	unknown opening	Hamlet	John Gielgud
no birthday on article	26th April 1886	Hamlet	F R Benson
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
no birthday on article	30th April 1914	Ophelia	Madge Fabian
no birthday on article	8th April 1975	Ophelia	Yvonne Nicholson
29 August 1958	21st April 2009	Othello	Lenny Henry
no birthday on article	30th April 1914	Hamlet	Henry B Irving
17 February 1978	7th October 2010	Hamlet	Rory Kinnear
9 December 1934	unknown opening	Ophelia	Judi Dench
5 September 2017	unknown opening	Hamlet	John Neville
4 January 1983	2nd May 2001	Ophelia	Kerry Condon
21 September 1944	unknown opening	Ophelia	Susan Fleetwood
18 April 1971	17th January 2001	Romeo	David Tennant
2 May 1946	7th January 1986	Iago	David Suchet
21 September 1944	4th December 1975	Ophelia	Susan Fleetwood
31 December 1943	24th September 1985	Othello	Ben Kingsley
28 March 1969	17th January 2001	Juliet	Alexandra Gilbreath
