not found
unknown opening	Ophelia	Tina Jones	Director:Michael Bogdanov
unknown opening	Hamlet	Philip Bowen	Director:Michael Bogdanov
2nd June 1937	Ophelia	Vivien Leigh	Director:Tyrone Guthrie
2nd June 1937	Hamlet	Laurence Olivier	Director:Tyrone Guthrie
25th April 1906	Ophelia	Constance Benson	Director:F R Benson
25th April 1906	Hamlet	F R Benson	Director:F R Benson
unknown opening	Ophelia	Mary Ure	Director:Peter Brook
unknown opening	Hamlet	Paul Scofield	Director:Peter Brook
unknown opening	Ophelia	Natasha Richardson	Director:David Thacker
unknown opening	Hamlet	Matthew Marsh	Director:David Thacker
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
30th November 1996	Ophelia	Emma Cunniffe	Director:John Retallack
30th November 1996	Hamlet	Ian Pepperell	Director:John Retallack
3rd June 1958	Ophelia	Dorothy Tutin	Director:Glen Byam Shaw
3rd June 1958	Hamlet	Michael Redgrave	Director:Glen Byam Shaw
not found
unknown opening	Ophelia	Ruth Kenley	Director:Deborah Warner
unknown opening	Hamlet	Nicholas Jeune	Director:Deborah Warner
unknown opening	Ophelia	Mary Ure	Director:Peter Brook
unknown opening	Hamlet	Paul Scofield	Director:Peter Brook
unknown opening	Hamlet	Iain Glen	Director:Paul Unwin
18th October 1944	Ophelia	Peggy Ashcroft	Director:George Rylands
18th October 1944	Hamlet	John Gielgud	Director:George Rylands
8th April 1937	Ophelia	Valerie Tudor	Director:B Iden Payne
8th April 1937	Hamlet	Donald Wolfit	Director:B Iden Payne
6th July 1977	Ophelia	Lynn Dearth	Director:John David
6th July 1977	Hamlet	Alan Dobie	Director:John David
23rd November 1996	Ophelia	Flora Montgomery	Director:Julian Glover
23rd November 1996	Hamlet	Jamie Glover	Director:Julian Glover
not found
unknown opening	Ophelia	Constance Barrie	Director:Antony Tuckey
unknown opening	Hamlet	Martin Marquez	Director:Antony Tuckey
unknown opening	Ophelia	Claire Bloom	Director:Michael Benthall
unknown opening	Hamlet	Richard Burton	Director:Michael Benthall
4th February 1976	Ophelia	Yvonne Nicholson	Director:Buzz Goodbody
4th February 1976	Hamlet	Ben Kingsley	Director:Buzz Goodbody
23rd November 1832	Ophelia	Miss Vincent	Director:unknown
23rd November 1832	Hamlet	Mr Rumball	Director:unknown
unknown opening	Ophelia	Suzanne Bertish	Director:Toby Robertson
unknown opening	Hamlet	Derek Jacobi	Director:Toby Robertson
24th April 1944	Ophelia	Anna Burden	Director:Robert Atkins
24th April 1944	Hamlet	John Byron	Director:Robert Atkins
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
unknown opening	Ophelia	Cherry Cottrell	Director:Tyrone Guthrie
unknown opening	Hamlet	Laurence Olivier	Director:Tyrone Guthrie
unknown opening	Ophelia	Judi Dench	Director:Michael Benthall
unknown opening	Hamlet	John Neville	Director:Michael Benthall
not found
4th December 1975	Ophelia	Susan Fleetwood	Director:Peter Hall
4th December 1975	Hamlet	Albert Finney	Director:Peter Hall
unknown opening	Ophelia	Veronica Smart	Director:Yuri Lyubimov
unknown opening	Hamlet	Daniel Webb	Director:Yuri Lyubimov
not found
22nd November 1976	Ophelia	Susan Fleetwood	Director:Peter Hall
22nd November 1976	Hamlet	Albert Finney	Director:Peter Hall
30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
not found
14th November 1934	Ophelia	Jessica Tandy	Director:John Gielgud
14th November 1934	Hamlet	John Gielgud	Director:John Gielgud
26th April 1880	Ophelia	Miss Masson	Director:Barry Sullivan
26th April 1880	Hamlet	Barry Sullivan	Director:Barry Sullivan
12th October 1936	Ophelia	Lillian Gish	Director:Guthrie McClintic
12th October 1936	Hamlet	John Gielgud	Director:Guthrie McClintic
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
unknown opening	Ophelia	Louise Ironside	Director:Kenny Ireland
unknown opening	Hamlet	Tom McGovern	Director:Kenny Ireland
not found
24th April 1879	Ophelia	Ellen L Wallis	Director:Barry Sullivan
24th April 1879	Hamlet	Barry Sullivan	Director:Barry Sullivan
6th July 1936	Ophelia	Valerie Tudor	Director:B Iden Payne
6th July 1936	Hamlet	Donald Wolfit	Director:B Iden Payne
30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
23rd November 1989	Ophelia	Rebecca Saire	Director:Ron Daniels
23rd November 1989	Hamlet	Mark Rylance	Director:Ron Daniels
14th November 1942	Ophelia	Joy Parker	Director:Basil C Langton
14th November 1942	Hamlet	Basil Langton	Director:Basil C Langton
4th December 1975	Ophelia	Susan Fleetwood	Director:Peter Hall
4th December 1975	Hamlet	Albert Finney	Director:Peter Hall
7th April 1942	Ophelia	Sara Jackson	Director:B Iden Payne
7th April 1942	Hamlet	George Hayes	Director:B Iden Payne
6th May 1905	Ophelia	Constance Benson	Director:F R Benson
6th May 1905	Hamlet	F R Benson	Director:F R Benson
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
8th April 1975	Ophelia	Yvonne Nicholson	Director:Buzz Goodbody
8th April 1975	Hamlet	Ben Kingsley	Director:Buzz Goodbody
unknown opening	Ophelia	Nicola Pagett	Director:Jonathan Miller
unknown opening	Hamlet	Peter Eyre	Director:Jonathan Miller
unknown opening	Hamlet	John Wilkes Booth	Director:unknown
30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
26th April 1924	Ophelia	Ethel Carrington	Director:W Bridges-Adams
26th April 1924	Hamlet	Arthur Phillips	Director:W Bridges-Adams
23rd October 2010	Ophelia	Michelle Dockery	Director:Paul Miller
23rd October 2010	Hamlet	John Simm	Director:Paul Miller
25th September 2010	Ophelia	Helen Clapp	Director:Tanith Lindon
10th April 1956	Ophelia	Dilys Hamlett	Director:Michael Langham
10th April 1956	Hamlet	Alan Badel	Director:Michael Langham
not found
not found
18th March 1974	Ophelia	Ingride Mollison	Director:Peter Dews
18th March 1974	Hamlet	Hywell Bennett	Director:Peter Dews
28th April 1966	Ophelia	Estelle Kohler	Director:Peter Hall
28th April 1966	Hamlet	David Warner	Director:Peter Hall
unknown opening	Ophelia	Gina Bellman	Director:Peter Hall
unknown opening	Hamlet	Stephen Dillane	Director:Peter Hall
not found
not found
11th July 1923	Ophelia	Beatrice Smith	Director:Gertrude Burnett
11th July 1923	Hamlet	John Gielgud	Director:Gertrude Burnett
11th August 1916	Ophelia	Sybil Thorndike	Director:Ben Greet
11th August 1916	Hamlet	William Stack	Director:Ben Greet
not found
4th April 1974	Ophelia	Nicola Pagett	Director:Jonathan Miller
4th April 1974	Hamlet	Peter Eyre	Director:Jonathan Miller
1st July 1929	Ophelia	Joyce Bland	Director:W Bridges-Adams
1st July 1929	Hamlet	George Hayes	Director:W Bridges-Adams
27th April 1910	Ophelia	N De Silva	Director:Martin Harvey
22nd August 2009	Hamlet	Jude Law	Director:Michael Grandage
1st May 1916	Ophelia	Florence Glossop-Harris	Director:F R Benson
1st May 1916	Hamlet	F R Benson	Director:F R Benson
26th April 1989	Ophelia	Rebecca Saire	Director:Ron Daniels
26th April 1989	Hamlet	Mark Rylance	Director:Ron Daniels
20th April 1929	Ophelia	Joyce Bland	Director:W Bridges-Adams
20th April 1929	Hamlet	George Hayes	Director:W Bridges-Adams
23rd April 1904	Ophelia	Constance Benson	Director:F R Benson
23rd April 1904	Hamlet	F R Benson	Director:F R Benson
22nd December 1965	Ophelia	Janet Suzman	Director:Peter Hall
22nd December 1965	Hamlet	David Warner	Director:Peter Hall
not found
24th July 1922	Ophelia	Ethel Carrington	Director:W Bridges-Adams
24th July 1922	Hamlet	William Stack	Director:W Bridges-Adams
not found
16th March 1989	Ophelia	Stella Gonet	Director:Richard Eyre
16th March 1989	Hamlet	Daniel Day-Lewis	Director:Richard Eyre
20th April 1903	Ophelia	Constance Benson	Director:F R Benson
20th April 1903	Hamlet	F R Benson	Director:F R Benson
22nd April 1910	Ophelia	Marie Lohr	Director:unknown
22nd April 1910	Hamlet	Herbert Beerbohm Tree	Director:unknown
19th August 1965	Ophelia	Glenda Jackson	Director:Peter Hall
19th August 1965	Hamlet	David Warner	Director:Peter Hall
15th November 2008	Ophelia	Mariah Gale	Director:Gregory Doran
15th November 2008	Hamlet	David Tennant	Director:Gregory Doran
16th April 1902	Ophelia	Constance Benson	Director:F R Benson
16th April 1902	Hamlet	F R Benson	Director:F R Benson
20th July 1933	Ophelia	Rachel Kempson	Director:W Bridges-Adams
20th July 1933	Hamlet	Anew McMaster	Director:W Bridges-Adams
not found
4th August 1915	Ophelia	Florence Glossop-Harris	Director:F R Benson
4th August 1915	Hamlet	F R Benson	Director:F R Benson
not found
unknown opening	Ophelia	Veronica Smart	Director:Yuri Lyubimov
unknown opening	Hamlet	Daniel Webb	Director:Yuri Lyubimov
1st November 2006	Ophelia	Daphne Hipchikz	Director:Dov Weinstein
1st November 2006	Hamlet	Ninja	Director:Dov Weinstein
24th April 1899	Ophelia	Constance Benson	Director:F R Benson
24th April 1899	Hamlet	F R Benson	Director:F R Benson
unknown opening	Hamlet	Robert Harris	Director:Harcourt Williams
unknown opening	Ophelia	Yvonne Mitchell	Director:Hugh Hunt
unknown opening	Hamlet	Michael Redgrave	Director:Hugh Hunt
27th July 1928	Ophelia	Mary Holder	Director:W Bridges-Adams
27th July 1928	Hamlet	George Hayes	Director:W Bridges-Adams
21st July 1920	Ophelia	Phyllis Relph	Director:W Bridges-Adams
21st July 1920	Hamlet	Murray Carrington	Director:W Bridges-Adams
22nd April 1915	Ophelia	Molly Terraine	Director:F R Benson
22nd April 1915	Hamlet	F R Benson	Director:F R Benson
10th December 1988	Ophelia	Sylvestra Le Touzel	Director:Ron Daniels
10th December 1988	Hamlet	Mark Rylance	Director:Ron Daniels
6th May 2006	Ophelia	Roshina Ratnam	Director:Janet Suzman
6th May 2006	Hamlet	Vaneshran Arumugam	Director:Janet Suzman
12th October 1987	Ophelia	Tessa Peake-Jones	Director:Roger Michell
12th October 1987	Hamlet	Philip Franks	Director:Roger Michell
22nd April 1909	Ophelia	Hutin Britton	Director:F R Benson
22nd April 1909	Hamlet	Matheson Lang	Director:F R Benson
14th July 1930	Ophelia	Joyce Bland	Director:W Bridges-Adams
14th July 1930	Hamlet	George Hayes	Director:W Bridges-Adams
23rd April 1948	Ophelia	Claire Bloom	Director:Michael Benthall
23rd April 1948	Hamlet	Paul Scofield	Director:Michael Benthall
4th August 1914	Ophelia	Ethel McDowall	Director:F R Benson
4th August 1914	Hamlet	F R Benson	Director:F R Benson
4th May 1908	Ophelia	Gertrude Elliott	Director:J Forbes-Robertson
4th May 1908	Hamlet	J Forbes-Robertson	Director:J Forbes-Robertson
11th December 2004	Ophelia	Meg Fraser	Director:Michael Boyd
11th December 2004	Hamlet	Toby Stephens	Director:Michael Boyd
unknown opening	Ophelia	Sophie Thompson	Director:Derek Jacobi
unknown opening	Hamlet	Kenneth Branagh	Director:Derek Jacobi
12th May 1930	Ophelia	Joyce Bland	Director:W Bridges-Adams
12th May 1930	Hamlet	George Hayes	Director:W Bridges-Adams
26th April 1920	Ophelia	Phyllis Relph	Director:W Bridges-Adams
26th April 1920	Hamlet	Murray Carrington	Director:W Bridges-Adams
6th November 2004	Ophelia	Meg Fraser	Director:Michael Boyd
6th November 2004	Hamlet	Toby Stephens	Director:Michael Boyd
1st August 1979	Ophelia	Jane Wymark	Director:Toby Robertson
1st August 1979	Hamlet	Derek Jacobi	Director:Toby Robertson
unknown opening	Ophelia	Adele Dixon	Director:Harcourt Williams
unknown opening	Hamlet	John Gielgud	Director:Harcourt Williams
unknown opening	Ophelia	Barbara Jefford	Director:Michael Benthall
unknown opening	Hamlet	John Neville	Director:Michael Benthall
5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
unknown opening	Ophelia	Harriet Walter	Director:Richard Eyre
unknown opening	Hamlet	Jonathan Pryce	Director:Richard Eyre
16th October 2004	Ophelia	Meg Fraser	Director:Michael Boyd
16th October 2004	Hamlet	Toby Stephens	Director:Michael Boyd
unknown opening	Ophelia	Hazel Terry	Director:John Gielgud
unknown opening	Hamlet	John Gielgud	Director:John Gielgud
30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
17th November 1979	Hamlet	Frances de la Tour	Director:Robert Walker
11th May 1907	Ophelia	Constance Benson	Director:F R Benson
11th May 1907	Hamlet	F R Benson	Director:F R Benson
11th December 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
11th December 2001	Hamlet	Samuel West	Director:Steven Pimlott
4th December 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
4th December 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
30th April 1940	Ophelia	Peggy Bryan	Director:B Iden Payne
30th April 1940	Hamlet	Basil Langton	Director:B Iden Payne
unknown opening	Ophelia	Judi Dench	Director:Michael Benthall
unknown opening	Hamlet	John Neville	Director:Michael Benthall
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
22nd October 1963	Ophelia	Rosemary Harris	Director:Laurence Olivier
22nd October 1963	Hamlet	Peter O Toole	Director:Laurence Olivier
not found
16th April 1985	Ophelia	Frances Barber	Director:Ron Daniels
16th April 1985	Hamlet	Roger Rees	Director:Ron Daniels
10th November 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
10th November 2001	Hamlet	Samuel West	Director:Steven Pimlott
28th June 1939	Ophelia	Fay Compton	Director:John Gielgud
28th June 1939	Hamlet	John Gielgud	Director:John Gielgud
unknown opening	Ophelia	Tara Fitzgerald	Director:Jonathan Kent
unknown opening	Hamlet	Ralph Fiennes	Director:Jonathan Kent
not found
unknown opening	Ophelia	Tina Jones	Director:Michael Bogdanov
unknown opening	Hamlet	Philip Bowen	Director:Michael Bogdanov
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
unknown opening	Ophelia	Susan Fleetwood	Director:unknown
unknown opening	Hamlet	Ian McKellen	Director:unknown
23rd September 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
23rd September 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
unknown opening	Ophelia	Gina Bellman	Director:Peter Hall
unknown opening	Hamlet	Stephen Dillane	Director:Peter Hall
