June 24, 2010	King Lear	Harry Groener	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	Fool	Stephen Caffrey	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	King Lear	Dakin Matthews	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
June 24, 2010	Fool	JD Cullum	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Macbeth	Rob Nagle	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Lady Macbeth	Tessa Auberjonois	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Macbeth	Bo Foxworth	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
July 5, 2012	Lady Macbeth	Ann Noble	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company
February 20, 1997	Lady Macbeth	L. Scott Caldwell	Tony Taccone	Berkeley Repertory Theatre	Berkeley Repertory Theatre
February 20, 1997	Macbeth	Carl Lumbly	Tony Taccone	Berkeley Repertory Theatre	Berkeley Repertory Theatre
November 18, 1998	Antony	Joseph Siravo	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre
November 18, 1998	Cleopatra	Kandis Chappell	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre
February 19, 2016	Lady Macbeth	Frances McDormand	Daniel Sullivan	Berkeley Repertory Theatre	Berkeley Repertory Theatre
February 19, 2016	Macbeth	Conleth Hill	Daniel Sullivan	Berkeley Repertory Theatre	Berkeley Repertory Theatre
September 15, 2007	King Lear	Jeffrey DeMunn	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater
September 15, 2007	Fool	Anthony Fusco	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater
September 14, 2016	Othello	Aldo Billingslea	Eric Ting	California Shakespeare Theater	Bruns Amphitheater
September 14, 2016	Desdemona	Liz Sklar	Eric Ting	California Shakespeare Theater	Bruns Amphitheater
September 14, 2016	Iago	James Carpenter	Eric Ting	California Shakespeare Theater	Bruns Amphitheater
September 16, 2015	King Lear	Anthony Heald	Amanda Dehnert	California Shakespeare Theater	Bruns Amphitheater
July 3, 2013	Romeo	Dan Clegg	Shana Cooper	California Shakespeare Theater	Bruns Amphitheater
July 3, 2013	Juliet	Rebekah Brockman	Shana Cooper	California Shakespeare Theater	Bruns Amphitheater
September 19, 2012	Hamlet	LeRoy McClain	Liesl Tommy	California Shakespeare Theater	Bruns Amphitheater
September 19, 2012	Ophelia	Zainab Jah	Liesl Tommy	California Shakespeare Theater	Bruns Amphitheater
May 30, 2012	Prospero	Michael Winters	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater
May 30, 2012	Ariel	Erika Chong Shuch	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater
May 30, 2012	Miranda	Emily Kitchens	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater
August 8, 2014	Prospero	Lisa Harrow	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage
August 8, 2014	Ariel	Chasten Harmon	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage
August 8, 2014	Miranda	Kate Abbruzzese	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage
August 11, 1988	Prospero	Timothy Walker	Declan Donnellan	Cheek By Jowl	Villa Communale, Italy
August 11, 1988	Miranda	Cecilia Noble	Declan Donnellan	Cheek By Jowl	Villa Communale, Italy
August 11, 1988	Ariel	Peter Darling	Declan Donnellan	Cheek By Jowl	Villa Communale, Italy
September 22, 1982	Emilia	Barbara Brann	Declan Donnellan	Cheek By Jowl	Fermoy Centre, King’s Lynn
September 22, 1982	Iago	Geoffrey Morgan	Declan Donnellan	Cheek By Jowl	Fermoy Centre, King’s Lynn
September 22, 1982	Desdemona	Amanda Harris	Declan Donnellan	Cheek By Jowl	Fermoy Centre, King’s Lynn
September 22, 1982	Othello	Doyle Richmond	Declan Donnellan	Cheek By Jowl	Fermoy Centre, King’s Lynn
September 4, 1990	Hamlet	Timothy Walker	Declan Donnellan	Cheek By Jowl	Theatre Royal, Bury St Edmunds
September 4, 1990	Ophelia	Cathryn Bradshaw	Declan Donnellan	Cheek By Jowl	Theatre Royal, Bury St Edmunds
March 18, 2010	Macbeth	Will Keen	Declan Donnellan	Cheek By Jowl	Silk Street Theatre, Barbican Centre
March 18, 2010	Lady Macbeth	Anastasia Hille	Declan Donnellan	Cheek By Jowl	Silk Street Theatre, Barbican Centre
March 13, 2004	Emilia	Jaye Griffiths	Declan Donnellan	Cheek By Jowl	Théâtre l'Idéal, Théâtre du Nord Lille
March 13, 2004	Iago	Jonny Phillips	Declan Donnellan	Cheek By Jowl	Théâtre l'Idéal, Théâtre du Nord Lille
March 13, 2004	Desdemona	Caroline Martin	Declan Donnellan	Cheek By Jowl	Théâtre l'Idéal, Théâtre du Nord Lille
March 13, 2004	Othello	Nonso Anozie	Declan Donnellan	Cheek By Jowl	Théâtre l'Idéal, Théâtre du Nord Lille
September 15, 2010	Romeo	Jeff Lillico	Gale Edwards	Chicago Shakespeare Theater	The Yard
September 15, 2010	Juliet	Joy Farmer-Clary	Gale Edwards	Chicago Shakespeare Theater	The Yard
September 9, 2014	King Lear	Larry Yando	Barbara Gaines	Chicago Shakespeare Theater	The Yard
September 9, 2014	Fool	Ross Lehman	Barbara Gaines	Chicago Shakespeare Theater	The Yard
September 8, 2015	Prospero	Larry Yando	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard
September 8, 2015	Miranda	Eva Louise Balistrieri	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard
September 8, 2015	Ariel	Nate Dendy	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard
