Nov 10, 1937	Cleopatra	Tallulah Bankhead	Reginald Bach	Laurence Rivers, Inc.	Mansfield Theatre
Nov 10, 1937	Octavius Caesar	John Emery	Reginald Bach	Laurence Rivers, Inc.	Mansfield Theatre
Nov 10, 1937	Antony	Conway Tearle	Reginald Bach	Laurence Rivers, Inc.	Mansfield Theatre
Jan 12, 1956	King Lear of Britain	Orson Welles	Orson Welles	New York City Center Theatre Company	City Center
Jan 12, 1956	Fool	Alvin Epstein	Orson Welles	New York City Center Theatre Company	City Center
Jun 03, 1946	Hamlet	Maurice Evans	director unknown	Michael Todd	City Center
Jun 03, 1946	Ophelia	Frances Reid	director unknown	Michael Todd	City Center
Mar 24, 1943	Richard, Duke of York	Michael Artist	George Coulouris	Theater Productions	Forrest Theatre
Mar 24, 1943	Richard, Duke of Gloucester, afterwards Richard III	George Coulouris	George Coulouris	Theater Productions	Forrest Theatre
Mar 24, 1943	Sir Richard Ratcliffe	John Parrish	George Coulouris	Theater Productions	Forrest Theatre
Apr 21, 1988	Lady Macbeth	Glenda Jackson	director unknown	Barry & Fran Weissler and Garth H. Drabinsky	Mark Hellinger Theatre
Apr 21, 1988	Macbeth	Christopher Plummer	director unknown	Barry & Fran Weissler and Garth H. Drabinsky	Mark Hellinger Theatre
Jun 14, 1979	Richard, Duke of Gloucester, afterwards Richard III	Al Pacino	David Wheeler	The Shubert Organization	Cort Theatre
Jun 14, 1979	Sir Richard Ratcliffe	Jaime Sanchez	David Wheeler	The Shubert Organization	Cort Theatre
Jun 14, 1979	Richard, Duke of York	Glenn Scarpelli	David Wheeler	The Shubert Organization	Cort Theatre
Nov 07, 1968	Fool	René Auberjonois	Gerald Freedman	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
Nov 07, 1968	King Lear of Britain	Lee J. Cobb	Gerald Freedman	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre
Jun 20, 1950	Julius Caesar	Horace Braham	Dan Levin	David Heilweil and Derrick Lynn-Thomas	Arena Theatre
Jun 20, 1950	Octavius Caesar	Kurt Richards	Dan Levin	David Heilweil and Derrick Lynn-Thomas	Arena Theatre
Jun 20, 1950	Marc Antony	Alfred Ryder	Dan Levin	David Heilweil and Derrick Lynn-Thomas	Arena Theatre
Jun 20, 1950	Servant To Antony	Charles Vocalis	Dan Levin	David Heilweil and Derrick Lynn-Thomas	Arena Theatre
Jan 06, 1937	Iago	Brian Aherne	director unknown	Max Gordon	New Amsterdam Theatre
Jan 06, 1937	Emilia	Natalie Hall	director unknown	Max Gordon	New Amsterdam Theatre
Jan 06, 1937	Othello	Walter Huston	director unknown	Max Gordon	New Amsterdam Theatre
Jan 06, 1937	Desdemona	Nan Sunderland	director unknown	Max Gordon	New Amsterdam Theatre
Nov 21, 2013	Lady Macbeth	Anne-Marie Duff	Jack O'Brien	Lincoln Center Theater	Vivian Beaumont Theatre
Nov 21, 2013	Macbeth	Ethan Hawke	Jack O'Brien	Lincoln Center Theater	Vivian Beaumont Theatre
Nov 12, 1986	Macbeth	F. Murray Abraham	Estelle Parsons	Joseph Papp	Belasco Theatre
Nov 12, 1986	Macbeth	Keith David	Estelle Parsons	Joseph Papp	Belasco Theatre
Nov 12, 1986	Lady Macbeth	Ching Valdes-Aran	Estelle Parsons	Joseph Papp	Belasco Theatre
Dec 09, 1953	Sir Richard Ratcliff	Jay Barney	director unknown	New York City Theatre Company	City Center
Dec 09, 1953	Richard III	José Ferrer	director unknown	New York City Theatre Company	City Center
Dec 09, 1953	Richard, Son of Edward IV	Charles Taylor	director unknown	New York City Theatre Company	City Center
Apr 03, 2005	Julius Caesar	William Sadler	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Marc Antony	Eamonn Walker	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Octavius Caesar	Kelly AuCoin	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Servant To Antony	Ed Onipede Blunt	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Caesar's Servant	Seth Fisher	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Servant to Octavius Caesar	Quentin Maré	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Guard to Caesar	Mark Mineart	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Apr 03, 2005	Guard to Caesar	Dan Moran	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre
Nov 11, 1941	Lady Macbeth	Judith Anderson	director unknown	Maurice Evans and Judith Anderson	National Theatre
Nov 11, 1941	Macbeth	Maurice Evans	director unknown	Maurice Evans and Judith Anderson	National Theatre
Mar 17, 1977	Juliet	Pamela Payton-Wright	Theodore Mann	Circle in the Square	Circle in the Square Theatre
Mar 17, 1977	Romeo	Paul Rudd	Theodore Mann	Circle in the Square	Circle in the Square Theatre
Mar 17, 1977	Nurse to Juliet	Jan Miner	Theodore Mann	Circle in the Square	Circle in the Square Theatre
Dec 13, 1945	Hamlet	Maurice Evans	director unknown	Michael Todd	Columbus Circle
Dec 13, 1945	Ophelia	Frances Reid	director unknown	Michael Todd	Columbus Circle
Nov 10, 1936	Hamlet	Leslie Howard	Leslie Howard	Leslie Howard	Imperial Theatre
Nov 10, 1936	Ophelia	Pamela Stanley	Leslie Howard	Leslie Howard	Imperial Theatre
Dec 01, 1952	Hamlet	Jean-Louis Barrault	director unknown	S. Hurok	Ziegfeld Theatre
Dec 01, 1952	Ophelia	Simone Valère	director unknown	S. Hurok	Ziegfeld Theatre
Nov 12, 1986	Romeo	Rene Moreno	Estelle Parsons	Joseph Papp	Belasco Theatre
Nov 12, 1986	Juliet	Regina Taylor	Estelle Parsons	Joseph Papp	Belasco Theatre
May 09, 1940	Juliet	Vivien Leigh	Laurence Olivier	Laurence Olivier	51st Street Theatre
May 09, 1940	Romeo	Laurence Olivier	Laurence Olivier	Laurence Olivier	51st Street Theatre
May 09, 1940	Nurse to Juliet	Dame May Whitty	Laurence Olivier	Laurence Olivier	51st Street Theatre
Nov 12, 1945	Prospero	Arnold Moss	director unknown	Cheryl Crawford	City Center
Nov 12, 1945	Miranda	Diana Sinclair	director unknown	Cheryl Crawford	City Center
Nov 12, 1945	Ariel	Vera Zorina	director unknown	Cheryl Crawford	City Center
Dec 17, 1975	Ophelia	Maureen Anderman	Michael Rudman	The New York Shakespeare Festival	Vivian Beaumont Theatre
Dec 17, 1975	Hamlet	Sam Waterston	Michael Rudman	The New York Shakespeare Festival	Vivian Beaumont Theatre
Mar 04, 2004	King Lear of Britain	Christopher Plummer	Jonathan Miller	Lincoln Center Theater	Vivian Beaumont Theatre
Mar 04, 2004	Fool	Barry MacGregor	Jonathan Miller	Lincoln Center Theater	Vivian Beaumont Theatre
Nov 10, 2013	Richard III	Mark Rylance	Tim Carroll	Sonia Friedman Productions, Scott Landis, Roger Berlind, Glass Half Full Productions/Just For Laughs Theatricals, 1001 Nights Productions, Tulchin Bartner Productions, Jane Bergère, Paula Marie Black, Rupert Gavin, Stephanie P. McClelland, Shakespeare Globe Centre USA, Max Cooper, Tanya Link Productions and Shakespeare Road	Belasco Theatre
Oct 08, 1936	Hamlet	John Gielgud	director unknown	Guthrie McClintic	Empire Theatre
Oct 08, 1936	Ophelia	Lillian Gish	director unknown	Guthrie McClintic	Empire Theatre
Dec 20, 1951	Cleopatra	Vivien Leigh	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
Dec 20, 1951	Antony	Laurence Olivier	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
Dec 20, 1951	Attendant to Cleopatra	Jessie Barclay	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
Dec 20, 1951	Attendant to Cleopatra	Jan Carew	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
Dec 20, 1951	Sentry to Antony	John Dunbar	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
